,Unnamed: 0,ETF,Ticker,Technical Action,Score,Sector
0,0,XLC,META,Buy,21.54892204908581,XLC
1,5,XLC,CHTR,Sell,21.422492410324764,XLC
2,2,XLC,GOOG,Buy,16.258972718623884,XLC
3,1,XLC,GOOGL,Buy,16.25540031678761,XLC
4,12,XLC,TTWO,Buy,14.950803138322083,XLC
5,7,XLC,NFLX,Buy,13.017153176265602,XLC
6,22,XLC,NWS,Buy,10.191376471913392,XLC
7,6,XLC,T,Buy,9.303317329768866,XLC
8,3,XLC,TMUS,Buy,8.626159574232013,XLC
9,16,XLC,LYV,Sell,8.530099379440927,XLC
10,4,XLC,VZ,Buy,7.963629928238037,XLC
11,18,XLC,FOXA,Buy,5.548219419121118,XLC
12,20,XLC,NWSA,Buy,5.540872771783809,XLC
13,21,XLC,FOX,Buy,5.512477371479989,XLC
14,10,XLC,EA,Buy,5.477513601753136,XLC
15,17,XLC,IPG,Sell,5.465269692139182,XLC
16,15,XLC,OMC,Buy,5.268808223642738,XLC
17,13,XLC,MTCH,Sell,4.844551529394365,XLC
18,9,XLC,DIS,Sell,3.701836875527502,XLC
19,8,XLC,CMCSA,Sell,3.411630755528134,XLC
20,19,XLC,LUMN,Sell,3.268529875896224,XLC
21,11,XLC,WBD,Sell,2.4330578165203325,XLC
22,14,XLC,PARA,Sell,2.1261223921599037,XLC
23,36,XLY,NVR,Buy,46.11134273531582,XLY
24,0,XLY,AMZN,Buy,35.227783178781586,XLY
25,8,XLY,BKNG,Buy,19.41394118951672,XLY
26,14,XLY,AZO,Sell,16.62645425622674,XLY
27,41,XLY,HAS,Buy,11.191243388101473,XLY
28,50,XLY,RCL,Buy,11.155979497819636,XLY
29,44,XLY,WHR,Sell,10.28248046971791,XLY
30,19,XLY,HLT,Buy,8.477512251310934,XLY
31,17,XLY,CMG,Buy,8.197428035647608,XLY
32,49,XLY,CCL,Buy,8.194572818537166,XLY
33,57,XLY,PVH,Buy,7.026221875981228,XLY
34,54,XLY,PENN,Sell,6.861056794111991,XLY
35,51,XLY,MHK,Buy,6.78784772033209,XLY
36,12,XLY,F,Sell,6.7342386938092,XLY
37,33,XLY,KMX,Sell,6.409530483006392,XLY
38,20,XLY,ROST,Buy,6.32614926405363,XLY
39,13,XLY,ORLY,Sell,6.26322465289366,XLY
40,35,XLY,EXPE,Sell,6.1495424015083024,XLY
41,7,XLY,TJX,Buy,6.004672920762202,XLY
42,48,XLY,NWL,Sell,5.8978871775194985,XLY
43,40,XLY,PHM,Buy,5.478204340084266,XLY
44,28,XLY,GRMN,Buy,5.370860239804815,XLY
