ETF,Ticker,Technical Action,Score,weight,Unnamed: 0.2
XLI,EMR,Buy,143.61803493359128,4.341255528972067,
XLK,FIS,Buy,126.12772833123287,3.812562246989657,
XLP,PM,Buy,105.52959651104216,3.189926282834828,
XLB,AMCR,Buy,84.61322041805414,2.557670498234163,
XLY,TJX,Buy,61.954038626925296,1.872733552270468,
XLU,D,Buy,29.766320335703693,0.8997700239686466,
XLY,DRI,Sell,267.0212072704773,7.2778959683369076,3.0
XLY,HD,Sell,124.93811948690336,3.405297449592733,11.0
XLY,LOW,Sell,94.07480645577849,2.564090926055385,14.0
XLI,NOC,Sell,39.33102403577763,1.0720013746720725,21.0
XLU,NI,Sell,37.99375102130526,1.0355528319511351,22.0
XLP,KO,Sell,23.55551583350561,0.6420261351867576,25.0
