,Unnamed: 0,ETF,Ticker,Technical Action,Score,index,weight
0,7,XLF,C,Buy,430.0358425675289,,
0,10,XLV,AMGN,Buy,317.69992854074746,,
0,43,XLK,GLW,Buy,316.7816011421989,,
1,13,XLF,PGR,Buy,304.9093386710667,,
0,30,XLY,DRI,Buy,267.0212072704773,,
0,4,XLI,LMT,Buy,238.60568292821276,,
0,11,XLE,KMI,Buy,236.1817024239698,,
1,11,XLK,QCOM,Buy,201.7382881985548,,
1,12,XLE,DVN,Buy,176.090346741973,,
1,45,XLY,TPR,Buy,173.02222542766782,,
2,30,XLK,NXPI,Buy,154.1323195310948,,
3,16,XLK,ORCL,Buy,134.08579460565358,,
2,2,XLY,HD,Buy,124.93811948690336,,
1,49,XLV,DGX,Buy,120.66665241901082,,
2,14,XLV,CI,Buy,99.94159891129613,,
3,5,XLY,LOW,Buy,94.07480645577849,,
1,14,XLI,FDX,Buy,83.1257700982446,,
4,3,XLY,MCD,Buy,79.49230086157995,,
0,1,XLU,DUK,Buy,66.06210828463956,,
0,10,XLP,KMB,Buy,65.13035945398555,,
5,7,XLY,TJX,Buy,61.28742848634312,,
1,26,XLP,CAG,Buy,53.20987412443045,,
6,46,XLY,BWA,Buy,47.540867207871386,,
7,25,XLY,LEN,Buy,45.852978571766194,,
8,18,XLY,YUM,Buy,45.775769530254514,,
4,70,XLK,CTXS,Buy,44.4142988353462,,
3,0,XLV,UNH,Buy,43.34305917486554,,
0,5,XLRE,O,Buy,41.92530682807717,,
2,10,XLI,NOC,Buy,39.33102403577763,,
1,26,XLU,NI,Buy,37.99375102130526,,
3,47,XLI,EXPD,Buy,34.56115423131876,,
2,8,XLE,VLO,Buy,33.27628656921078,,
3,0,XLE,XOM,Buy,30.964184965153883,,
2,8,XLU,ED,Buy,30.21091157781701,,
3,3,XLU,D,Buy,29.84637060313424,,
4,1,XLE,CVX,Buy,24.16690923707211,,
2,1,XLP,KO,Buy,23.55551583350561,,
4,13,XLV,ELV,Buy,19.85691571555409,,
1,2,XLRE,CCI,Buy,19.69214032580002,,
3,25,XLP,CLX,Buy,18.17367885584701,,
4,31,XLP,CPB,Buy,16.767104217085098,,
4,6,XLU,EXC,Buy,14.546859527840294,,
5,27,XLP,SJM,Buy,13.259779885355831,,
6,24,XLP,K,Buy,11.81167574496222,,
2,0,XLRE,AMT,Buy,10.9126388089196,,
5,5,XLU,SRE,Buy,5.318542254557723,,
6,19,XLU,CMS,Buy,4.278960010410698,,
7,8,XLP,CL,Buy,4.172412925677706,,
8,2,XLP,PEP,Buy,1.6849564733394915,,
