Holding,Symbol,Weighting
Linde plc,LIN,16.96%
Sherwin-Williams Company,SHW,7.33%
"Air Products and Chemicals, Inc.",APD,6.17%
Newmont Corporation,NEM,5.47%
Ecolab Inc.,ECL,4.79%
Corteva Inc,CTVA,4.67%
"Freeport-McMoRan, Inc.",FCX,4.56%
"Dow, Inc.",DOW,4.46%
Nucor Corporation,NUE,3.61%
International Flavors & Fragrances Inc.,IFF,3.61%
"DuPont de Nemours, Inc.",DD,3.41%
"PPG Industries, Inc.",PPG,3.4%
Albemarle Corporation,ALB,2.89%
LyondellBasell Industries NV,LYB,2.71%
Ball Corporation,BALL,2.67%
Vulcan Materials Company,VMC,2.45%
"Martin Marietta Materials, Inc.",MLM,2.44%
Amcor PLC,AMCR,2.33%
"CF Industries Holdings, Inc.",CF,2.11%
Mosaic Company,MOS,1.98%
International Paper Company,IP,1.94%
Avery Dennison Corporation,AVY,1.68%
Packaging Corporation of America,PKG,1.59%
FMC Corporation,FMC,1.58%
Celanese Corporation,CE,1.45%
Eastman Chemical Company,EMN,1.4%
WestRock Company,WRK,1.24%
Sealed Air Corporation,SEE,1.03%
State Street Institutional Liquid Reserves Fund,SSIXX,0.07%
