Holding,Symbol,Weighting
Meta Platforms Inc. Class A,META,17.82%
Alphabet Inc. Class A,GOOGL,12.46%
Alphabet Inc. Class C,GOOG,11.54%
"T-Mobile US, Inc.",TMUS,4.9%
"Activision Blizzard, Inc.",ATVI,4.7%
Verizon Communications Inc.,VZ,4.68%
"Charter Communications, Inc. Class A",CHTR,4.66%
AT&T Inc.,T,4.63%
"Netflix, Inc.",NFLX,4.5%
Comcast Corporation Class A,CMCSA,4.48%
Walt Disney Company,DIS,4.35%
Electronic Arts Inc.,EA,3.38%
"Warner Bros. Discovery, Inc. Series A",WBD,2.95%
"Twitter, Inc.",TWTR,2.72%
"Take-Two Interactive Software, Inc.",TTWO,1.9%
"Match Group, Inc.",MTCH,1.79%
Paramount Global Class B,PARA,1.44%
Omnicom Group Inc,OMC,1.28%
"Live Nation Entertainment, Inc.",LYV,1.1%
"Interpublic Group of Companies, Inc.",IPG,1.06%
Fox Corporation Class A,FOXA,0.99%
"Lumen Technologies, Inc.",LUMN,0.97%
News Corporation Class A,NWSA,0.58%
Fox Corporation Class B,FOX,0.43%
DISH Network Corporation Class A,DISH,0.42%
News Corporation Class B,NWS,0.18%
State Street Institutional Liquid Reserves Fund,SSIXX,0.06%
