Holding,Symbol,Weighting
Exxon Mobil Corporation,XOM,23.43%
Chevron Corporation,CVX,21.21%
Occidental Petroleum Corporation,OXY,4.49%
ConocoPhillips,COP,4.34%
"EOG Resources, Inc.",EOG,4.08%
Pioneer Natural Resources Company,PXD,4.07%
Schlumberger NV,SLB,3.9%
Marathon Petroleum Corporation,MPC,3.84%
Valero Energy Corporation,VLO,3.62%
"Williams Companies, Inc.",WMB,3.34%
Phillips 66,PSX,3.33%
Kinder Morgan Inc Class P,KMI,2.85%
Devon Energy Corporation,DVN,2.78%
Hess Corporation,HES,2.3%
Baker Hughes Company Class A,BKR,2.17%
Halliburton Company,HAL,2.17%
"ONEOK, Inc.",OKE,2.16%
Coterra Energy Inc.,CTRA,1.87%
"Diamondback Energy, Inc.",FANG,1.57%
Marathon Oil Corporation,MRO,1.27%
APA Corp.,APA,0.94%
State Street Institutional Liquid Reserves Fund,SSIXX,0.22%
U.S. Dollar,Other,0.09%
