Holding,Symbol,Weighting
Berkshire Hathaway Inc. Class B,BRK.B,14.67%
JPMorgan Chase & Co.,JPM,9.37%
Bank of America Corp,BAC,6.31%
Wells Fargo & Company,WFC,4.34%
"S&P Global, Inc.",SPGI,3.54%
Morgan Stanley,MS,3.09%
"Goldman Sachs Group, Inc.",GS,2.86%
Charles Schwab Corp,SCHW,2.7%
Citigroup Inc.,C,2.53%
"BlackRock, Inc.",BLK,2.48%
American Express Company,AXP,2.46%
Chubb Limited,CB,2.3%
"Marsh & McLennan Companies, Inc.",MMC,2.21%
CME Group Inc. Class A,CME,2.12%
Progressive Corporation,PGR,1.94%
"PNC Financial Services Group, Inc.",PNC,1.85%
Truist Financial Corporation,TFC,1.78%
U.S. Bancorp,USB,1.77%
Aon Plc Class A,AON,1.69%
"Intercontinental Exchange, Inc.",ICE,1.54%
Moody\'s Corporation,MCO,1.31%
Capital One Financial Corp,COF,1.2%
"MetLife, Inc.",MET,1.18%
"American International Group, Inc.",AIG,1.13%
"Travelers Companies, Inc.",TRV,1.1%
Arthur J. Gallagher & Co.,AJG,1.01%
"Prudential Financial, Inc.",PRU,1.0%
Allstate Corporation,ALL,0.98%
MSCI Inc. Class A,MSCI,0.98%
Aflac Incorporated,AFL,0.94%
Bank of New York Mellon Corp,BK,0.89%
Discover Financial Services,DFS,0.82%
First Republic Bank,FRC,0.8%
M&T Bank Corporation,MTB,0.8%
T. Rowe Price Group,TROW,0.75%
"Ameriprise Financial, Inc.",AMP,0.73%
SVB Financial Group,SIVB,0.68%
State Street Corporation,STT,0.65%
Fifth Third Bancorp,FITB,0.65%
Willis Towers Watson Public Limited Company,WTW,0.64%
"Hartford Financial Services Group, Inc.",HIG,0.6%
Northern Trust Corporation,NTRS,0.58%
"Nasdaq, Inc.",NDAQ,0.52%
"Citizens Financial Group, Inc.",CFG,0.51%
"Raymond James Financial, Inc.",RJF,0.5%
Regions Financial Corporation,RF,0.5%
Huntington Bancshares Incorporated,HBAN,0.5%
Cincinnati Financial Corporation,CINF,0.49%
KeyCorp,KEY,0.46%
FactSet Research Systems Inc.,FDS,0.44%
Synchrony Financial,SYF,0.44%
"Principal Financial Group, Inc.",PFG,0.42%
"Brown & Brown, Inc.",BRO,0.4%
W. R. Berkley Corporation,WRB,0.38%
Cboe Global Markets Inc,CBOE,0.37%
Signature Bank,SBNY,0.34%
Loews Corporation,L,0.32%
"Everest Re Group, Ltd.",RE,0.31%
MarketAxess Holdings Inc.,MKTX,0.29%
Comerica Incorporated,CMA,0.28%
"Assurant, Inc.",AIZ,0.27%
Globe Life Inc.,GL,0.26%
State Street Institutional Liquid Reserves Fund,SSIXX,0.22%
"Zions Bancorporation, N.A.",ZION,0.22%
Lincoln National Corporation,LNC,0.22%
"Franklin Resources, Inc.",BEN,0.2%
Invesco Ltd.,IVZ,0.16%
U.S. Dollar,Other,0.0%
