Holding,Symbol,Weighting
Raytheon Technologies Corporation,RTX,5.48%
"United Parcel Service, Inc. Class B",UPS,5.36%
Union Pacific Corporation,UNP,5.28%
Honeywell International Inc.,HON,4.72%
Lockheed Martin Corporation,LMT,3.88%
Caterpillar Inc.,CAT,3.71%
Deere & Company,DE,3.36%
Boeing Company,BA,3.35%
3M Company,MMM,2.99%
General Electric Company,GE,2.75%
Northrop Grumman Corp.,NOC,2.75%
CSX Corporation,CSX,2.51%
"Waste Management, Inc.",WM,2.36%
Norfolk Southern Corporation,NSC,2.16%
FedEx Corporation,FDX,2.09%
Illinois Tool Works Inc.,ITW,2.04%
Eaton Corp. Plc,ETN,2.04%
General Dynamics Corporation,GD,1.99%
Emerson Electric Co.,EMR,1.89%
L3Harris Technologies Inc,LHX,1.75%
Cintas Corporation,CTAS,1.38%
Johnson Controls International plc,JCI,1.32%
Parker-Hannifin Corporation,PH,1.29%
Carrier Global Corp.,CARR,1.24%
Trane Technologies plc,TT,1.22%
Otis Worldwide Corporation,OTIS,1.19%
Verisk Analytics Inc,VRSK,1.14%
Cummins Inc.,CMI,1.13%
PACCAR Inc,PCAR,1.13%
TransDigm Group Incorporated,TDG,1.13%
Fastenal Company,FAST,1.12%
"Republic Services, Inc.",RSG,1.1%
"AMETEK, Inc.",AME,1.04%
"Copart, Inc.",CPRT,0.99%
Equifax Inc.,EFX,0.95%
"Rockwell Automation, Inc.",ROK,0.95%
"Old Dominion Freight Line, Inc.",ODFL,0.94%
Southwest Airlines Co.,LUV,0.93%
"W.W. Grainger, Inc.",GWW,0.8%
Fortive Corp.,FTV,0.79%
"Delta Air Lines, Inc.",DAL,0.78%
"Quanta Services, Inc.",PWR,0.75%
"United Rentals, Inc.",URI,0.73%
Dover Corporation,DOV,0.7%
Ingersoll Rand Inc.,IR,0.66%
"Stanley Black & Decker, Inc.",SWK,0.66%
Jacobs Engineering Group Inc.,J,0.65%
"Expeditors International of Washington, Inc.",EXPD,0.65%
Westinghouse Air Brake Technologies Corporation,WAB,0.6%
"J.B. Hunt Transport Services, Inc.",JBHT,0.57%
IDEX Corporation,IEX,0.56%
Xylem Inc.,XYL,0.56%
"Leidos Holdings, Inc.",LDOS,0.55%
Generac Holdings Inc.,GNRC,0.55%
Textron Inc.,TXT,0.52%
Masco Corporation,MAS,0.51%
Howmet Aerospace Inc.,HWM,0.51%
"United Airlines Holdings, Inc.",UAL,0.51%
"C.H. Robinson Worldwide, Inc.",CHRW,0.5%
Nordson Corporation,NDSN,0.45%
Snap-on Incorporated,SNA,0.43%
"American Airlines Group, Inc.",AAL,0.38%
Robert Half International Inc.,RHI,0.34%
Nielsen Holdings Plc,NLSN,0.34%
Allegion Public Limited Company,ALLE,0.34%
"Fortune Brands Home & Security, Inc.",FBHS,0.33%
"Huntington Ingalls Industries, Inc.",HII,0.33%
"Rollins, Inc.",ROL,0.33%
Pentair plc,PNR,0.31%
A. O. Smith Corporation,AOS,0.29%
"Alaska Air Group, Inc.",ALK,0.21%
State Street Institutional Liquid Reserves Fund,SSIXX,0.17%
U.S. Dollar,Other,0.01%
"S&P Global, Inc.",SPGI,0.0%
