Holding,Symbol,Weighting
Apple Inc.,AAPL,24.63%
Microsoft Corporation,MSFT,22.39%
NVIDIA Corporation,NVDA,4.17%
Visa Inc. Class A,V,3.8%
Mastercard Incorporated Class A,MA,3.21%
Broadcom Inc.,AVGO,2.32%
"Cisco Systems, Inc.",CSCO,2.06%
Accenture Plc Class A,ACN,2.05%
Adobe Incorporated,ADBE,2.02%
"Salesforce, Inc.",CRM,1.96%
Intel Corporation,INTC,1.77%
Qualcomm Incorporated,QCOM,1.69%
Texas Instruments Incorporated,TXN,1.63%
International Business Machines Corporation,IBM,1.47%
"Advanced Micro Devices, Inc.",AMD,1.46%
Intuit Inc.,INTU,1.28%
Oracle Corporation,ORCL,1.26%
"ServiceNow, Inc.",NOW,1.11%
"Automatic Data Processing, Inc.",ADP,1.03%
"PayPal Holdings, Inc.",PYPL,0.96%
"Applied Materials, Inc.",AMAT,0.94%
"Analog Devices, Inc.",ADI,0.89%
"Micron Technology, Inc.",MU,0.72%
Lam Research Corporation,LRCX,0.69%
"Fidelity National Information Services, Inc.",FIS,0.67%
"Fiserv, Inc.",FISV,0.61%
KLA Corporation,KLAC,0.55%
"Synopsys, Inc.",SNPS,0.54%
"Roper Technologies, Inc.",ROP,0.48%
"Cadence Design Systems, Inc.",CDNS,0.48%
NXP Semiconductors NV,NXPI,0.46%
"Autodesk, Inc.",ADSK,0.45%
Amphenol Corporation Class A,APH,0.45%
"Fortinet, Inc.",FTNT,0.44%
"Paychex, Inc.",PAYX,0.43%
TE Connectivity Ltd.,TEL,0.42%
"Motorola Solutions, Inc.",MSI,0.41%
HP Inc.,HPQ,0.41%
Cognizant Technology Solutions Corporation Class A,CTSH,0.41%
Global Payments Inc.,GPN,0.37%
Microchip Technology Incorporated,MCHP,0.37%
Keysight Technologies Inc,KEYS,0.29%
"Enphase Energy, Inc.",ENPH,0.29%
Corning Inc,GLW,0.28%
ON Semiconductor Corporation,ON,0.26%
CDW Corp.,CDW,0.25%
"Arista Networks, Inc.",ANET,0.25%
"ANSYS, Inc.",ANSS,0.24%
"Gartner, Inc.",IT,0.22%
Hewlett Packard Enterprise Co.,HPE,0.2%
Teledyne Technologies Incorporated,TDY,0.2%
"Broadridge Financial Solutions, Inc.",BR,0.2%
"EPAM Systems, Inc.",EPAM,0.2%
"Monolithic Power Systems, Inc.",MPWR,0.2%
"FLEETCOR Technologies, Inc.",FLT,0.19%
Zebra Technologies Corporation Class A,ZBRA,0.18%
"VeriSign, Inc.",VRSN,0.18%
"SolarEdge Technologies, Inc.",SEDG,0.17%
"Skyworks Solutions, Inc.",SWKS,0.17%
"Teradyne, Inc.",TER,0.17%
"NetApp, Inc.",NTAP,0.17%
"Akamai Technologies, Inc.",AKAM,0.17%
Trimble Inc.,TRMB,0.17%
State Street Institutional Liquid Reserves Fund,SSIXX,0.16%
Seagate Technology Holdings PLC,STX,0.16%
"Tyler Technologies, Inc.",TYL,0.16%
"Paycom Software, Inc.",PAYC,0.16%
Western Digital Corporation,WDC,0.16%
NortonLifeLock Inc.,NLOK,0.15%
"Jack Henry & Associates, Inc.",JKHY,0.15%
"Citrix Systems, Inc.",CTXS,0.14%
PTC Inc.,PTC,0.13%
"Qorvo, Inc.",QRVO,0.12%
"F5, Inc.",FFIV,0.11%
"Juniper Networks, Inc.",JNPR,0.11%
DXC Technology Co.,DXC,0.09%
"Ceridian HCM Holding, Inc.",CDAY,0.08%
U.S. Dollar,Other,0.02%
