Holding,Symbol,Weighting
Procter & Gamble Company,PG,15.49%
Coca-Cola Company,KO,10.78%
"PepsiCo, Inc.",PEP,10.51%
Costco Wholesale Corporation,COST,10.09%
Walmart Inc.,WMT,4.65%
"Mondelez International, Inc. Class A",MDLZ,4.31%
Philip Morris International Inc.,PM,3.88%
Altria Group Inc,MO,3.85%
Colgate-Palmolive Company,CL,3.35%
Estee Lauder Companies Inc. Class A,EL,2.89%
Kimberly-Clark Corporation,KMB,2.33%
"General Mills, Inc.",GIS,2.3%
Sysco Corporation,SYY,2.26%
"Constellation Brands, Inc. Class A",STZ,2.09%
Archer-Daniels-Midland Company,ADM,2.06%
Monster Beverage Corporation,MNST,1.88%
Hershey Company,HSY,1.63%
Kroger Co.,KR,1.59%
Kraft Heinz Company,KHC,1.41%
Keurig Dr Pepper Inc.,KDP,1.37%
Walgreens Boots Alliance Inc,WBA,1.35%
"Tyson Foods, Inc. Class A",TSN,1.21%
"Church & Dwight Co., Inc.",CHD,1.19%
"McCormick & Company, Incorporated",MKC,1.05%
Kellogg Company,K,0.94%
Clorox Company,CLX,0.93%
"Conagra Brands, Inc.",CAG,0.81%
J.M. Smucker Company,SJM,0.74%
Hormel Foods Corporation,HRL,0.7%
Brown-Forman Corporation Class B,BF.B,0.67%
Molson Coors Beverage Company Class B,TAP,0.56%
"Lamb Weston Holdings, Inc.",LW,0.55%
Campbell Soup Company,CPB,0.51%
State Street Institutional Liquid Reserves Fund,SSIXX,0.09%
