Holding,Symbol,Weighting
American Tower Corporation,AMT,12.93%
"Prologis, Inc.",PLD,9.49%
Crown Castle International Corp,CCI,8.04%
"Equinix, Inc.",EQIX,6.04%
Public Storage,PSA,5.08%
Realty Income Corporation,O,4.47%
Welltower Inc,WELL,3.95%
"Digital Realty Trust, Inc.",DLR,3.74%
SBA Communications Corp. Class A,SBAC,3.72%
"Simon Property Group, Inc.",SPG,3.35%
VICI Properties Inc,VICI,3.27%
"AvalonBay Communities, Inc.",AVB,2.87%
Weyerhaeuser Company,WY,2.78%
"CBRE Group, Inc. Class A",CBRE,2.66%
Equity Residential,EQR,2.6%
Extra Space Storage Inc.,EXR,2.44%
Duke Realty Corporation,DRE,2.32%
"Alexandria Real Estate Equities, Inc.",ARE,2.21%
"Ventas, Inc.",VTR,2.16%
"Mid-America Apartment Communities, Inc.",MAA,2.07%
"Essex Property Trust, Inc.",ESS,1.85%
"Healthpeak Properties, Inc.",PEAK,1.51%
Camden Property Trust,CPT,1.51%
"UDR, Inc.",UDR,1.43%
"Iron Mountain, Inc.",IRM,1.41%
"Boston Properties, Inc.",BXP,1.32%
Kimco Realty Corporation,KIM,1.31%
"Host Hotels & Resorts, Inc.",HST,1.22%
Regency Centers Corporation,REG,0.99%
Federal Realty Investment Trust,FRT,0.74%
Vornado Realty Trust,VNO,0.49%
State Street Institutional Liquid Reserves Fund,SSIXX,0.05%
U.S. Dollar,Other,0.01%
