Holding,Symbol,Weighting
"NextEra Energy, Inc.",NEE,15.99%
Duke Energy Corporation,DUK,8.36%
Southern Company,SO,7.76%
Dominion Energy Inc,D,6.49%
"American Electric Power Company, Inc.",AEP,4.92%
Sempra Energy,SRE,4.73%
Exelon Corporation,EXC,4.4%
Xcel Energy Inc.,XEL,3.83%
"Consolidated Edison, Inc.",ED,3.34%
WEC Energy Group Inc,WEC,3.21%
Public Service Enterprise Group Inc,PEG,3.06%
Eversource Energy,ES,2.92%
"American Water Works Company, Inc.",AWK,2.71%
DTE Energy Company,DTE,2.45%
Edison International,EIX,2.37%
Ameren Corporation,AEE,2.28%
Entergy Corporation,ETR,2.27%
FirstEnergy Corp.,FE,2.17%
PPL Corporation,PPL,2.03%
CMS Energy Corporation,CMS,1.94%
Constellation Energy Corporation,CEG,1.92%
"CenterPoint Energy, Inc.",CNP,1.86%
Atmos Energy Corporation,ATO,1.57%
"Evergy, Inc.",EVRG,1.51%
Alliant Energy Corp,LNT,1.47%
AES Corporation,AES,1.39%
NiSource Inc,NI,1.18%
"NRG Energy, Inc.",NRG,0.87%
Pinnacle West Capital Corporation,PNW,0.81%
State Street Institutional Liquid Reserves Fund,SSIXX,0.18%
