Holding,Symbol,Weighting
"Amazon.com, Inc.",AMZN,22.84%
Tesla Inc,TSLA,18.35%
"Home Depot, Inc.",HD,9.15%
McDonald\'s Corporation,MCD,4.48%
"NIKE, Inc. Class B",NKE,4.12%
"Lowe\'s Companies, Inc.",LOW,3.8%
Starbucks Corporation,SBUX,2.82%
TJX Companies Inc,TJX,2.17%
Booking Holdings Inc.,BKNG,2.14%
Target Corporation,TGT,2.13%
Dollar General Corporation,DG,1.79%
General Motors Company,GM,1.45%
Ford Motor Company,F,1.41%
"O\'Reilly Automotive, Inc.",ORLY,1.39%
"AutoZone, Inc.",AZO,1.36%
"Marriott International, Inc. Class A",MAR,1.22%
"Dollar Tree, Inc.",DLTR,1.19%
"Chipotle Mexican Grill, Inc.",CMG,1.11%
"Yum! Brands, Inc.",YUM,1.05%
Hilton Worldwide Holdings Inc,HLT,0.99%
"Ross Stores, Inc.",ROST,0.85%
Aptiv PLC,APTV,0.75%
eBay Inc.,EBAY,0.74%
"D.R. Horton, Inc.",DHI,0.73%
Tractor Supply Company,TSCO,0.71%
Lennar Corporation Class A,LEN,0.63%
Ulta Beauty Inc,ULTA,0.63%
Genuine Parts Company,GPC,0.61%
Garmin Ltd.,GRMN,0.47%
V.F. Corporation,VFC,0.46%
"Darden Restaurants, Inc.",DRI,0.46%
Pool Corporation,POOL,0.46%
"Domino\'s Pizza, Inc.",DPZ,0.45%
"CarMax, Inc.",KMX,0.45%
"Best Buy Co., Inc.",BBY,0.45%
"Expedia Group, Inc.",EXPE,0.43%
"NVR, Inc.",NVR,0.42%
LKQ Corporation,LKQ,0.41%
Las Vegas Sands Corp.,LVS,0.37%
"Advance Auto Parts, Inc.",AAP,0.36%
"PulteGroup, Inc.",PHM,0.33%
"Hasbro, Inc.",HAS,0.33%
MGM Resorts International,MGM,0.32%
"Etsy, Inc.",ETSY,0.32%
Whirlpool Corporation,WHR,0.28%
"Tapestry, Inc.",TPR,0.25%
BorgWarner Inc.,BWA,0.25%
Caesars Entertainment Inc,CZR,0.24%
Newell Brands Inc,NWL,0.22%
Carnival Corporation,CCL,0.22%
Royal Caribbean Group,RCL,0.22%
"Mohawk Industries, Inc.",MHK,0.2%
"Bath & Body Works, Inc.",BBWI,0.19%
"Wynn Resorts, Limited",WYNN,0.18%
"Penn National Gaming, Inc.",PENN,0.15%
Norwegian Cruise Line Holdings Ltd.,NCLH,0.15%
Ralph Lauren Corporation Class A,RL,0.13%
State Street Institutional Liquid Reserves Fund,SSIXX,0.13%
PVH Corp.,PVH,0.12%
