ETF,Ticker,Technical Action,Score,weight,Dollar Amount,Name
XLK,SEDG,Buy,52.29274896465996,7.8136854453341,390.68427226670497,
XLU,NRG,Buy,42.11330224857763,6.292652487193768,314.6326243596884,
XLI,VRSK,Buy,42.092406610718974,6.289530219869144,314.47651099345717,
XLP,COST,Buy,37.5430301376391,5.609753435575915,280.4876717787958,
XLB,SHW,Buy,37.43771546562704,5.594017110059028,279.70085550295136,
XLC,LYV,Buy,36.96932647024923,5.524029504733257,276.2014752366628,
XLI,BA,Buy,32.31069647382209,4.827927844006263,241.39639220031313,
XLU,CEG,Buy,30.895352422195955,4.616444350877891,230.82221754389457,
XLI,TDG,Buy,30.176029260379867,4.508961668646507,225.44808343232535,
XLY,BKNG,Buy,29.425133902417777,4.396761406743227,219.83807033716135,
XLF,ALL,Buy,29.18696167275254,4.361173243541561,218.05866217707808,
XLF,GS,Buy,28.828380176616232,4.307593290817716,215.3796645408858,
XLC,NFLX,Buy,27.437667699361416,4.099790295998793,204.98951479993968,
XLV,MCK,Buy,26.8211660347286,4.0076714041956265,200.3835702097813,
XLK,MA,Buy,26.74485305084238,3.996268567984343,199.81342839921712,
XLU,ES,Buy,24.23522433511987,3.621274907152212,181.06374535761057,
XLK,KLAC,Buy,23.953668109792325,3.579204221953164,178.9602110976582,
XLF,AJG,Buy,23.69051789036442,3.5398837983726423,176.99418991863212,
XLC,PARA,Buy,22.441395653364022,3.353237495855839,167.6618747927919,
XLP,WMT,Buy,20.31218502740897,3.035086654535197,151.75433272675986,
XLE,MPC,Buy,19.356102902042252,2.892226982105838,144.61134910529188,
XLP,MNST,Buy,14.329409503169046,2.141128563556903,107.05642817784516,
XLRE,DLR,Buy,10.65236340866211,1.591697100891049,79.58485504455244,
