,Date,CPI
0,1967-12-01,3.383497007
1,1968-01-01,3.659987292
2,1968-02-01,3.682012499
3,1968-03-01,4.151667589
4,1968-04-01,4.165427174
5,1968-05-01,4.097704474
6,1968-06-01,4.557597098
7,1968-07-01,4.766361188
8,1968-08-01,4.960194431
9,1968-09-01,4.961849181
10,1968-10-01,5.198351909
11,1968-11-01,5.414944837
12,1968-12-01,5.72486893
13,1969-01-01,5.765763045
14,1969-02-01,5.769158001
15,1969-03-01,6.143376532
16,1969-04-01,6.524447618
17,1969-05-01,6.799346963
18,1969-06-01,6.392103407
19,1969-07-01,6.404961413
20,1969-08-01,6.430385766
21,1969-09-01,6.850795793
22,1969-10-01,6.574721234
23,1969-11-01,6.451706907
24,1969-12-01,6.425116862
25,1970-01-01,6.628279061
26,1970-02-01,7.09144749
27,1970-03-01,7.030543696
28,1970-04-01,6.855423125
29,1970-05-01,6.98585698
30,1970-06-01,7.191308106
31,1970-07-01,7.04714037
32,1970-08-01,7.154475413
33,1970-09-01,7.121184091
34,1970-10-01,7.097174731
35,1970-11-01,7.376794582
36,1970-12-01,7.381000774
37,1971-01-01,7.042661405
38,1971-02-01,6.360389898
39,1971-03-01,5.533559236
40,1971-04-01,5.338291383
41,1971-05-01,5.094236396
42,1971-06-01,5.273268229
43,1971-07-01,5.199542864
44,1971-08-01,4.947926701
45,1971-09-01,4.707522595
46,1971-10-01,4.41123702
47,1971-11-01,3.978662385
48,1971-12-01,3.708040621
49,1972-01-01,3.755946258
50,1972-02-01,3.864643731
51,1972-03-01,4.078580445
52,1972-04-01,3.991015808
53,1972-05-01,3.880713129
54,1972-06-01,3.504240606
55,1972-07-01,3.481835749
56,1972-08-01,3.380601319
57,1972-09-01,3.137835466
58,1972-10-01,3.344140047
59,1972-11-01,3.281095844
60,1972-12-01,3.153985901
61,1973-01-01,2.847928102
62,1973-02-01,2.886258664
63,1973-03-01,2.934248028
64,1973-04-01,3.036614659
65,1973-05-01,3.180735955
66,1973-06-01,3.104206448
67,1973-07-01,3.018552356
68,1973-08-01,3.329072164
69,1973-09-01,3.952644678
70,1973-10-01,4.775638756
71,1973-11-01,4.938670847
72,1973-12-01,5.319843098
73,1974-01-01,5.857506965
74,1974-02-01,6.303969131
75,1974-03-01,6.831393725
76,1974-04-01,7.120384207
77,1974-05-01,7.749650582
78,1974-06-01,8.640321526
79,1974-07-01,9.552860371
80,1974-08-01,10.130319088
81,1974-09-01,10.621603911
82,1974-10-01,10.591306867
83,1974-11-01,11.017162794
84,1974-12-01,11.527439415
85,1975-01-01,11.65667686
86,1975-02-01,11.816414421
87,1975-03-01,11.603717425
88,1975-04-01,11.729239119
89,1975-05-01,10.951529411
90,1975-06-01,10.45505733
91,1975-07-01,9.787927045
92,1975-08-01,8.938380195
93,1975-09-01,8.554354053
94,1975-10-01,8.142102792
95,1975-11-01,8.13591166
96,1975-12-01,7.727553082
97,1976-01-01,7.741363545
98,1976-02-01,7.425762409
99,1976-03-01,7.388426262
100,1976-04-01,6.899629973
101,1976-05-01,7.018298581
102,1976-06-01,6.922850698
103,1976-07-01,7.140992224
104,1976-08-01,7.405380061
105,1976-09-01,7.125381525
106,1976-10-01,6.910786682
107,1976-11-01,6.633941823
108,1976-12-01,6.218614511
109,1977-01-01,6.062302309
110,1977-02-01,6.063399587
111,1977-03-01,6.112229251
112,1977-04-01,6.591159521
113,1977-05-01,6.751544987
114,1977-06-01,6.930956833
115,1977-07-01,6.892219332
116,1977-08-01,6.843199666
117,1977-09-01,6.883555545
118,1977-10-01,6.96244877
119,1977-11-01,7.010588577
120,1977-12-01,7.387469073
121,1978-01-01,7.395951567
122,1978-02-01,7.365140892
123,1978-03-01,7.457868288
124,1978-04-01,7.437211324
125,1978-05-01,7.667650906
126,1978-06-01,7.705467144
127,1978-07-01,7.939210957
128,1978-08-01,8.204046896
129,1978-09-01,8.605577994
130,1978-10-01,9.062421667
131,1978-11-01,9.237557806
132,1978-12-01,9.071115875
133,1979-01-01,9.083750922
134,1979-02-01,9.586034706
135,1979-03-01,9.689852424
136,1979-04-01,9.934098639
137,1979-05-01,10.09794116
138,1979-06-01,10.284819787
139,1979-07-01,10.521237318
