,Date,ConsumerSentiment
0,1952-11-01,86.2
1,1952-12-01,
2,1953-01-01,
3,1953-02-01,90.7
4,1953-03-01,
5,1953-04-01,
6,1953-05-01,
7,1953-06-01,
8,1953-07-01,
9,1953-08-01,80.8
10,1953-09-01,
11,1953-10-01,
12,1953-11-01,80.7
13,1953-12-01,
14,1954-01-01,
15,1954-02-01,82.0
16,1954-03-01,
17,1954-04-01,
18,1954-05-01,82.9
19,1954-06-01,
20,1954-07-01,
21,1954-08-01,
22,1954-09-01,
23,1954-10-01,
24,1954-11-01,87.0
25,1954-12-01,
26,1955-01-01,
27,1955-02-01,95.9
28,1955-03-01,
29,1955-04-01,
30,1955-05-01,99.1
31,1955-06-01,
32,1955-07-01,
33,1955-08-01,
34,1955-09-01,
35,1955-10-01,
36,1955-11-01,99.7
37,1955-12-01,
38,1956-01-01,
39,1956-02-01,
40,1956-03-01,
41,1956-04-01,
42,1956-05-01,98.2
43,1956-06-01,
44,1956-07-01,
45,1956-08-01,99.9
46,1956-09-01,
47,1956-10-01,
48,1956-11-01,100.2
49,1956-12-01,
50,1957-01-01,
51,1957-02-01,
52,1957-03-01,
53,1957-04-01,
54,1957-05-01,92.9
55,1957-06-01,
56,1957-07-01,
57,1957-08-01,
58,1957-09-01,
59,1957-10-01,
60,1957-11-01,83.7
61,1957-12-01,
62,1958-01-01,
63,1958-02-01,78.5
64,1958-03-01,
65,1958-04-01,
66,1958-05-01,80.9
67,1958-06-01,
68,1958-07-01,
69,1958-08-01,
70,1958-09-01,
71,1958-10-01,
72,1958-11-01,90.8
73,1958-12-01,
74,1959-01-01,
75,1959-02-01,
76,1959-03-01,
77,1959-04-01,
78,1959-05-01,95.3
79,1959-06-01,
80,1959-07-01,
81,1959-08-01,
82,1959-09-01,
83,1959-10-01,
84,1959-11-01,93.8
85,1959-12-01,
86,1960-01-01,
87,1960-02-01,100.0
88,1960-03-01,
89,1960-04-01,
90,1960-05-01,93.3
91,1960-06-01,
92,1960-07-01,
93,1960-08-01,97.2
94,1960-09-01,
95,1960-10-01,
96,1960-11-01,90.1
97,1960-12-01,
98,1961-01-01,
99,1961-02-01,91.6
100,1961-03-01,
101,1961-04-01,
102,1961-05-01,92.5
103,1961-06-01,
104,1961-07-01,
105,1961-08-01,99.2
106,1961-09-01,
107,1961-10-01,
108,1961-11-01,93.0
109,1961-12-01,
110,1962-01-01,
111,1962-02-01,99.9
112,1962-03-01,
113,1962-04-01,
114,1962-05-01,95.4
115,1962-06-01,
116,1962-07-01,
117,1962-08-01,91.6
118,1962-09-01,
119,1962-10-01,
120,1962-11-01,95.0
121,1962-12-01,
122,1963-01-01,
123,1963-02-01,98.4
124,1963-03-01,
125,1963-04-01,
126,1963-05-01,91.7
127,1963-06-01,
128,1963-07-01,
129,1963-08-01,96.4
130,1963-09-01,
131,1963-10-01,
132,1963-11-01,94.4
133,1963-12-01,
134,1964-01-01,
135,1964-02-01,99.5
136,1964-03-01,
137,1964-04-01,
138,1964-05-01,98.5
139,1964-06-01,
140,1964-07-01,
141,1964-08-01,100.6
142,1964-09-01,
143,1964-10-01,
144,1964-11-01,99.9
145,1964-12-01,
146,1965-01-01,
147,1965-02-01,102.0
148,1965-03-01,
149,1965-04-01,
150,1965-05-01,105.4
151,1965-06-01,
152,1965-07-01,
153,1965-08-01,103.4
154,1965-09-01,
155,1965-10-01,
156,1965-11-01,102.9
157,1965-12-01,
158,1966-01-01,
159,1966-02-01,100.0
160,1966-03-01,
161,1966-04-01,
162,1966-05-01,95.7
163,1966-06-01,
164,1966-07-01,
165,1966-08-01,91.2
166,1966-09-01,
167,1966-10-01,
168,1966-11-01,88.3
169,1966-12-01,
170,1967-01-01,
171,1967-02-01,94.1
172,1967-03-01,
173,1967-04-01,
174,1967-05-01,95.9
175,1967-06-01,
176,1967-07-01,
177,1967-08-01,97.0
178,1967-09-01,
179,1967-10-01,
180,1967-11-01,92.9
181,1967-12-01,
182,1968-01-01,
183,1968-02-01,97.2
184,1968-03-01,
185,1968-04-01,
186,1968-05-01,92.4
187,1968-06-01,
188,1968-07-01,
189,1968-08-01,92.4
190,1968-09-01,
191,1968-10-01,
192,1968-11-01,91.7
193,1968-12-01,
194,1969-01-01,
195,1969-02-01,98.2
196,1969-03-01,
197,1969-04-01,
198,1969-05-01,91.5
199,1969-06-01,
200,1969-07-01,
201,1969-08-01,86.4
202,1969-09-01,
203,1969-10-01,
204,1969-11-01,79.7
205,1969-12-01,
206,1970-01-01,
207,1970-02-01,78.1
208,1970-03-01,
209,1970-04-01,
210,1970-05-01,75.4
211,1970-06-01,
212,1970-07-01,
213,1970-08-01,77.6
214,1970-09-01,
215,1970-10-01,
216,1970-11-01,72.4
217,1970-12-01,
218,1971-01-01,
219,1971-02-01,78.1
220,1971-03-01,
221,1971-04-01,
222,1971-05-01,80.2
223,1971-06-01,
224,1971-07-01,
225,1971-08-01,82.1
226,1971-09-01,
227,1971-10-01,
228,1971-11-01,82.0
229,1971-12-01,
230,1972-01-01,
231,1972-02-01,92.8
232,1972-03-01,
233,1972-04-01,
234,1972-05-01,88.6
235,1972-06-01,
236,1972-07-01,
237,1972-08-01,95.2
238,1972-09-01,
239,1972-10-01,
240,1972-11-01,90.7
241,1972-12-01,
242,1973-01-01,
243,1973-02-01,81.9
244,1973-03-01,
245,1973-04-01,
246,1973-05-01,77.0
247,1973-06-01,
248,1973-07-01,
249,1973-08-01,72.0
250,1973-09-01,
251,1973-10-01,
252,1973-11-01,76.5
253,1973-12-01,
254,1974-01-01,
255,1974-02-01,61.8
256,1974-03-01,
257,1974-04-01,
258,1974-05-01,72.1
259,1974-06-01,
260,1974-07-01,
261,1974-08-01,64.4
262,1974-09-01,
263,1974-10-01,
264,1974-11-01,59.5
265,1974-12-01,
266,1975-01-01,
267,1975-02-01,57.6
268,1975-03-01,
269,1975-04-01,
270,1975-05-01,72.8
271,1975-06-01,
272,1975-07-01,
273,1975-08-01,75.7
274,1975-09-01,
275,1975-10-01,
276,1975-11-01,75.6
277,1975-12-01,
278,1976-01-01,
279,1976-02-01,84.6
280,1976-03-01,
281,1976-04-01,
282,1976-05-01,83.3
283,1976-06-01,
284,1976-07-01,
285,1976-08-01,89.7
286,1976-09-01,
287,1976-10-01,
288,1976-11-01,87.0
289,1976-12-01,
290,1977-01-01,
291,1977-02-01,87.1
292,1977-03-01,
293,1977-04-01,
294,1977-05-01,90.2
295,1977-06-01,
296,1977-07-01,
297,1977-08-01,89.0
298,1977-09-01,
299,1977-10-01,
300,1977-11-01,84.4
301,1977-12-01,
302,1978-01-01,83.7
303,1978-02-01,84.3
304,1978-03-01,78.8
305,1978-04-01,81.6
306,1978-05-01,82.9
307,1978-06-01,80.0
308,1978-07-01,82.4
309,1978-08-01,78.4
310,1978-09-01,80.4
311,1978-10-01,79.3
312,1978-11-01,75.0
313,1978-12-01,66.1
314,1979-01-01,72.1
315,1979-02-01,73.9
316,1979-03-01,68.4
317,1979-04-01,66.0
318,1979-05-01,68.1
319,1979-06-01,65.8
320,1979-07-01,60.4
321,1979-08-01,64.5
322,1979-09-01,66.7
323,1979-10-01,62.1
324,1979-11-01,63.3
325,1979-12-01,61.0
326,1980-01-01,67.0
327,1980-02-01,66.9
328,1980-03-01,56.5
329,1980-04-01,52.7
330,1980-05-01,51.7
331,1980-06-01,58.7
332,1980-07-01,62.3
333,1980-08-01,67.3
334,1980-09-01,73.7
335,1980-10-01,75.0
336,1980-11-01,76.7
337,1980-12-01,64.5
338,1981-01-01,71.4
339,1981-02-01,66.9
340,1981-03-01,66.5
341,1981-04-01,72.4
342,1981-05-01,76.3
343,1981-06-01,73.1
344,1981-07-01,74.1
345,1981-08-01,77.2
346,1981-09-01,73.1
347,1981-10-01,70.3
348,1981-11-01,62.5
349,1981-12-01,64.3
350,1982-01-01,71.0
351,1982-02-01,66.5
352,1982-03-01,62.0
353,1982-04-01,65.5
354,1982-05-01,67.5
355,1982-06-01,65.7
356,1982-07-01,65.4
357,1982-08-01,65.4
358,1982-09-01,69.3
359,1982-10-01,73.4
360,1982-11-01,72.1
361,1982-12-01,71.9
362,1983-01-01,70.4
363,1983-02-01,74.6
364,1983-03-01,80.8
365,1983-04-01,89.1
366,1983-05-01,93.3
367,1983-06-01,92.2
368,1983-07-01,92.8
369,1983-08-01,90.9
370,1983-09-01,89.9
371,1983-10-01,89.3
372,1983-11-01,91.1
373,1983-12-01,94.2
374,1984-01-01,100.1
375,1984-02-01,97.4
376,1984-03-01,101.0
377,1984-04-01,96.1
378,1984-05-01,98.1
379,1984-06-01,95.5
380,1984-07-01,96.6
381,1984-08-01,99.1
382,1984-09-01,100.9
383,1984-10-01,96.3
384,1984-11-01,95.7
385,1984-12-01,92.9
386,1985-01-01,96.0
387,1985-02-01,93.7
388,1985-03-01,93.7
389,1985-04-01,94.6
390,1985-05-01,91.8
391,1985-06-01,96.5
392,1985-07-01,94.0
393,1985-08-01,92.4
394,1985-09-01,92.1
395,1985-10-01,88.4
396,1985-11-01,90.9
397,1985-12-01,93.9
398,1986-01-01,95.6
399,1986-02-01,95.9
400,1986-03-01,95.1
401,1986-04-01,96.2
402,1986-05-01,94.8
403,1986-06-01,99.3
404,1986-07-01,97.7
