,Date,GDP
0,1946-01-01,
1,1946-04-01,
2,1946-07-01,
3,1946-10-01,
4,1947-01-01,243.164
5,1947-04-01,245.968
6,1947-07-01,249.585
7,1947-10-01,259.745
8,1948-01-01,265.742
9,1948-04-01,272.567
10,1948-07-01,279.196
11,1948-10-01,280.366
12,1949-01-01,275.034
13,1949-04-01,271.351
14,1949-07-01,272.889
15,1949-10-01,270.627
16,1950-01-01,280.828
17,1950-04-01,290.383
18,1950-07-01,308.153
19,1950-10-01,319.945
20,1951-01-01,336.0
21,1951-04-01,344.09
22,1951-07-01,351.385
23,1951-10-01,356.178
24,1952-01-01,359.82
25,1952-04-01,361.03
26,1952-07-01,367.701
27,1952-10-01,380.812
28,1953-01-01,387.98
29,1953-04-01,391.749
30,1953-07-01,391.171
31,1953-10-01,385.97
32,1954-01-01,385.345
33,1954-04-01,386.121
34,1954-07-01,390.996
35,1954-10-01,399.734
36,1955-01-01,413.073
37,1955-04-01,421.532
38,1955-07-01,430.221
39,1955-10-01,437.092
40,1956-01-01,439.746
41,1956-04-01,446.01
42,1956-07-01,451.191
43,1956-10-01,460.463
44,1957-01-01,469.779
45,1957-04-01,472.025
46,1957-07-01,479.49
47,1957-10-01,474.864
48,1958-01-01,467.54
49,1958-04-01,471.978
50,1958-07-01,485.841
51,1958-10-01,499.555
52,1959-01-01,510.33
53,1959-04-01,522.653
54,1959-07-01,525.034
55,1959-10-01,528.6
56,1960-01-01,542.648
57,1960-04-01,541.08
58,1960-07-01,545.604
59,1960-10-01,540.197
60,1961-01-01,545.018
61,1961-04-01,555.545
62,1961-07-01,567.664
63,1961-10-01,580.612
64,1962-01-01,594.013
65,1962-04-01,600.366
66,1962-07-01,609.027
67,1962-10-01,612.28
68,1963-01-01,621.672
69,1963-04-01,629.752
70,1963-07-01,644.444
71,1963-10-01,653.938
72,1964-01-01,669.822
73,1964-04-01,678.674
74,1964-07-01,692.031
75,1964-10-01,697.319
76,1965-01-01,717.79
77,1965-04-01,730.191
78,1965-07-01,749.323
79,1965-10-01,771.857
80,1966-01-01,795.734
81,1966-04-01,804.981
82,1966-07-01,819.638
83,1966-10-01,833.302
84,1967-01-01,844.17
85,1967-04-01,848.983
86,1967-07-01,865.233
87,1967-10-01,881.439
88,1968-01-01,909.387
89,1968-04-01,934.344
90,1968-07-01,950.825
91,1968-10-01,968.03
92,1969-01-01,993.337
93,1969-04-01,1009.02
94,1969-07-01,1029.956
95,1969-10-01,1038.147
