,Date,Imports
0,1947-01-01,60.396
1,1947-04-01,61.559
2,1947-07-01,54.594
3,1947-10-01,57.538
4,1948-01-01,64.883
5,1948-04-01,67.455
6,1948-07-01,70.977
7,1948-10-01,69.826
8,1949-01-01,67.731
9,1949-04-01,66.743
10,1949-07-01,64.023
11,1949-10-01,64.987
12,1950-01-01,66.803
13,1950-04-01,70.49
14,1950-07-01,86.986
15,1950-10-01,87.149
16,1951-01-01,87.154
17,1951-04-01,84.266
18,1951-07-01,77.13
19,1951-10-01,75.113
20,1952-01-01,83.828
21,1952-04-01,83.394
22,1952-07-01,88.497
23,1952-10-01,96.431
24,1953-01-01,94.054
25,1953-04-01,98.932
26,1953-07-01,98.555
27,1953-10-01,93.707
28,1954-01-01,88.296
29,1954-04-01,96.237
30,1954-07-01,90.432
31,1954-10-01,91.29
32,1955-01-01,96.684
33,1955-04-01,102.167
34,1955-07-01,103.886
35,1955-10-01,107.65
36,1956-01-01,112.169
37,1956-04-01,111.585
38,1956-07-01,112.555
39,1956-10-01,107.392
40,1957-01-01,115.936
41,1957-04-01,116.84
42,1957-07-01,114.584
43,1957-10-01,114.971
44,1958-01-01,116.672
45,1958-04-01,121.661
46,1958-07-01,119.829
47,1958-10-01,126.132
48,1959-01-01,129.446
49,1959-04-01,135.745
50,1959-07-01,137.041
51,1959-10-01,133.561
52,1960-01-01,138.606
53,1960-04-01,139.636
54,1960-07-01,135.521
55,1960-10-01,129.128
56,1961-01-01,128.503
57,1961-04-01,130.073
58,1961-07-01,138.688
59,1961-10-01,141.986
60,1962-01-01,146.308
61,1962-04-01,149.5
62,1962-07-01,151.395
63,1962-10-01,153.246
64,1963-01-01,149.699
65,1963-04-01,153.223
66,1963-07-01,157.114
67,1963-10-01,156.598
68,1964-01-01,156.451
69,1964-04-01,159.973
70,1964-07-01,164.266
71,1964-10-01,168.709
72,1965-01-01,162.635
73,1965-04-01,181.828
74,1965-07-01,182.574
75,1965-10-01,191.482
76,1966-01-01,196.417
77,1966-04-01,201.302
78,1966-07-01,212.593
79,1966-10-01,214.987
80,1967-01-01,218.343
81,1967-04-01,216.608
82,1967-07-01,219.452
83,1967-10-01,231.026
84,1968-01-01,244.637
85,1968-04-01,248.369
86,1968-07-01,263.296
87,1968-10-01,261.077
88,1969-01-01,236.452
89,1969-04-01,283.101
90,1969-07-01,279.433
91,1969-10-01,276.363
92,1970-01-01,275.458
93,1970-04-01,280.902
94,1970-07-01,280.258
95,1970-10-01,284.604
96,1971-01-01,281.249
97,1971-04-01,302.466
98,1971-07-01,309.152
99,1971-10-01,288.197
100,1972-01-01,330.317
101,1972-04-01,318.581
102,1972-07-01,325.212
103,1972-10-01,339.862
104,1973-01-01,355.566
105,1973-04-01,345.318
106,1973-07-01,335.778
107,1973-10-01,338.284
108,1974-01-01,326.81
109,1974-04-01,344.123
110,1974-07-01,338.109
111,1974-10-01,334.754
112,1975-01-01,301.164
113,1975-04-01,277.065
114,1975-07-01,300.098
115,1975-10-01,316.117
116,1976-01-01,335.921
117,1976-04-01,350.47
118,1976-07-01,364.768
119,1976-10-01,376.841
120,1977-01-01,394.68
121,1977-04-01,398.319
122,1977-07-01,392.768
123,1977-10-01,398.342
124,1978-01-01,425.07
125,1978-04-01,426.419
126,1978-07-01,431.993
127,1978-10-01,437.924
128,1979-01-01,436.734
129,1979-04-01,439.092
130,1979-07-01,432.386
131,1979-10-01,441.816
132,1980-01-01,442.117
133,1980-04-01,410.012
134,1980-07-01,380.507
135,1980-10-01,400.911
136,1981-01-01,418.022
137,1981-04-01,418.639
138,1981-07-01,413.847
139,1981-10-01,425.696
140,1982-01-01,413.539
141,1982-04-01,406.768
142,1982-07-01,425.635
143,1982-10-01,408.929
144,1983-01-01,418.301
145,1983-04-01,450.465
146,1983-07-01,485.556
147,1983-10-01,509.375
148,1984-01-01,550.324
149,1984-04-01,573.377
150,1984-07-01,588.22
151,1984-10-01,605.461
152,1985-01-01,592.108
153,1985-04-01,621.201
154,1985-07-01,615.192
155,1985-10-01,639.267
156,1986-01-01,638.629
157,1986-04-01,665.801
158,1986-07-01,684.256
159,1986-10-01,689.567
160,1987-01-01,685.524
161,1987-04-01,702.675
162,1987-07-01,716.372
163,1987-10-01,732.845
164,1988-01-01,729.393
165,1988-04-01,720.992
166,1988-07-01,738.003
167,1988-10-01,760.484
168,1989-01-01,764.021
169,1989-04-01,767.643
170,1989-07-01,766.599
171,1989-10-01,780.469
172,1990-01-01,805.219
173,1990-04-01,803.868
174,1990-07-01,800.622
175,1990-10-01,779.151
176,1991-01-01,770.272
177,1991-04-01,783.963
178,1991-07-01,806.025
179,1991-10-01,823.831
180,1992-01-01,829.815
181,1992-04-01,843.457
182,1992-07-01,856.753
183,1992-10-01,877.263
184,1993-01-01,896.257
185,1993-04-01,914.774
186,1993-07-01,926.821
187,1993-10-01,964.055
188,1994-01-01,986.514
189,1994-04-01,1023.272
190,1994-07-01,1052.047
191,1994-10-01,1081.647
192,1995-01-01,1105.38
193,1995-04-01,1115.878
194,1995-07-01,1119.712
195,1995-10-01,1134.024
196,1996-01-01,1170.888
197,1996-04-01,1197.092
198,1996-07-01,1235.904
199,1996-10-01,1260.278
200,1997-01-01,1314.106
201,1997-04-01,1358.212
202,1997-07-01,1408.264
203,1997-10-01,1438.655
204,1998-01-01,1492.613
205,1998-04-01,1526.822
206,1998-07-01,1547.423
207,1998-10-01,1597.507
208,1999-01-01,1642.647
209,1999-04-01,1689.823
210,1999-07-01,1750.911
211,1999-10-01,1795.697
212,2000-01-01,1863.488
213,2000-04-01,1922.854
214,2000-07-01,1992.04
215,2000-10-01,1994.953
216,2001-01-01,1969.218
217,2001-04-01,1906.189
218,2001-07-01,1862.95
219,2001-10-01,1843.656
220,2002-01-01,1896.04
221,2002-04-01,1959.578
222,2002-07-01,1984.492
223,2002-10-01,2020.124
224,2003-01-01,2011.331
