,Date,MarketPrice
0,2013-04-30,1597.57
1,2013-05-01,1582.7
2,2013-05-02,1597.59
3,2013-05-03,1614.42
4,2013-05-06,1617.5
5,2013-05-07,1625.96
6,2013-05-08,1632.69
7,2013-05-09,1626.67
8,2013-05-10,1633.7
9,2013-05-13,1633.77
10,2013-05-14,1650.34
11,2013-05-15,1658.78
12,2013-05-16,1650.47
13,2013-05-17,1667.47
14,2013-05-20,1666.29
15,2013-05-21,1669.16
16,2013-05-22,1655.35
17,2013-05-23,1650.51
18,2013-05-24,1649.6
19,2013-05-27,
20,2013-05-28,1660.06
21,2013-05-29,1648.36
22,2013-05-30,1654.41
23,2013-05-31,1630.74
24,2013-06-03,1640.42
25,2013-06-04,1631.38
26,2013-06-05,1608.9
27,2013-06-06,1622.56
28,2013-06-07,1643.38
29,2013-06-10,1642.81
30,2013-06-11,1626.13
31,2013-06-12,1612.52
32,2013-06-13,1636.36
33,2013-06-14,1626.73
34,2013-06-17,1639.04
35,2013-06-18,1651.81
36,2013-06-19,1628.93
37,2013-06-20,1588.19
38,2013-06-21,1592.43
39,2013-06-24,1573.09
40,2013-06-25,1588.03
41,2013-06-26,1603.26
42,2013-06-27,1613.2
43,2013-06-28,1606.28
44,2013-07-01,1614.96
45,2013-07-02,1614.08
46,2013-07-03,1615.41
47,2013-07-04,
48,2013-07-05,1631.89
49,2013-07-08,1640.46
50,2013-07-09,1652.32
51,2013-07-10,1652.62
52,2013-07-11,1675.02
53,2013-07-12,1680.19
54,2013-07-15,1682.5
55,2013-07-16,1676.26
56,2013-07-17,1680.91
57,2013-07-18,1689.37
58,2013-07-19,1692.09
59,2013-07-22,1695.53
60,2013-07-23,1692.39
61,2013-07-24,1685.94
62,2013-07-25,1690.25
63,2013-07-26,1691.65
64,2013-07-29,1685.33
65,2013-07-30,1685.96
66,2013-07-31,1685.73
67,2013-08-01,1706.87
68,2013-08-02,1709.67
69,2013-08-05,1707.14
70,2013-08-06,1697.37
71,2013-08-07,1690.91
72,2013-08-08,1697.48
73,2013-08-09,1691.42
74,2013-08-12,1689.47
75,2013-08-13,1694.16
76,2013-08-14,1685.39
77,2013-08-15,1661.32
78,2013-08-16,1655.83
79,2013-08-19,1646.06
80,2013-08-20,1652.35
81,2013-08-21,1642.8
82,2013-08-22,1656.96
83,2013-08-23,1663.5
84,2013-08-26,1656.78
85,2013-08-27,1630.48
86,2013-08-28,1634.96
87,2013-08-29,1638.17
88,2013-08-30,1632.97
89,2013-09-02,
90,2013-09-03,1639.77
91,2013-09-04,1653.08
92,2013-09-05,1655.08
93,2013-09-06,1655.17
94,2013-09-09,1671.71
95,2013-09-10,1683.99
96,2013-09-11,1689.13
97,2013-09-12,1683.42
98,2013-09-13,1687.99
99,2013-09-16,1697.6
100,2013-09-17,1704.76
101,2013-09-18,1725.52
102,2013-09-19,1722.34
103,2013-09-20,1709.91
104,2013-09-23,1701.84
105,2013-09-24,1697.42
106,2013-09-25,1692.77
107,2013-09-26,1698.67
108,2013-09-27,1691.75
109,2013-09-30,1681.55
110,2013-10-01,1695.0
111,2013-10-02,1693.87
112,2013-10-03,1678.66
113,2013-10-04,1690.5
114,2013-10-07,1676.12
115,2013-10-08,1655.45
116,2013-10-09,1656.4
117,2013-10-10,1692.56
118,2013-10-11,1703.2
119,2013-10-14,1710.14
120,2013-10-15,1698.06
121,2013-10-16,1721.54
122,2013-10-17,1733.15
123,2013-10-18,1744.5
124,2013-10-21,1744.66
125,2013-10-22,1754.67
126,2013-10-23,1746.38
127,2013-10-24,1752.07
128,2013-10-25,1759.77
129,2013-10-28,1762.11
130,2013-10-29,1771.95
131,2013-10-30,1763.31
132,2013-10-31,1756.54
133,2013-11-01,1761.64
134,2013-11-04,1767.93
135,2013-11-05,1762.97
136,2013-11-06,1770.49
137,2013-11-07,1747.15
138,2013-11-08,1770.61
139,2013-11-11,1771.89
140,2013-11-12,1767.69
141,2013-11-13,1782.0
142,2013-11-14,1790.62
143,2013-11-15,1798.18
144,2013-11-18,1791.53
145,2013-11-19,1787.87
146,2013-11-20,1781.37
147,2013-11-21,1795.85
148,2013-11-22,1804.76
149,2013-11-25,1802.48
150,2013-11-26,1802.75
151,2013-11-27,1807.23
152,2013-11-28,
153,2013-11-29,1805.81
154,2013-12-02,1800.9
155,2013-12-03,1795.15
156,2013-12-04,1792.81
157,2013-12-05,1785.03
158,2013-12-06,1805.09
159,2013-12-09,1808.37
160,2013-12-10,1802.62
161,2013-12-11,1782.22
162,2013-12-12,1775.5
163,2013-12-13,1775.32
164,2013-12-16,1786.54
165,2013-12-17,1781.0
166,2013-12-18,1810.65
167,2013-12-19,1809.6
168,2013-12-20,1818.32
169,2013-12-23,1827.99
170,2013-12-24,1833.32
171,2013-12-25,
172,2013-12-26,1842.02
173,2013-12-27,1841.4
174,2013-12-30,1841.07
175,2013-12-31,1848.36
176,2014-01-01,
177,2014-01-02,1831.98
178,2014-01-03,1831.37
179,2014-01-06,1826.77
180,2014-01-07,1837.88
