,Date,PersonalConsumption
0,1995-01-01,
1,1995-04-01,
2,1995-07-01,
3,1995-10-01,
4,1996-01-01,
5,1996-04-01,
6,1996-07-01,
7,1996-10-01,
8,1997-01-01,
9,1997-04-01,
10,1997-07-01,
11,1997-10-01,
12,1998-01-01,
13,1998-04-01,
14,1998-07-01,
15,1998-10-01,
16,1999-01-01,
17,1999-04-01,
18,1999-07-01,
19,1999-10-01,
20,2000-01-01,
21,2000-04-01,
22,2000-07-01,
23,2000-10-01,
24,2001-01-01,
25,2001-04-01,
26,2001-07-01,
27,2001-10-01,
28,2002-01-01,2920.485
29,2002-04-01,2928.602
30,2002-07-01,2964.792
31,2002-10-01,2976.59
32,2003-01-01,2992.972
33,2003-04-01,3058.219
34,2003-07-01,3144.202
35,2003-10-01,3172.457
36,2004-01-01,3208.234
37,2004-04-01,3219.301
38,2004-07-01,3264.424
39,2004-10-01,3308.118
40,2005-01-01,3333.444
41,2005-04-01,3382.701
42,2005-07-01,3414.931
43,2005-10-01,3407.727
44,2006-01-01,3478.259
45,2006-04-01,3483.329
46,2006-07-01,3513.964
47,2006-10-01,3563.194
48,2007-01-01,3588.229
49,2007-04-01,3596.629
50,2007-07-01,3619.256
51,2007-10-01,3626.397
52,2008-01-01,3566.817
53,2008-04-01,3561.465
54,2008-07-01,3486.823
55,2008-10-01,3380.534
56,2009-01-01,3381.387
57,2009-04-01,3359.644
58,2009-07-01,3418.212
59,2009-10-01,3399.911
60,2010-01-01,3425.486
61,2010-04-01,3472.184
62,2010-07-01,3498.301
63,2010-10-01,3546.923
64,2011-01-01,3564.614
65,2011-04-01,3551.471
66,2011-07-01,3552.737
67,2011-10-01,3578.424
68,2012-01-01,3623.765
69,2012-04-01,3623.125
70,2012-07-01,3639.082
71,2012-10-01,3664.985
72,2013-01-01,3727.981
73,2013-04-01,3730.66
74,2013-07-01,3757.419
75,2013-10-01,3792.837
76,2014-01-01,3818.065
77,2014-04-01,3886.684
78,2014-07-01,3931.456
79,2014-10-01,3984.35
80,2015-01-01,4031.984
81,2015-04-01,4074.697
82,2015-07-01,4120.416
83,2015-10-01,4136.454
84,2016-01-01,4177.89
85,2016-04-01,4214.349
86,2016-07-01,4255.88
87,2016-10-01,4278.731
88,2017-01-01,4313.549
89,2017-04-01,4358.547
90,2017-07-01,4409.269
91,2017-10-01,4501.929
92,2018-01-01,4514.018
93,2018-04-01,4548.336
94,2018-07-01,4586.995
95,2018-10-01,4624.071
96,2019-01-01,4623.552
97,2019-04-01,4685.461
98,2019-07-01,4751.964
99,2019-10-01,4785.223
100,2020-01-01,4785.022
101,2020-04-01,4651.091
102,2020-07-01,5191.262
103,2020-10-01,5195.517
104,2021-01-01,5496.466
105,2021-04-01,5649.883
106,2021-07-01,5534.607
107,2021-10-01,5566.74
108,2022-01-01,5565.721
109,2022-04-01,5529.616
110,2022-07-01,5524.52
111,2022-10-01,5523.592
112,2023-01-01,5608.957
