,Date,RealGDP
0,1947-01-01,2034.45
1,1947-04-01,2029.024
2,1947-07-01,2024.834
3,1947-10-01,2056.508
4,1948-01-01,2087.442
5,1948-04-01,2121.899
6,1948-07-01,2134.056
7,1948-10-01,2136.44
8,1949-01-01,2107.001
9,1949-04-01,2099.814
10,1949-07-01,2121.493
11,1949-10-01,2103.688
12,1950-01-01,2186.365
13,1950-04-01,2253.045
14,1950-07-01,2340.112
15,1950-10-01,2384.92
16,1951-01-01,2417.311
17,1951-04-01,2459.196
18,1951-07-01,2509.88
19,1951-10-01,2515.408
20,1952-01-01,2542.286
21,1952-04-01,2547.762
22,1952-07-01,2566.153
23,1952-10-01,2650.431
24,1953-01-01,2699.699
25,1953-04-01,2720.566
26,1953-07-01,2705.258
27,1953-10-01,2664.302
28,1954-01-01,2651.566
29,1954-04-01,2654.456
30,1954-07-01,2684.434
31,1954-10-01,2736.96
32,1955-01-01,2815.134
33,1955-04-01,2860.942
34,1955-07-01,2899.578
35,1955-10-01,2916.985
36,1956-01-01,2905.656
37,1956-04-01,2929.666
38,1956-07-01,2927.034
39,1956-10-01,2975.209
40,1957-01-01,2994.259
41,1957-04-01,2987.699
42,1957-07-01,3016.979
43,1957-10-01,2985.775
44,1958-01-01,2908.281
45,1958-04-01,2927.395
46,1958-07-01,2995.112
47,1958-10-01,3065.141
48,1959-01-01,3123.978
49,1959-04-01,3194.429
50,1959-07-01,3196.683
51,1959-10-01,3205.79
52,1960-01-01,3277.847
53,1960-04-01,3260.177
54,1960-07-01,3276.133
55,1960-10-01,3234.087
56,1961-01-01,3255.914
57,1961-04-01,3311.181
58,1961-07-01,3374.742
59,1961-10-01,3440.924
60,1962-01-01,3502.298
61,1962-04-01,3533.947
62,1962-07-01,3577.362
63,1962-10-01,3589.128
64,1963-01-01,3628.306
65,1963-04-01,3669.02
66,1963-07-01,3749.681
67,1963-10-01,3774.264
68,1964-01-01,3853.835
69,1964-04-01,3895.793
70,1964-07-01,3956.657
71,1964-10-01,3968.878
72,1965-01-01,4064.915
73,1965-04-01,4116.267
74,1965-07-01,4207.782
75,1965-10-01,4304.731
76,1966-01-01,4409.518
77,1966-04-01,4424.581
78,1966-07-01,4462.053
79,1966-10-01,4498.66
80,1967-01-01,4538.498
81,1967-04-01,4541.28
82,1967-07-01,4584.246
83,1967-10-01,4618.812
84,1968-01-01,4713.013
85,1968-04-01,4791.758
86,1968-07-01,4828.892
87,1968-10-01,4847.885
88,1969-01-01,4923.76
89,1969-04-01,4938.728
90,1969-07-01,4971.349
91,1969-10-01,4947.104
92,1970-01-01,4939.759
93,1970-04-01,4946.77
94,1970-07-01,4992.357
95,1970-10-01,4938.857
96,1971-01-01,5072.996
97,1971-04-01,5100.447
98,1971-07-01,5142.422
99,1971-10-01,5154.547
