,Date,UnemploymentRate
0,1948-01-01,3.4
1,1948-02-01,3.8
2,1948-03-01,4.0
3,1948-04-01,3.9
4,1948-05-01,3.5
5,1948-06-01,3.6
6,1948-07-01,3.6
7,1948-08-01,3.9
8,1948-09-01,3.8
9,1948-10-01,3.7
10,1948-11-01,3.8
11,1948-12-01,4.0
12,1949-01-01,4.3
13,1949-02-01,4.7
14,1949-03-01,5.0
15,1949-04-01,5.3
16,1949-05-01,6.1
17,1949-06-01,6.2
18,1949-07-01,6.7
19,1949-08-01,6.8
20,1949-09-01,6.6
21,1949-10-01,7.9
22,1949-11-01,6.4
23,1949-12-01,6.6
24,1950-01-01,6.5
25,1950-02-01,6.4
26,1950-03-01,6.3
27,1950-04-01,5.8
28,1950-05-01,5.5
29,1950-06-01,5.4
30,1950-07-01,5.0
31,1950-08-01,4.5
32,1950-09-01,4.4
33,1950-10-01,4.2
34,1950-11-01,4.2
35,1950-12-01,4.3
36,1951-01-01,3.7
37,1951-02-01,3.4
38,1951-03-01,3.4
39,1951-04-01,3.1
40,1951-05-01,3.0
41,1951-06-01,3.2
42,1951-07-01,3.1
43,1951-08-01,3.1
44,1951-09-01,3.3
45,1951-10-01,3.5
46,1951-11-01,3.5
47,1951-12-01,3.1
48,1952-01-01,3.2
49,1952-02-01,3.1
50,1952-03-01,2.9
51,1952-04-01,2.9
52,1952-05-01,3.0
53,1952-06-01,3.0
54,1952-07-01,3.2
55,1952-08-01,3.4
56,1952-09-01,3.1
57,1952-10-01,3.0
58,1952-11-01,2.8
59,1952-12-01,2.7
60,1953-01-01,2.9
61,1953-02-01,2.6
62,1953-03-01,2.6
63,1953-04-01,2.7
64,1953-05-01,2.5
65,1953-06-01,2.5
66,1953-07-01,2.6
67,1953-08-01,2.7
68,1953-09-01,2.9
69,1953-10-01,3.1
70,1953-11-01,3.5
71,1953-12-01,4.5
72,1954-01-01,4.9
73,1954-02-01,5.2
74,1954-03-01,5.7
75,1954-04-01,5.9
76,1954-05-01,5.9
77,1954-06-01,5.6
78,1954-07-01,5.8
79,1954-08-01,6.0
80,1954-09-01,6.1
81,1954-10-01,5.7
82,1954-11-01,5.3
83,1954-12-01,5.0
84,1955-01-01,4.9
85,1955-02-01,4.7
86,1955-03-01,4.6
87,1955-04-01,4.7
88,1955-05-01,4.3
89,1955-06-01,4.2
90,1955-07-01,4.0
91,1955-08-01,4.2
92,1955-09-01,4.1
93,1955-10-01,4.3
94,1955-11-01,4.2
95,1955-12-01,4.2
96,1956-01-01,4.0
