,Unnamed: 0,Date,GDP,UnemploymentRate,RealGDP,Imports,Exports,FedRateHike,CPI,ConsumerSentiment,Score,Difference
128,128,1978-01-01,2202.76,6.4,6333.848,425.07,-122.507,6.53,7.395951567,83.7,-23.377767663435108,0.0
129,129,1978-04-01,2331.633,6.1,6578.605,426.419,-92.313,6.97,7.437211324,81.6,-24.59965673286107,-1.2218890694259628
130,130,1978-07-01,2395.053,6.2,6644.754,431.993,-94.221,8.01,7.939210957,82.4,-18.243576893428447,6.356079839432624
131,131,1978-10-01,2476.949,5.8,6734.069,437.924,-86.747,8.9,9.062421667,79.3,-16.170201717399188,2.073375176029259
132,132,1979-01-01,2526.61,5.9,6746.176,436.734,-85.281,10.84,9.083750922,72.1,-16.214472686306276,-0.044270968907088815
133,133,1979-04-01,2591.247,5.8,6753.389,439.092,-86.723,10.07,9.934098639,66.0,-19.3227248062587,-3.108252119952425
134,134,1979-07-01,2667.565,5.7,6803.558,432.386,-67.336,10.54,10.521237318,60.4,-19.893126309496825,-0.5704015032381236
135,135,1979-10-01,2723.883,6.0,6820.572,441.816,-53.797,12.06,11.279514365,62.1,-8.603723548902003,11.289402760594822
136,136,1980-01-01,2789.842,6.3,6842.024,442.117,-43.269,14.77,13.499249243,67.0,14.283457560643495,22.887181109545498
137,137,1980-04-01,2797.352,6.9,6701.046,410.012,-3.644,19.79,14.786779517,52.7,25.95036425226104,11.666906691617545
138,138,1980-07-01,2856.483,7.8,6693.082,380.507,24.995,9.47,14.178529783,62.3,15.867864842688803,-10.082499409572236
139,139,1980-10-01,2985.557,7.5,6817.903,400.911,2.135,13.05,13.133051948,75.0,26.373374056052807,10.505509213364004
140,140,1981-01-01,3124.206,7.5,6951.495,418.022,-7.397,22.0,12.062863603,71.4,39.14057452098709,12.76720046493428
141,141,1981-04-01,3162.532,7.2,6899.98,418.639,-5.794,14.51,9.752589153,72.4,10.366513890817782,-28.774060630169306
142,142,1981-07-01,3260.609,7.2,6982.609,413.847,-9.797,21.09,11.274384726,74.1,33.4610472015691,23.09453331075132
143,143,1981-10-01,3280.818,7.9,6906.529,425.696,-19.79,16.96,11.298313544,70.3,27.14273987960026,-6.318307321968842
144,144,1982-01-01,3274.302,8.6,6799.233,413.539,-25.25,13.13,9.499196473,71.0,16.36695760421145,-10.77578227538881
145,145,1982-04-01,3331.972,9.3,6830.251,406.768,-16.163,15.48,9.112202163,65.5,21.900148594207284,5.533190989995834
146,146,1982-07-01,3366.322,9.8,6804.139,425.635,-52.351,14.73,7.912560428,65.4,18.105146664577177,-3.795001929630107
147,147,1982-10-01,3402.561,10.4,6806.857,408.929,-52.751,10.87,6.000904404,73.4,11.911198827715126,-6.193947836862051
148,148,1983-01-01,3473.413,10.4,6896.561,418.301,-56.377,11.2,4.695598354,70.4,4.790209923376465,-7.1209889043386605
149,149,1983-04-01,3578.848,10.2,7053.5,450.465,-87.459,9.12,4.456933531,89.1,11.71856792806641,6.928358004689945
150,150,1983-07-01,3689.179,9.4,7194.504,485.556,-117.093,9.31,2.630755198,92.8,0.05955643603808153,-11.659011492028329
151,151,1983-10-01,3794.706,8.8,7344.597,509.375,-133.497,10.59,3.09331236,89.3,-2.2984604064985628,-2.358016842536644
152,152,1984-01-01,3908.054,8.0,7488.167,550.324,-166.6,9.92,4.485762548,100.1,4.178956002659237,6.477416409157799
153,153,1984-04-01,4009.601,7.7,7617.547,573.377,-180.117,10.24,4.646319003,96.1,0.4695015442012729,-3.709454458457964
154,154,1984-07-01,4084.25,7.5,7690.985,588.22,-186.272,10.85,4.897092721,96.6,2.009454817628932,1.539953273427659
155,155,1984-10-01,4148.551,7.4,7754.117,605.461,-195.335,11.38,5.103857709,96.3,3.288568468161385,1.279113650532453
156,156,1985-01-01,4230.168,7.3,7829.26,592.108,-180.895,8.74,4.726710471,96.0,-4.657561909066097,-7.946130377227482
157,157,1985-04-01,4294.887,7.3,7898.194,621.201,-210.869,8.83,4.754134291,94.6,-5.628564476744856,-0.9710025676787586
158,158,1985-07-01,4386.773,7.4,8018.809,615.192,-210.845,8.12,4.948295318,94.0,-5.470766364711868,0.15779811203298788
159,159,1985-10-01,4444.094,7.1,8078.415,639.267,-222.857,8.26,4.891950804,88.4,-12.005037039134544,-6.534270674422676
160,160,1986-01-01,4507.894,6.7,8153.829,638.629,-209.176,13.46,5.296961132,95.6,4.195289800202959,16.200326839337503
161,161,1986-04-01,4545.34,7.1,8190.552,665.801,-231.724,7.49,5.370857251,96.2,-5.063793348742237,-9.259083148945196
162,162,1986-07-01,4607.669,7.0,8268.935,684.256,-240.244,6.97,4.975291061,97.7,-7.433490866249897,-2.3696975175076593
163,163,1986-10-01,4657.627,7.0,8313.338,689.567,-228.966,5.99,4.897657302,95.6,-10.950275498881215,-3.5167846326313184
164,164,1987-01-01,4722.156,6.6,8375.274,685.524,-224.514,14.35,4.481798225,90.4,-1.2432793260954798,9.706996172785736
165,165,1987-04-01,4806.16,6.3,8465.63,702.675,-222.672,6.22,4.358079784,92.8,-19.83148185952628,-18.588202533430803
166,166,1987-07-01,4884.555,6.1,8539.075,716.372,-215.533,6.07,4.166490008,93.7,-21.314478135499506,-1.4829962759732247
167,167,1987-10-01,5007.994,6.0,8685.694,732.845,-213.322,7.71,4.343067431,89.3,-20.185663425461076,1.12881471003843
168,168,1988-01-01,5073.372,5.7,8730.569,729.393,-181.02,6.89,4.383640423,90.8,-22.02764669657902,-1.8419832711179431
169,169,1988-04-01,5190.036,5.4,8845.28,720.992,-157.251,6.7,4.388452903,91.2,-23.46323308356473,-1.4355863869857117
170,170,1988-07-01,5282.835,5.4,8897.107,738.003,-163.153,7.75,4.712055892,93.4,-17.61076575086922,5.852467332695511
171,171,1988-10-01,5399.509,5.4,9015.661,760.484,-168.089,8.54,4.616281806,94.1,-15.105809415592287,2.5049563352769333
172,172,1989-01-01,5511.253,5.4,9107.314,764.021,-153.932,9.04,4.756783262,97.9,-9.518836127207484,5.586973288384803
173,173,1989-04-01,5612.463,5.2,9176.827,767.643,-130.842,9.79,4.627130987,91.5,-13.868377956329969,-4.349541829122485
174,174,1989-07-01,5695.365,5.2,9244.816,766.599,-123.294,9.63,4.905247602,92.0,-11.985628523771638,1.882749432558331
175,175,1989-10-01,5747.237,5.3,9263.033,780.469,-127.426,9.24,4.81739966,93.9,-10.757929388661912,1.2276991351097255
176,176,1990-01-01,5872.701,5.4,9364.259,805.219,-123.815,7.97,4.92058886,93.0,-12.033085774981556,-1.2751563863196438
177,177,1990-04-01,5960.028,5.4,9398.243,803.868,-113.991,8.3,5.294133558,93.9,-8.318495576210626,3.7145901987709298
178,178,1990-07-01,6015.116,5.5,9404.494,800.622,-105.523,8.32,5.535071884,88.2,-10.287691193995286,-1.96919561778466
179,179,1990-10-01,6004.733,5.9,9318.876,779.151,-77.932,8.25,5.817450968,63.9,-23.926591854655467,-13.63890066066018
180,180,1991-01-01,6035.178,6.4,9275.276,770.272,-64.769,5.53,5.839029006,66.8,-23.164794911471454,0.761796943184013
181,181,1991-04-01,6126.862,6.7,9347.597,783.963,-52.738,6.48,5.302381155,81.8,-8.705042712653906,14.459752198817547
182,182,1991-07-01,6205.937,6.8,9394.834,806.025,-57.49,6.38,4.735708693,82.9,-9.427623742869276,-0.7225810302153697
183,183,1991-10-01,6264.54,7.0,9427.581,823.831,-58.44,5.4,4.310597235,78.3,-14.977525552762911,-5.549901809893635
184,184,1992-01-01,6363.102,7.3,9540.444,829.815,-50.588,4.09,4.069913371,67.5,-23.88321065792183,-8.905685105158918
185,185,1992-04-01,6470.763,7.4,9643.893,843.457,-63.859,4.98,4.077543119,77.2,-13.372392708506103,10.510817949415726
186,186,1992-07-01,6566.641,7.7,9739.185,856.753,-60.634,3.89,3.785344226,76.6,-14.370004427103833,-0.9976117185977298
187,187,1992-10-01,6680.803,7.3,9840.753,877.263,-77.153,3.58,3.654950596,73.3,-21.22315266663019,-6.853148239526359
188,188,1993-01-01,6729.459,7.3,9857.185,896.257,-94.361,2.66,3.547354737,89.3,-11.69660399235056,9.526548674279631
189,189,1993-04-01,6808.939,7.1,9914.565,914.774,-103.294,3.31,3.422176699,85.6,-15.03550959242099,-3.3389056000704294
190,190,1993-07-01,6882.098,6.9,9961.873,926.821,-117.522,3.27,3.437046316,77.0,-23.235590534481464,-8.200080942060474
191,191,1993-10-01,7013.738,6.8,10097.362,964.055,-128.671,3.19,3.433321443,82.7,-19.226089369688186,4.009501164793278
192,192,1994-01-01,7115.652,6.6,10195.338,986.514,-142.93,2.85,3.384372964,94.3,-12.731985278368663,6.494104091319523
193,193,1994-04-01,7246.931,6.4,10333.495,1023.272,-151.207,3.64,3.364064138,92.6,-13.259571135077486,-0.5275858567088232
194,194,1994-07-01,7331.075,6.1,10393.898,1052.047,-147.342,3.82,3.245680943,89.0,-17.898088644216,-4.638517509138513
195,195,1994-10-01,7455.288,5.8,10512.962,1081.647,-156.058,5.44,3.178740091,92.7,-13.666470136398656,4.231618507817343
196,196,1995-01-01,7522.289,5.6,10550.251,1105.38,-161.962,4.94,3.159681044,97.6,-12.469439072460062,1.197031063938594
197,197,1995-04-01,7580.997,5.8,10581.723,1115.878,-159.231,6.3,3.322916117,92.5,-10.509042775561369,1.9603962968986934
198,198,1995-07-01,7683.125,5.7,10671.738,1119.712,-121.666,6.11,3.402097044,94.4,-8.39084661909517,2.1181961564661993
199,199,1995-10-01,7772.586,5.5,10744.203,1134.024,-121.729,6.2,3.479287466,90.2,-12.15936314560546,-3.7685165265102896
200,200,1996-01-01,7868.468,5.6,10824.674,1170.888,-146.406,4.73,3.294296705,89.3,-15.995620696769103,-3.8362575511636443
201,201,1996-04-01,8032.84,5.6,11005.217,1197.092,-155.958,5.53,3.021419042,92.7,-12.047368703677222,3.9482519930918816
202,202,1996-07-01,8131.408,5.5,11103.935,1235.904,-186.355,7.8,3.103134864,94.7,-5.957432455429422,6.0899362482478
203,203,1996-10-01,8259.771,5.2,11219.238,1260.278,-145.303,5.53,2.957328624,96.5,-10.798841955126852,-4.84140949969743
204,204,1997-01-01,8362.655,5.3,11291.665,1314.106,-177.951,6.26,2.924852958,97.4,-7.762920549416936,3.0359214057099155
205,205,1997-04-01,8518.825,5.1,11479.33,1358.212,-176.638,6.18,2.924881516,101.4,-5.280246473787281,2.482674075629655
206,206,1997-07-01,8662.823,4.9,11622.911,1408.264,-199.322,6.24,2.764311367,107.1,-2.6599964329809516,2.62025004080633
207,207,1997-10-01,8765.907,4.7,11722.722,1438.655,-231.397,5.65,2.633884037,105.6,-7.47006659842718,-4.810070165446229
208,208,1998-01-01,8866.48,4.6,11839.876,1492.613,-279.7,5.84,2.686312997,106.6,-7.191934361457913,0.2781322369692667
209,209,1998-04-01,8969.699,4.3,11949.492,1526.822,-327.298,5.72,2.650550927,108.7,-9.004346021233346,-1.8124116597754325
210,210,1998-07-01,9121.097,4.5,12099.191,1547.423,-353.478,6.35,2.613395599,105.2,-8.547318561063852,0.4570274601694937
211,211,1998-10-01,9293.991,4.5,12294.737,1597.507,-359.388,5.73,2.54435291,97.4,-14.956889515510841,-6.409570954446989
212,212,1999-01-01,9411.682,4.3,12410.778,1642.647,-408.119,4.07,2.3907588,103.9,-16.40366790850437,-1.4467783929935294
213,213,1999-04-01,9526.21,4.3,12514.408,1689.823,-440.213,5.41,2.2358613,104.6,-13.513467142481872,2.890200766022499
214,214,1999-07-01,9686.626,4.3,12679.977,1750.911,-463.751,5.76,2.1244533,106.0,-11.455823426999128,2.057643715482744
215,215,1999-10-01,9900.169,4.1,12888.281,1795.697,-481.06,5.26,2.0639533,103.2,-15.642585954483815,-4.186762527484687
216,216,2000-01-01,10002.179,4.0,12935.252,1863.488,-529.823,3.99,2.350195,112.0,-11.611828557394432,4.030757397089383
217,217,2000-04-01,10247.72,3.8,13170.749,1922.854,-548.563,6.17,2.4247194,109.2,-9.00828978472128,2.6035387726731525
218,218,2000-07-01,10318.165,4.0,13183.89,1992.04,-584.71,6.86,2.7240005,108.3,-5.254034849005556,3.754254935715723
219,219,2000-10-01,10435.744,3.9,13262.25,1994.953,-601.605,6.6,2.9310365,105.8,-7.547986474164664,-2.2939516251591074
220,220,2001-01-01,10470.231,4.2,13219.251,1969.218,-593.418,5.41,2.8896431,94.7,-16.289332606661826,-8.741346132497164
221,221,2001-04-01,10599.0,4.4,13301.394,1906.189,-570.756,5.29,3.1007641,88.4,-18.102874309351964,-1.813541702690138
222,222,2001-07-01,10598.02,4.6,13248.142,1862.95,-595.951,3.95,3.2190557,92.4,-17.01353842597729,1.0893358833746731
223,223,2001-10-01,10660.465,5.3,13284.881,1843.656,-620.749,3.02,3.4934371,82.7,-19.94659536360048,-2.9330569376231885
224,224,2002-01-01,10783.5,5.7,13394.91,1896.04,-646.42,1.52,3.5684398,93.0,-11.379963054791453,8.566632308809027
225,225,2002-04-01,10887.46,5.9,13477.356,1959.578,-672.761,1.88,3.4775061,93.0,-8.99115510693064,2.3888079478608137
226,226,2002-07-01,10984.04,5.8,13531.741,1984.492,-693.624,1.83,3.2740984,88.1,-14.536591943592972,-5.545436836662333
227,227,2002-10-01,11061.433,5.7,13549.421,2020.124,-748.328,1.85,2.9477485,80.6,-23.43581987411692,-8.899227930523947
228,228,2003-01-01,11174.129,5.8,13619.434,2011.331,-743.445,1.16,2.7875531,82.4,-22.945863956512643,0.48995591760427715
229,229,2003-04-01,11312.766,6.0,13741.107,2040.651,-770.518,1.29,2.4593491,86.0,-19.55851707247258,3.3873468840400633
