ETF,Ticker,Technical Action,Score,Sector
XLC,NFLX,Buy,4.812965572436361,XLC
XLC,T,Buy,4.472249260619532,XLC
XLC,FOX,Sell,3.942500639065948,XLC
XLC,FOXA,Sell,3.8689770021100793,XLC
XLC,TMUS,Buy,3.3724034756337185,XLC
XLC,TTWO,Buy,3.3488184416497897,XLC
XLC,LYV,Buy,3.054913811664344,XLC
XLC,LUMN,Sell,2.937484408012421,XLC
XLC,CHTR,Buy,2.4966113263587046,XLC
XLC,NWS,Buy,2.483425675711948,XLC
XLC,META,Sell,2.094947839357348,XLC
XLC,EA,Buy,1.6314150300175048,XLC
XLC,NWSA,Sell,1.5312927515203971,XLC
XLC,VZ,Buy,1.1691245176719107,XLC
XLC,WBD,Sell,0.9067096684767754,XLC
XLC,GOOGL,Sell,0.3445735796676863,XLC
XLC,GOOG,Sell,0.3445476724415316,XLC
XLC,MTCH,Sell,0.3044776182037269,XLC
XLC,PARA,Buy,-0.0582577361691088,XLC
XLC,CMCSA,Sell,-0.4187926761547645,XLC
XLC,DIS,Sell,-0.8846225655456393,XLC
XLC,IPG,Sell,-1.0769436635908818,XLC
XLC,OMC,Sell,-1.1152098324074935,XLC
XLY,TJX,Buy,3.6176632059942593,XLY
XLY,TPR,Buy,3.426383208550976,XLY
XLY,ORLY,Buy,3.414206359533839,XLY
XLY,BKNG,Buy,3.154703515364049,XLY
XLY,RCL,Sell,2.7678614232745997,XLY
XLY,AZO,Buy,2.5510735418853354,XLY
XLY,EBAY,Buy,2.5119076655889487,XLY
XLY,RL,Sell,2.2849646897627807,XLY
XLY,DRI,Buy,2.24028071090125,XLY
XLY,TSLA,Sell,1.9546471893938453,XLY
XLY,HLT,Sell,1.8255785497653156,XLY
XLY,CCL,Sell,1.7399050865828154,XLY
XLY,MCD,Buy,1.6189407894429266,XLY
XLY,EXPE,Sell,1.4116508807073236,XLY
XLY,GRMN,Sell,1.1460463319574494,XLY
XLY,ROST,Sell,1.0998646346502072,XLY
XLY,HD,Sell,1.027220016330364,XLY
XLY,YUM,Buy,0.9667907971499567,XLY
XLY,SBUX,Sell,0.8786456827626552,XLY
XLY,NCLH,Sell,0.8520133896023916,XLY
XLY,VFC,Sell,0.8165382414058191,XLY
XLY,MAR,Sell,0.7210238589781464,XLY
XLY,AMZN,Sell,0.6028282881639381,XLY
XLY,PENN,Sell,0.5105275475520292,XLY
XLY,GM,Sell,0.4817311670232588,XLY
XLY,HAS,Sell,0.470021371321518,XLY
XLY,KMX,Sell,0.3628438535138035,XLY
XLY,ULTA,Buy,0.3315740161648852,XLY
XLY,LOW,Sell,0.2180294685792992,XLY
XLY,BBY,Sell,0.1999932087321408,XLY
XLY,PHM,Sell,-0.050490066061343,XLY
XLY,TSCO,Sell,-0.0868784120234677,XLY
XLY,NVR,Sell,-0.121525829715525,XLY
XLY,DPZ,Buy,-0.1438634472302025,XLY
XLY,MHK,Sell,-0.1552974322522801,XLY
XLY,WYNN,Sell,-0.1581228370012449,XLY
XLY,LKQ,Sell,-0.2881778643102092,XLY
XLY,DHI,Sell,-0.3438114290383455,XLY
XLY,BWA,Sell,-0.3632587796353179,XLY
XLY,APTV,Sell,-0.3757363313478803,XLY
XLY,NWL,Sell,-0.4248625500334392,XLY
XLY,WHR,Sell,-0.4552867446781193,XLY
XLY,LVS,Sell,-0.4557974124540558,XLY
XLY,MGM,Sell,-0.5471897140444189,XLY
XLY,F,Sell,-0.5875337135157959,XLY
XLY,CZR,Sell,-0.6066146854192708,XLY
XLY,POOL,Sell,-0.6737305700713989,XLY
XLY,BBWI,Sell,-0.8129172340052352,XLY
XLY,DLTR,Buy,-0.9282238681209336,XLY
XLY,CMG,Sell,-0.9770478856394575,XLY
XLY,DG,Buy,-1.173171607348746,XLY
XLY,GPC,Sell,-1.322348276156608,XLY
XLY,PVH,Sell,-1.395216133770164,XLY
XLY,ETSY,Sell,-1.5476237017577277,XLY
XLY,LEN,Sell,-1.658230252137047,XLY
XLY,NKE,Sell,-1.833388578656389,XLY
XLY,TGT,Sell,-2.072183279819008,XLY
XLY,AAP,Sell,-2.5831683098932694,XLY
XLP,PM,Buy,5.079356110582051,XLP
XLP,WMT,Buy,4.50544206116015,XLP
XLP,K,Buy,3.511956422279125,XLP
XLP,MO,Buy,3.4951311409209307,XLP
XLP,COST,Buy,3.33324499414525,XLP
XLP,KR,Buy,2.715131223617585,XLP
XLP,KO,Buy,1.9428185927622403,XLP
XLP,MNST,Buy,1.3034596778209928,XLP
XLP,KDP,Buy,0.5704084014762034,XLP
XLP,MKC,Sell,0.3478689936378777,XLP
XLP,TAP,Sell,0.3135309906815421,XLP
XLP,SJM,Buy,0.287197120960167,XLP
XLP,CLX,Sell,0.1524540116682389,XLP
XLP,CL,Buy,0.0852007001441081,XLP
XLP,SYY,Sell,-0.065813234628522,XLP
XLP,PG,Sell,-0.1232002585356357,XLP
XLP,MDLZ,Buy,-0.1801513703453221,XLP
XLP,KMB,Sell,-0.2665614069819156,XLP
XLP,TSN,Buy,-0.3612375770405597,XLP
