,Beta,Dividend Yield,Forward P/E,Trailing P/E,Market Cap,Trailing EPS,Forward EPS,PEG Ratio,Price To Book,E/V to EBITDA,Free Cash Flow,Deb To Equity,Earnings Growth,Ebitda margins,Quick Ratio,Target Mean Price,Return on Equity,Revenue Growth,Current Ratio,Current Price
AAPL,1.19455,0.0057,27.847898,30.677362,2823541489664.0,5.61,6.18,2.59,44.80604,20.71,83344621568.0,205.984,-0.077,0.3343,0.697,181.87,1.62816,0.019,0.865,172.1
MSFT,0.932311,0.0088,27.695446,32.655777,2191654387712.0,8.939,10.54,1.73,14.421005,21.099,49479000064.0,47.075,0.031,0.49418998,1.567,339.48,0.47151002,0.124,1.785,291.91
AMZN,1.246487,,2.785756,2.8092527,72801099776.0,51.099,51.53,7.17,0.6036611,27.968,-13441125376.0,119.907,,0.10829,0.679,169.37,0.094289996,0.072,0.953,143.55
TSLA,2.112388,,102.75,293.95493,903924350976.0,3.062,8.76,1.58,33.404716,65.584,5962749952.0,17.699,0.907,0.20889,0.968,879.36,0.2989,0.416,1.431,900.09
GOOG,1.099616,,1.0921638,1.1815423,81405624320.0,103.805,112.3,1.62,0.33333695,14.711,51070373888.0,11.28,-0.113,0.34834,2.642,148.95,0.29216,0.126,2.809,122.65
GOOGL,1.099616,,1.0823697,1.1721978,80771309568.0,103.805,112.42,1.62,0.3307007,14.668,51070373888.0,11.28,-0.113,0.34834,2.642,147.86,0.29216,0.126,2.809,121.68
NVDA,1.636866,0.00090000004,35.909786,57.690407,466228281344.0,3.243,5.21,1.48,19.668839,35.553,8018375168.0,45.008,-0.158,0.42426,4.634,241.54,0.41948003,0.464,5.317,187.09
META,1.40613,,,,,,,2.05,,8.406,29296625664.0,13.262,-0.319,0.40225,2.341,246.56,0.25478,-0.009,2.52,180.5
PEP,0.565346,0.026300002,26.310091,30.209541,245185331200.0,5.87,6.74,3.3,15.4414835,18.572,5905375232.0,210.34,-0.394,0.18099001,0.595,181.53,0.54608,0.052,0.831,177.33
COST,0.650063,0.0067000003,38.482094,46.191746,238216118272.0,11.63,13.96,3.0,12.902536,23.59,3377250048.0,44.05,0.105,0.046290003,0.434,553.92,0.30576,0.162,1.037,537.21
AVGO,1.104725,0.0306,15.484882,37.215332,230478643200.0,15.0,36.05,1.06,9.235949,14.636,12099125248.0,188.023,0.797,0.56201,1.749,671.52,0.39714,0.226,2.143,558.23
ADBE,1.108131,,27.425846,44.478043,212049788928.0,10.02,16.25,2.1,14.336679,28.714,5786500096.0,33.307,0.073,0.39909,0.933,466.24,0.35126,0.144,1.071,445.67
CSCO,0.962111,0.0335,12.665761,17.327137,196582801408.0,2.69,3.68,2.11,4.603002,11.092,10352124928.0,25.985,0.076,0.31157,1.23,53.42,0.29790002,0.002,1.49,46.61
TMUS,0.473818,,45.203705,55.06015,182935863296.0,2.66,3.24,1.05,2.6734085,11.182,5230125056.0,160.031,,0.3214,0.629,171.16,0.02499,-0.012,0.847,146.46
CMCSA,0.985525,0.028800001,10.840108,12.865873,182756802560.0,3.109,3.69,0.99,1.9080328,7.142,10681124864.0,106.062,-0.05,0.29823,0.681,51.48,0.14338,0.051,0.877,40.0
TXN,0.974031,0.0257,22.52491,23.803288,171203264512.0,7.788,8.23,1.97,14.087697,14.431,4167875072.0,51.405,0.195,0.57405996,4.132,184.63,0.6795,0.138,5.095,185.38
QCOM,1.223073,0.0207,12.997421,19.223633,169444786176.0,7.87,11.64,0.82,17.106512,10.219,5584124928.0,96.866,0.859,0.39848998,0.9,194.73,1.0618,0.357,1.606,151.29
AMD,1.940825,,30.188623,31.101171,121763315712.0,3.242,3.34,0.74,17.12466,30.612,3261874944.0,3.898,0.244,0.25736,1.83,128.3,0.10979,0.709,2.395,100.83
INTC,0.670923,0.0402,9.7594595,7.000776,146859376640.0,5.158,3.7,4.27,1.6301748,6.216,2844124928.0,35.004,,0.34515998,1.234,48.33,0.20496,-0.22,1.859,36.11
AMGN,0.581524,0.031400003,13.837882,25.604576,139909644288.0,9.701,17.95,2.02,17.079695,12.605,7442625024.0,4023.362,-0.053,0.48988998,0.902,251.76,1.11668,0.057,1.437,248.39
INTU,1.136653,0.006,35.678886,64.1947,137806053376.0,7.581,13.64,2.21,13.661398,35.911,3726749952.0,43.305,0.185,0.28579,1.294,518.17,0.18591,0.35,1.631,486.66
HON,1.082588,0.020399999,22.368597,25.851994,138283515904.0,7.77,8.98,2.31,7.750511,16.923,3413125120.0,110.32,-0.098,0.24304001,0.831,206.16,0.28083,0.016,1.196,200.87
PYPL,1.433375,,19.184061,24.308727,118785425408.0,4.159,5.27,1.56,5.3730865,20.918,1773624960.0,48.668,-0.533,0.18934,0.201,112.62,0.17885,0.075,1.191,101.1
NFLX,1.277564,,19.045073,22.477686,110427938816.0,11.091,13.09,2.4,7.2106204,17.836,16699799552.0,88.641,0.077,0.20075001,0.878,254.49,0.30934,0.086,1.045,249.3
ADP,0.823329,0.0173,34.374832,40.629745,108202983424.0,6.32,7.47,2.07,20.252386,23.376,5327875072.0,108.343,0.183,0.26548,0.084,236.75,0.66302,0.105,0.994,256.78
SBUX,0.925074,0.0231,,,,,,3.9,,18.384,3006387456.0,,0.036,0.20517999,0.58,94.21,,0.145,0.828,88.31
ADI,1.093231,0.0177,21.064629,51.809246,94170832896.0,3.46,8.51,1.11,2.4786716,20.405,3021265664.0,16.855,0.307,0.47175997,1.438,195.38,0.06667,0.789,1.992,179.26
AMAT,1.503192,0.0098,12.472316,17.246874,98074066944.0,6.4,8.85,1.02,8.03933,11.295,3592375040.0,50.522,0.217,0.33553,1.35,137.31,0.57322,0.119,2.292,110.38
MDLZ,0.621541,0.024,20.709677,20.43935,89557065728.0,3.141,3.1,3.45,3.2331166,17.522,3020375040.0,71.502,-0.289,0.20145,0.385,73.09,0.14050001,0.095,0.678,64.2
ISRG,1.270327,,42.79533,51.394997,85154578432.0,4.638,5.57,7.74,7.4618874,38.356,1364887552.0,,-0.401,0.34015,4.597,255.2,0.12655,0.04,5.355,238.37
BKNG,1.254576,,21.129509,229.29514,87087013888.0,9.25,100.38,0.38,15.70689,21.856,5173749760.0,231.351,,0.28588,1.629,2556.93,0.11382,1.362,1.722,2120.98
GILD,0.39123,0.048899997,9.258823,10.773443,78975762432.0,5.844,6.8,-5.77,3.6801496,7.192,8696375296.0,131.599,-0.989,0.48147,1.146,69.48,0.23101999,0.026,1.476,62.96
CHTR,1.013197,,15.290054,21.78918,85722619904.0,21.943,31.27,0.46,5.0336366,7.872,7533000192.0,710.434,0.665,0.40633,0.286,602.26,0.33714,0.062,0.328,478.12
VRTX,0.494252,,21.979105,35.322617,74882293760.0,8.338,13.4,2.54,7.9174166,21.021,1882163968.0,7.999,0.189,0.38516998,4.372,298.01,0.2465,0.216,4.752,294.52
CSX,1.207322,0.0124,19.297752,21.617369,76187607040.0,1.589,1.78,1.24,5.7876997,12.0,2728375040.0,127.502,0.045,0.50893,0.962,35.54,0.29644,0.276,1.163,34.35
MU,1.27799,0.0074,5.6507382,10.066553,72855855104.0,6.461,11.51,0.69,1.5853361,3.642,3217250048.0,15.523,0.539,0.55673003,2.348,77.45,0.21663,0.164,3.24,65.04
FISV,0.816943,,16.904175,56.668396,72209571840.0,1.93,6.47,1.06,2.2845862,14.639,4985874944.0,67.297,1.3,0.34907,0.323,122.76,0.0646,0.098,1.048,109.37
LRCX,1.32269,0.012,14.149796,17.527039,73016958976.0,29.588,36.65,1.69,12.546937,12.231,1792326784.0,79.731,0.095,0.33178002,1.746,575.05,0.74849,0.118,2.691,518.59
REGN,0.31077,,13.150178,10.055178,67613360128.0,62.526,47.81,-0.66,3.8448038,6.196,5821150208.0,13.56,-0.147,0.57025003,3.953,685.14,0.49752998,0.173,4.757,628.71
MRNA,1.646803,,6.4669437,10.255212,69404925952.0,16.692,26.47,-0.15,6.847748,3.389,8587500032.0,5.546,2.021,0.73243,1.459,220.67,1.39989,2.132,1.77,171.18
ATVI,0.524052,0.0058999998,21.260527,23.966183,62926446592.0,3.371,3.8,2.54,3.711923,17.584,1775624960.0,20.234,-0.367,0.37693,5.092,94.22,0.14927,-0.223,5.45,80.79
SNPS,1.172839,,42.731705,80.13306,59141144576.0,4.81,9.02,2.01,11.141494,42.156,1466813312.0,12.124,0.524,0.27526,1.088,383.63,0.18812001,0.249,1.248,385.44
KDP,0.536482,0.0194,23.254436,32.479336,55725826048.0,1.21,1.69,3.25,2.2832906,18.879,2077500032.0,52.227,-0.516,0.26965,0.299,40.7,0.08764,0.132,0.558,39.3
KLAC,1.287356,0.011,17.94727,21.636963,57798307840.0,17.618,21.24,0.99,14.98251,15.184,,476.075,0.317,0.43467999,1.574,402.55,1.3915199,0.291,2.497,381.2
MELI,1.614303,,122.84999,685.09503,54550212608.0,1.578,8.8,0.98,434.86722,58.328,-2019850880.0,292.007,,0.094119996,0.747,1315.22,0.23392999,0.631,1.398,1081.08
MAR,1.618135,0.0076,30.840225,114.894966,53434814464.0,1.428,5.32,0.67,58.201492,24.659,1807500032.0,594.526,,0.63403,0.491,171.26,1.48255,0.965,0.532,164.07
AEP,0.357173,0.0317,20.881289,21.793364,51515355136.0,4.762,4.97,3.07,2.3458407,12.812,-4203974912.0,157.357,-0.113,0.38484,0.258,105.5,0.112110004,0.213,0.753,103.78
CDNS,1.091528,,53.042137,76.14113,52332535808.0,2.48,3.56,2.54,19.889402,44.337,1002527104.0,13.256,0.214,0.34541,1.386,194.35,0.30149,0.177,1.59,188.83
PANW,1.24223,,58.738014,,51985354752.0,-5.265,8.97,2.41,100.224464,-45277.113,1725487488.0,1170.438,,-0.00021,0.666,630.54,-0.58376,0.291,0.742,526.88
ADSK,1.460621,,34.115665,39.30668,51255906304.0,5.928,6.83,1.29,40.09119,53.968,1276075008.0,448.311,-0.043,0.19663,0.518,247.44,0.53830004,0.183,0.62,233.01
ASML,1.103018,0.0109,29.415731,38.353867,234112761856.0,15.017,19.58,1.21,20.424839,34.239,5230012416.0,57.669,0.405,0.34724,0.816,718.96,0.56933,0.351,1.355,575.96
PAYX,0.976585,0.024600001,35.041344,38.52557,48922255360.0,3.52,3.87,2.27,15.682896,22.567,1577325056.0,29.376,0.139,0.44057,0.482,127.81,0.46171,0.112,1.249,135.61
MNST,0.927203,,30.619045,31.475525,47633092608.0,2.86,2.94,2.59,7.6275206,27.21,682393472.0,0.5,-0.068,0.31636998,3.612,102.72,0.2201,0.221,4.542,90.02
MRVL,1.376756,0.0045,25.278538,,46712770560.0,-0.545,2.19,0.55,2.969957,34.609,1515845120.0,30.478,,0.2935,1.066,79.07,-0.03288,0.738,1.672,55.36
NXPI,1.420178,0.0184,15.596505,33.566696,49854459904.0,5.585,12.02,1.18,7.410467,12.339,2443375104.0,154.442,0.782,0.36863998,1.544,197.23,0.33367002,0.276,2.149,187.47
ORLY,0.99106,,23.799286,25.420969,49293365248.0,28.779,30.74,2.17,,15.791,1843472256.0,,0.054,0.23646,0.11,747.44,,0.059,0.748,731.59
KHC,0.787143,0.0434,14.647726,20.8127,47333621760.0,1.858,2.64,-8.43,0.9472833,10.792,2859749888.0,43.114,,0.23478001,0.402,42.4,0.0308,-0.009,0.892,38.67
