,Beta,Dividend Yield,Forward P/E,Trailing P/E,Market Cap,Trailing EPS,Forward EPS,PEG Ratio,Price To Book,E/V to EBITDA,Free Cash Flow,Deb To Equity,Earnings Growth,Ebitda margins,Quick Ratio,Target Mean Price,Return on Equity,Revenue Growth,Current Ratio,Current Price
AAPL,1.19455,0.0057,27.263756,30.033869,2764314509312.0,5.61,6.18,2.59,43.86618,20.71,83344621568.0,205.984,-0.077,0.3343,0.697,181.87,1.62816,0.019,0.865,168.49
MSFT,0.932311,0.0088,27.231499,32.108734,2154940334080.0,8.939,10.54,1.73,14.179428,21.099,49479000064.0,47.075,0.031,0.49418998,1.567,339.48,0.47151002,0.124,1.785,287.02
AMZN,1.246487,,2.729284,2.7523043,71325294592.0,51.099,51.53,7.17,0.59142387,27.968,-13441125376.0,119.907,,0.10829,0.679,169.37,0.094289996,0.072,0.953,140.64
GOOGL,1.099616,,1.0571072,1.1448388,78886109184.0,103.805,112.42,1.62,0.32298216,14.668,51070373888.0,11.28,-0.113,0.34834,2.642,147.86,0.29216,0.126,2.809,118.84
GOOG,1.099616,,1.0669634,1.1542797,79527288832.0,103.805,112.3,1.62,0.3256456,14.711,51070373888.0,11.28,-0.113,0.34834,2.642,148.95,0.29216,0.126,2.809,119.82
TSLA,2.112388,,98.16096,280.82626,863553126400.0,3.062,8.76,1.58,31.912786,65.584,5962749952.0,17.699,0.907,0.20889,0.968,879.36,0.2989,0.416,1.431,859.89
BRK.B,,,,,,,,,,,,,,,,,,,,
UNH,0.774372,0.012200001,24.61247,33.074295,501874720768.0,16.111,21.65,1.73,7.142416,19.717,17796749312.0,63.346,0.197,0.08993,0.526,572.87,0.24253,0.126,0.771,532.86
JNJ,0.630055,0.025899999,16.10212,24.979824,440012767232.0,6.691,10.38,4.25,6.261332,14.171,22485499904.0,42.69,-0.234,0.33877,1.087,187.84,0.2517,0.03,1.424,167.14
NVDA,1.636866,0.00090000004,34.43762,55.325314,447114641408.0,3.243,5.21,1.48,18.86249,35.553,8018375168.0,45.008,-0.158,0.42426,4.634,241.54,0.41948003,0.464,5.317,179.42
META,1.40613,,,,,,,2.05,,8.406,29296625664.0,13.262,-0.319,0.40225,2.341,246.56,0.25478,-0.009,2.52,177.49
XOM,1.051936,0.0363,15.8486395,,397052772352.0,-1.386,5.88,0.33,2.456765,6.015,39366750208.0,25.41,2.838,0.20382999,0.835,103.36,0.2305,0.745,1.163,93.19
PG,0.386121,0.026300002,22.83962,26.546051,351521931264.0,5.472,6.36,5.52,7.767914,17.304,9285749760.0,67.215,0.071,0.25715,0.374,158.61,0.3164,0.03,0.655,145.26
JPM,1.144316,0.0347,10.036758,7.5994687,363824775168.0,15.809,11.97,9.46,1.3912338,,,,-0.27,0.0,,139.04,0.1363,-0.096,,120.14
V,0.896977,0.0070999996,,,,,,1.62,,22.649,12285375488.0,67.06,0.359,0.70465,1.046,259.96,0.39854,0.187,1.427,211.08
PFE,0.679438,0.0317,0.9769371,13.793202,271045509120.0,3.501,49.43,-9.57,3.5796888,6.878,,44.072,0.764,0.42521,,58.49,,0.462,,48.29
CVX,1.132822,0.0347,16.784437,30.856369,307697876992.0,5.173,9.51,0.35,2.2647882,7.19,,19.941,2.719,0.22964,,175.7,,0.81,,159.62
HD,0.985951,0.0253,19.19024,20.774992,324434919424.0,14.955,16.19,1.16,314.1456,13.477,8576750080.0,,0.06,0.17262,0.223,347.99,847.1282,0.038,1.115,310.69
MA,1.032354,0.0055,33.293446,43.12177,344464818176.0,8.13,10.53,1.47,51.44995,27.811,9037124608.0,231.252,0.125,0.60335,0.789,419.62,1.51181,0.214,1.259,350.58
ABBV,0.748829,0.039300002,10.170365,33.86082,251180384256.0,4.196,13.97,63.35,18.536203,10.847,,451.44,0.217,0.51394004,,162.65,,0.045,,142.08
LLY,0.36739,0.0119,40.209618,45.980152,288096813056.0,6.55,7.49,3.74,35.216324,28.997,4736287744.0,174.931,0.409,0.36563,0.772,304.28,0.74018997,0.148,1.267,301.17
KO,0.557684,0.0274,26.01646,31.127525,273073733632.0,2.031,2.43,4.72,12.311586,23.473,7478499840.0,172.628,-0.279,0.32012,0.785,69.21,0.39211,0.118,1.127,63.22
MRK,0.35547,0.0309,12.351389,31.379675,224631848960.0,2.834,7.2,1.16,6.274164,10.372,,77.635,1.541,0.41970003,,99.52,,0.28,,88.93
