,ETF,Ticker,Technical Action,Score,weight,Dollar Amount
20,XLV,REGN,Buy,7305.045423592716,20.07921129335623,1003.9605646678116
46,XLV,HOLX,Buy,6327.990028995982,17.393601474961322,869.6800737480662
44,XLV,ALGN,Buy,2851.2648852748016,7.837206583255302,391.8603291627651
41,XLV,ZBH,Buy,2430.9686428651853,6.681947913693759,334.0973956846879
61,XLV,XRAY,Buy,2139.9830203501288,5.882122387771831,294.1061193885916
59,XLV,BIO,Buy,1954.1676301026391,5.371375874096928,268.56879370484637
16,XLE,OKE,Buy,1458.4991463455767,4.008943248466418,200.4471624233209
45,XLV,CTLT,Buy,1155.674998152099,3.1765774377529503,158.82887188764752
6,XLE,SLB,Buy,538.7133251537294,1.4807489967650795,74.03744983825398
39,XLV,WST,Buy,530.2266274338967,1.4574218048288032,72.87109024144017
63,XLK,STX,Buy,399.8999490253097,1.0991958443883953,54.95979221941977
14,XLE,BKR,Buy,384.39306500303456,1.056572426910493,52.828621345524645
0,XLE,XOM,Buy,377.8770821212453,1.0386620937803546,51.93310468901773
7,XLC,T,Buy,323.01637971051406,0.8878677356988345,44.393386784941725
1,XLI,UPS,Buy,304.9008317641998,0.8380739433516714,41.903697167583566
6,XLK,CSCO,Buy,295.1776254728657,0.8113479885831972,40.567399429159856
5,XLK,AVGO,Buy,294.6134790152797,0.8097973321169577,40.48986660584789
43,XLK,GLW,Buy,277.37739904958784,0.76242091329517,38.121045664758505
12,XLY,F,Buy,274.309803195897,0.753989082726403,37.69945413632015
12,XLF,CME,Buy,273.63801555034553,0.752142555388499,37.60712776942495
18,XLE,FANG,Buy,262.49352971814,0.7215099620499327,36.07549810249663
71,XLK,JNPR,Buy,256.60308240738607,0.7053190242382359,35.2659512119118
16,XLC,PARA,Buy,245.1166190563416,0.6737464451144797,33.687322255723984
34,XLY,BBY,Buy,239.99607896506603,0.6596717336695976,32.98358668347988
10,XLE,PSX,Buy,231.60558291945955,0.636608969075186,31.830448453759303
12,XLK,TXN,Buy,227.81970134273283,0.6262028029663196,31.310140148315977
7,XLP,MO,Buy,216.4686465450665,0.5950024182365128,29.75012091182564
27,XLI,CMI,Buy,205.6250181993937,0.5651967849907297,28.259839249536483
19,XLC,IPG,Buy,201.35904517518728,0.5534710024996098,27.67355012498049
30,XLY,DRI,Buy,195.80699761793636,0.5382102163513458,26.91051081756729
4,XLI,LMT,Buy,191.70090815290902,0.5269239021428901,26.346195107144503
17,XLC,OMC,Buy,186.2146694028856,0.5118440031580401,25.59220015790201
30,XLI,FAST,Buy,183.47539956714903,0.5043146348061838,25.21573174030919
15,XLI,ITW,Buy,183.42840768052798,0.5041854692821078,25.209273464105394
9,XLRE,SPG,Buy,181.62637471950643,0.49923226249367575,24.961613124683787
30,XLK,NXPI,Buy,173.48984322052002,0.47686756444052575,23.84337822202629
60,XLI,SNA,Buy,152.3974614643169,0.4188914170787147,20.944570853935733
21,XLK,ADI,Buy,151.08504237345895,0.41528400073799454,20.764200036899727
15,XLY,MAR,Buy,142.77243249794293,0.3924353200780956,19.62176600390478
28,XLY,GRMN,Buy,142.42274818695736,0.3914741508095824,19.57370754047912
40,XLK,MCHP,Buy,134.49150505756657,0.36967372420310485,18.48368621015524
45,XLY,TPR,Buy,130.28143317377192,0.3581015958982057,17.905079794910286
9,XLC,CMCSA,Buy,128.31007688424313,0.3526829739490396,17.63414869745198
7,XLB,DOW,Buy,123.22529158446615,0.33870654088185675,16.935327044092837
13,XLB,LYB,Buy,121.73112800552656,0.33459956762314563,16.72997838115728
58,XLK,SWKS,Buy,113.57745632690263,0.31218775675021265,15.609387837510631
56,XLY,RL,Buy,111.0305084349254,0.30518701932686787,15.259350966343394
9,XLY,TGT,Buy,109.23003084289482,0.30023808774561084,15.011904387280543
5,XLI,CAT,Buy,109.07005226249142,0.2997983582802804,14.98991791401402
58,XLI,CHRW,Buy,105.64867744246992,0.29039410355749545,14.519705177874773
27,XLY,GPC,Buy,97.2141189443428,0.2672102255075251,13.360511275376254
28,XLU,PNW,Buy,93.4449227592461,0.2568499221530461,12.842496107652304
36,XLK,MSI,Buy,92.32389258651493,0.25376857215461907,12.688428607730952
30,XLP,LW,Buy,91.4077800458866,0.25125047456519667,12.562523728259833
26,XLK,KLAC,Buy,89.00813967412964,0.24465463795383732,12.232731897691867
0,XLI,RTX,Buy,86.65753509298487,0.2381935848987115,11.909679244935575
21,XLI,JCI,Buy,85.38858135369013,0.23470564077580383,11.735282038790192
6,XLP,PM,Buy,83.86724855508251,0.23052398810433672,11.526199405216836
16,XLK,ORCL,Buy,83.03910598438857,0.22824769155944694,11.412384577972347
23,XLK,LRCX,Buy,82.79352070479908,0.227572656917843,11.37863284589215
35,XLK,TEL,Buy,78.90586127703835,0.21688673635744432,10.844336817872216
3,XLY,MCD,Buy,76.95091215625189,0.211513212417777,10.57566062088885
31,XLP,CPB,Buy,75.81038249888138,0.2083782646318646,10.41891323159323
62,XLI,RHI,Buy,72.98633568516766,0.20061587173944656,10.030793586972328
14,XLI,FDX,Buy,70.70641722784426,0.1943491120163147,9.717455600815734
22,XLB,PKG,Buy,64.79140916337707,0.1780906646225775,8.904533231128875
