,ETF,Ticker,Technical Action,Score,weight,Dollar Amount
2,XLC,GOOG,Buy,69.66620289919364,8.302188645357393,415.10943226786964
0,XLK,AAPL,Buy,69.49824770665921,8.28217326294297,414.10866314714855
36,XLY,NVR,Buy,69.0392148452515,8.227469873763866,411.37349368819326
5,XLK,AVGO,Buy,54.48882316325569,6.493485652138283,324.6742826069141
1,XLK,MSFT,Buy,47.60626170389021,5.67328415957811,283.6642079789055
1,XLI,UPS,Buy,47.32020488541081,5.639194492401284,281.9597246200642
56,XLF,RE,Buy,46.13220625170297,5.497619548497122,274.8809774248561
3,XLRE,EQIX,Buy,42.944507640416994,5.117738428038549,255.88692140192742
8,XLY,BKNG,Buy,37.95218935653237,4.5227990392727975,226.1399519636399
20,XLV,REGN,Buy,37.951051980979855,4.522663497130344,226.13317485651717
4,XLI,LMT,Buy,37.949210230012866,4.522444013889842,226.12220069449214
4,XLP,WMT,Buy,37.289356524311565,4.443808610852343,222.19043054261715
0,XLE,XOM,Buy,36.429844378607164,4.341379718797764,217.06898593988822
38,XLI,GWW,Buy,33.06512187619206,3.940402490359604,197.0201245179802
1,XLC,GOOGL,Buy,32.761313201756344,3.904197317373343,195.20986586866715
14,XLY,AZO,Buy,27.33797091853324,3.257892382557057,162.89461912785288
0,XLP,PG,Buy,27.138808727382603,3.2341580319947347,161.70790159973674
0,XLB,LIN,Buy,25.085548756465936,2.989469059334959,149.47345296674794
1,XLP,KO,Buy,24.073777024789557,2.8688952454503145,143.44476227251573
6,XLU,EXC,Buy,21.981863240647147,2.619599860557524,130.9799930278762
12,XLC,WBD,Buy,13.418844651040398,1.5991366697117906,79.95683348558953
