ETF,Ticker,Technical Action,Score,weight,Dollar Amount,Name
XLU,NRG,Buy,39.56496488773539,8.816721196489114,440.8360598244557,
XLI,VRSK,Buy,39.312644147186944,8.76049363182882,438.02468159144104,
XLRE,CCI,Buy,38.58757540293754,8.598918132280806,429.94590661404027,
XLP,COST,Buy,38.3674006765214,8.549854037750897,427.4927018875449,
XLV,ELV,Buy,32.22192488409979,7.180386205912879,359.01931029564395,
XLC,LYV,Buy,31.483920501602324,7.015928107675459,350.79640538377294,
XLY,ORLY,Buy,30.352679062863313,6.76384042354437,338.1920211772185,
XLF,ALL,Buy,29.46162064419284,6.565275514678816,328.2637757339408,
XLP,SJM,Buy,26.969676008158466,6.009966514523168,300.49832572615844,
XLP,CL,Buy,26.480939325397692,5.901055636360494,295.0527818180247,
XLK,MA,Buy,26.421601283994285,5.8878326505981144,294.39163252990573,
XLB,NEM,Buy,25.544973532403187,5.692483495080988,284.6241747540494,
XLE,WMB,Buy,24.576558324632053,5.4766802733775135,273.8340136688757,
XLU,AWK,Buy,20.75346817089054,4.624736638643482,231.23683193217408,
XLU,NI,Buy,18.64924239803755,4.155827541255085,207.79137706275424,
