ETF,Ticker,Technical Action,Score,weight,Dollar Amount,Name,Current Price,Shares,mainShares
XLU,CEG,Buy,47.44529985311956,5.729141683604013,286.45708418020064,,298.8,0.96,0.384
XLK,NOW,Buy,39.83152357256886,4.809758663714205,240.48793318571023,,1030.21,0.23,0.09200000000000001
XLC,NFLX,Buy,37.0965902989514,4.479508454140976,223.9754227070488,,1241.47,0.18,0.072
XLI,TDG,Buy,36.7713514463625,4.440235028253416,222.0117514126708,,1465.89,0.15,0.06
XLP,PM,Buy,35.635691862372624,4.303101219822168,215.1550609911084,,181.73,1.18,0.472
XLC,META,Buy,34.06599235975164,4.113555977637192,205.67779888185964,,697.71,0.29,0.11599999999999999
XLY,ORLY,Buy,33.87950450950289,4.091037091263759,204.55185456318796,,1377.72,0.15,0.06
XLRE,IRM,Buy,33.67218158303497,4.066002315982093,203.30011579910465,,102.21,1.99,0.796
XLY,BKNG,Buy,33.21999575303313,4.01139971687494,200.56998584374696,,5614.61,0.04,0.016
XLK,AVGO,Buy,33.11179363142976,3.998334033086422,199.9167016543211,,246.93,0.81,0.32400000000000007
XLI,LMT,Buy,32.404459804403054,3.912921658727164,195.6460829363582,,481.69,0.41,0.164
XLI,ROL,Buy,31.973154831232907,3.8608404766546616,193.0420238327331,,57.77,3.34,1.336
XLK,MPWR,Buy,31.321353444650097,3.782133786953828,189.10668934769143,,687.08,0.28,0.11200000000000002
XLE,VLO,Buy,31.083203744379784,3.7533765996459114,187.66882998229556,,128.35,1.46,0.584
XLV,EW,Buy,29.96824180650422,3.618742085085144,180.9371042542572,,77.52,2.33,0.932
XLF,SPGI,Buy,27.38020595114891,3.306230115649188,165.3115057824594,,519.36,0.32,0.128
XLC,TTWO,Buy,27.10419962819207,3.2729016440263803,163.645082201319,,232.72,0.7,0.27999999999999997
XLRE,WELL,Buy,26.96292054180111,3.2558418318770275,162.79209159385135,,154.45,1.05,0.42000000000000004
XLF,AXP,Buy,26.612253901502072,3.213497935385571,160.67489676927855,,302.47,0.53,0.21200000000000002
XLB,LIN,Buy,26.162215949916888,3.1591546981078555,157.95773490539278,,472.71,0.33,0.132
XLY,HLT,Buy,25.94328784700811,3.132718567996549,156.63592839982743,,252.81,0.62,0.248
XLF,MCO,Buy,24.52770428822242,2.9617832214317534,148.08916107158765,,488.95,0.3,0.12
XLP,MNST,Buy,22.227151139030024,2.6839855263347117,134.1992763167356,,63.41,2.12,0.8480000000000001
XLB,MOS,Buy,20.493454857949455,2.4746372523982605,123.73186261991304,,34.8,3.56,1.4240000000000002
XLU,NRG,Buy,19.480818656386905,2.352358833025662,117.61794165128308,,155.94,0.75,0.30000000000000004
XLB,ECL,Buy,18.988433882451957,2.292902108303599,114.64510541517996,,267.06,0.43,0.17200000000000001
XLU,ES,Buy,16.26700337130329,1.9642823919413588,98.21411959706792,,65.49,1.5,0.6000000000000001
XLRE,VNO,Buy,15.746953672060016,1.9014850565107877,95.0742528255394,,40.25,2.36,0.944
XLP,HRL,Buy,8.762811955028624,1.0581320255653766,52.90660127826883,,30.66,1.73,0.6920000000000001
