,ETF,Ticker,Technical Action,Score,Market Cap,weight,Dollar Amount
13,XLK,IBM,Buy,624.9167225384049,116862205952.0,7.673275537165446,383.6637768582723
16,XLV,GILD,Buy,567.5833686850284,78235680768.0,4.6773128235477985,233.86564117738993
50,XLF,PFG,Buy,908.8474773882123,19094046720.0,4.444338698023751,222.21693490118756
12,XLY,F,Buy,268.6395738048892,61951897600.0,4.401972533236877,220.09862666184384
30,XLY,DRI,Buy,252.4075524002889,16219231232.0,4.135991943073124,206.7995971536562
43,XLK,GLW,Buy,303.208089831853,29281816576.0,3.723054823892054,186.1527411946027
45,XLF,HBAN,Buy,691.2015528059172,19671472128.0,3.38003227791023,169.0016138955115
12,XLP,SYY,Buy,110.67288791226984,42873421824.0,3.2997874820297732,164.98937410148864
60,XLK,NTAP,Buy,255.12109862643229,16471335936.0,3.132600576206646,156.6300288103323
12,XLK,TXN,Buy,253.45900686135454,154864205824.0,3.1121919559513103,155.60959779756553
28,XLF,AFL,Buy,617.7494089409296,38464729088.0,3.0208452706798274,151.04226353399136
50,XLV,CAH,Buy,352.2370531366646,19048867840.0,2.9026976061362997,145.13488030681498
24,XLRE,IRM,Buy,188.3332165257759,15713879040.0,2.8900001,144.500005
34,XLK,PAYX,Buy,222.8773117539584,46356025344.0,2.73668308494616,136.834154247308
45,XLY,TPR,Buy,166.72823871615435,9726305280.0,2.73203652369,136.6018261845
5,XLV,MRK,Buy,324.2985589493942,225465401344.0,2.672463451397962,133.6231725698981
10,XLV,AMGN,Buy,311.11286767479794,135549952000.0,2.5638034618903487,128.19017309451743
21,XLK,ADI,Buy,200.93406431706399,81610645504.0,2.4672446498862914,123.36223249431457
11,XLK,QCOM,Buy,195.8606949681201,155400749056.0,2.404949371952096,120.24746859760481
17,XLB,AMCR,Buy,78.7356905168635,19041972224.0,2.22,111.0
10,XLP,KMB,Buy,64.7562223503627,43611586560.0,1.9307508453619515,96.53754226809757
1,XLI,UPS,Buy,320.0867695179078,172804128768.0,1.8051841025619602,90.25920512809802
18,XLP,KHC,Buy,60.01745504074146,46648164352.0,1.7894612726082753,89.47306363041376
12,XLE,DVN,Buy,193.2047683913723,47649792000.0,1.6432341434755036,82.16170717377518
11,XLV,CVS,Buy,190.96837024771787,132085202944.0,1.5737226570275928,78.68613285137964
27,XLU,NRG,Buy,312.09992348670727,9810333696.0,1.4742103029913727,73.71051514956864
17,XLE,CTRA,Buy,172.04665833171984,24560019456.0,1.4632813961861357,73.16406980930678
15,XLI,ITW,Buy,225.08065319820776,61760303104.0,1.269380854321549,63.46904271607745
5,XLE,PXD,Buy,148.55534951912963,61428117504.0,1.263484460338361,63.17422301691805
27,XLI,CMI,Buy,216.94827662653876,31370719232.0,1.2235169252209026,61.17584626104514
3,XLF,SPGI,Buy,242.6332471293208,121414008832.0,1.1864964765516843,59.32482382758422
4,XLI,LMT,Buy,209.68064106188783,114314985472.0,1.182529850983872,59.1264925491936
60,XLI,SNA,Buy,180.26957228933585,11732254720.0,1.0166610964972953,50.83305482486477
30,XLI,FAST,Buy,168.5274916585735,29285640192.0,0.9504396237460854,47.52198118730426
2,XLI,UNP,Buy,159.98948008837644,144423256064.0,0.9022880466683346,45.114402333416734
44,XLF,RF,Buy,157.11132766973714,20528680960.0,0.7682872768345088,38.41436384172544
28,XLU,PNW,Buy,115.35768504632726,8582300160.0,0.5448943592316279,27.244717961581394
14,XLU,EIX,Buy,91.22337083663679,26753181696.0,0.4308954377769992,21.544771888849958
