ETF,Ticker,Technical Action,Score,weight,Dollar Amount,Name,Current Price,Shares,mainShares
XLC,NFLX,Buy,48.89639798748888,5.208775518238745,260.4387759119373,,1241.47,0.21,0.084
XLU,CEG,Buy,48.77814805734931,5.196178734702624,259.80893673513117,,298.8,0.87,0.34800000000000003
XLI,TDG,Buy,48.35191457703373,5.150773457244568,257.5386728622284,,1465.89,0.18,0.072
XLI,ROL,Buy,47.20694567156458,5.028803613873317,251.44018069366587,,57.77,4.35,1.74
XLK,NOW,Buy,41.67690817060115,4.439706561012067,221.98532805060336,,1030.21,0.22,0.08800000000000001
XLK,AVGO,Buy,40.14811339472841,4.276848986042745,213.84244930213725,,246.93,0.87,0.34800000000000003
XLRE,IRM,Buy,39.74829869744485,4.234258016303513,211.7129008151757,,102.21,2.07,0.828
XLI,HWM,Buy,39.355952099362355,4.192462599077089,209.6231299538545,,175.37,1.2,0.48
XLY,BKNG,Buy,38.868669953073514,4.140554004200355,207.0277002100177,,5614.61,0.04,0.016
XLC,TTWO,Buy,38.47667154405213,4.0987956784312125,204.93978392156063,,232.72,0.88,0.35200000000000004
XLP,PM,Buy,36.38885318294921,3.87638712456136,193.819356228068,,181.73,1.07,0.42800000000000005
XLE,WMB,Buy,34.95135381211686,3.72325495453544,186.162747726772,,60.56,3.07,1.228
XLY,HLT,Buy,34.33109694135132,3.657180991289936,182.8590495644968,,252.81,0.72,0.288
XLY,ORLY,Buy,33.93250783250155,3.6147205795323143,180.73602897661576,,1377.72,0.13,0.052000000000000005
XLK,QRVO,Buy,33.68794120717251,3.5886676860059223,179.43338430029613,,78.58,2.28,0.9119999999999999
XLV,IDXX,Buy,33.46268062541589,3.564671403012269,178.23357015061347,,524.91,0.34,0.136
XLF,MCO,Buy,33.34774254071323,3.552427419685201,177.62137098426004,,488.95,0.36,0.144
XLF,SPGI,Buy,31.637808241907475,3.370273635766494,168.5136817883247,,519.36,0.32,0.128
XLF,AXP,Buy,26.26894078437268,2.798345507632569,139.91727538162846,,302.47,0.46,0.18400000000000002
XLRE,WELL,Buy,25.57218852255322,2.7241227371828667,136.20613685914333,,154.45,0.88,0.35200000000000004
XLP,MNST,Buy,24.87566940105084,2.649924802418939,132.49624012094694,,63.41,2.09,0.836
XLB,LIN,Buy,24.708617991084427,2.6321293546899884,131.60646773449943,,472.71,0.28,0.11200000000000002
XLC,WBD,Buy,24.42296584256213,2.6016997529361756,130.08498764680877,,9.82,13.25,5.300000000000001
XLB,ECL,Buy,24.35885925705347,2.5948706852154646,129.74353426077323,,267.06,0.49,0.196
XLU,ES,Buy,22.38094122103643,2.384169458394534,119.2084729197267,,65.49,1.82,0.7280000000000001
XLRE,EQIX,Buy,21.81482318476385,2.3238627305139943,116.19313652569971,,914.43,0.13,0.052000000000000005
XLB,CTVA,Buy,18.585946143711713,1.9799008769815756,98.99504384907878,,71.64,1.38,0.5519999999999999
XLU,NRG,Buy,15.746542910310096,1.6774284115796343,83.87142057898173,,155.94,0.54,0.21600000000000003
XLP,HRL,Buy,6.747643758012171,0.7188047189390787,35.94023594695393,,30.66,1.17,0.46799999999999997
