,ETF,Ticker,Technical Action,Score
19,QQQ,AMGN,Buy,431.4465917069156
59,QQQ,EXC,Buy,354.3633019955348
8,QQQ,PEP,Buy,320.6489765243269
63,QQQ,XEL,Buy,304.85225568882277
28,QQQ,MDLZ,Buy,257.1746263778493
16,QQQ,QCOM,Buy,239.1079956521986
25,QQQ,SBUX,Buy,225.87417795320792
54,QQQ,NXPI,Buy,164.4919957025838
1,QQQ,MSFT,Buy,5.528358871330824
9,QQQ,COST,Buy,-32.13532970648946
40,QQQ,ATVI,Buy,-60.61308155803554
68,QQQ,EA,Buy,-64.62246526796135
33,QQQ,VRTX,Buy,-143.39830968398655
13,QQQ,TMUS,Buy,-166.7762995959586
77,QQQ,BIIB,Buy,-174.04045322641792
61,QQQ,CRWD,Buy,-179.27472997545172
