,ETF,Ticker,Technical Action,Score
479,SPY,IVZ,Sell,1122.3453494175415
450,SPY,LUMN,Sell,450.35479421570034
188,SPY,DVN,Buy,400.22755331266467
88,SPY,MO,Sell,388.84413163032184
496,SPY,VNO,Sell,305.18732929927376
255,SPY,OKE,Sell,279.168678822513
218,SPY,KMI,Buy,272.5983963317065
206,SPY,SPG,Sell,266.4967467783468
43,SPY,T,Sell,247.7824876091485
137,SPY,PXD,Sell,221.57213030481714
24,SPY,VZ,Sell,216.51197529123414
275,SPY,LYB,Sell,213.90470416538207
170,SPY,DOW,Sell,207.4744689630309
180,SPY,WMB,Buy,205.7855913359825
403,SPY,IRM,Sell,204.95162399164272
39,SPY,PM,Sell,200.81969715046571
53,SPY,IBM,Sell,197.23321909314524
405,SPY,VTRS,Sell,185.61241813792864
87,SPY,GILD,Sell,185.2584828689462
196,SPY,PRU,Sell,183.24356974123398
139,SPY,NEM,Sell,179.0297507583613
240,SPY,WBA,Sell,177.06555934231392
344,SPY,HBAN,Sell,176.17247689552306
166,SPY,PSX,Sell,162.1139737283357
478,SPY,NWL,Sell,162.03785770294976
428,SPY,BBY,Sell,161.3716681272704
259,SPY,KHC,Sell,159.32516860627788
243,SPY,VICI,Sell,155.9027517054119
325,SPY,CFG,Sell,155.42432518252633
284,SPY,EIX,Sell,151.66925978329357
480,SPY,BEN,Sell,147.92273684962237
409,SPY,VFC,Sell,147.91992989899606
352,SPY,KEY,Sell,145.0638211905181
346,SPY,IP,Sell,145.03415964667136
476,SPY,FRT,Sell,141.25410352966514
408,SPY,BXP,Sell,141.18555949731268
424,SPY,KIM,Sell,136.45591588253282
112,SPY,TFC,Sell,136.28681744678957
322,SPY,VTR,Sell,136.0235067242396
420,SPY,PEAK,Sell,135.99384905954258
157,SPY,O,Buy,135.40626655489814
379,SPY,OMC,Sell,133.54882639041026
349,SPY,PARA,Sell,131.38194196544669
304,SPY,RF,Sell,129.8334404604778
336,SPY,PFG,Sell,128.50934235362152
269,SPY,FE,Sell,127.51420690875075
437,SPY,WHR,Sell,127.0756099204297
10,SPY,XOM,Buy,126.29072906261021
345,SPY,DRI,Sell,125.56428622963858
334,SPY,CAG,Buy,125.51191432947651
40,SPY,INTC,Sell,120.8961051165249
115,SPY,USB,Sell,120.74759705871094
70,SPY,C,Buy,120.35225659313143
151,SPY,VLO,Buy,119.82370018528478
460,SPY,IPG,Sell,118.98924987555036
310,SPY,AMCR,Buy,116.93160305792156
15,SPY,CVX,Buy,116.85228473065834
62,SPY,MS,Sell,116.80337973314403
91,SPY,MMM,Sell,116.59418244661651
465,SPY,NRG,Sell,115.97017290311996
80,SPY,DUK,Buy,113.58958574292505
95,SPY,SO,Sell,113.42277173790796
264,SPY,TROW,Sell,112.92831617662452
18,SPY,ABBV,Sell,112.64445411537733
108,SPY,PNC,Sell,108.75602559011905
462,SPY,CMA,Sell,108.3638837533031
288,SPY,ETR,Sell,107.78602020227676
433,SPY,REG,Sell,106.90876527652374
385,SPY,PKG,Sell,106.66156911051668
342,SPY,CAH,Sell,105.70876327515046
195,SPY,DLR,Sell,104.96470762292302
280,SPY,FITB,Sell,103.51400882013274
434,SPY,PNW,Sell,101.24113473668162
277,SPY,STT,Sell,100.96191126324833
399,SPY,STX,Sell,99.85123635596489
442,SPY,HAS,Sell,99.80811041383443
150,SPY,KMB,Buy,99.29858089008663
430,SPY,OGN,Sell,98.32717734273453
486,SPY,LNC,Sell,97.3424424107767
216,SPY,ED,Buy,94.84983291621067
339,SPY,HPE,Sell,94.83037368137309
328,SPY,EVRG,Sell,94.66883818174261
107,SPY,D,Buy,91.75935396350167
162,SPY,MET,Buy,90.62119834069922
205,SPY,PEG,Sell,90.54379087760738
201,SPY,BK,Sell,90.33347136572486
14,SPY,PFE,Sell,89.50866842359119
331,SPY,CLX,Buy,89.50184097736161
142,SPY,AEP,Sell,89.28456286008333
12,SPY,JPM,Sell,88.15199746797661
417,SPY,NI,Sell,87.92945496320321
298,SPY,EXR,Sell,87.70804443118425
31,SPY,CSCO,Sell,85.42165270057832
