,ETF,Ticker,Technical Action,Score
188,SPY,DVN,Buy,400.36583063263015
218,SPY,KMI,Buy,273.0504847534877
180,SPY,WMB,Buy,205.88693673296694
10,SPY,XOM,Buy,143.10889055729524
157,SPY,O,Buy,137.88571672735532
15,SPY,CVX,Buy,128.7173014745244
334,SPY,CAG,Buy,124.87524931300563
345,SPY,DRI,Buy,124.5500873190122
70,SPY,C,Buy,120.18447086822827
151,SPY,VLO,Buy,119.61836639666333
80,SPY,DUK,Buy,114.72024477239881
150,SPY,KMB,Buy,99.00026482664494
216,SPY,ED,Buy,95.41285565886683
107,SPY,D,Buy,91.25790000992343
331,SPY,CLX,Buy,88.6693779982715
16,SPY,HD,Buy,88.40704272915005
417,SPY,NI,Buy,87.85641822919361
312,SPY,K,Buy,85.7850959371073
96,SPY,CCI,Buy,83.76457381704844
48,SPY,AMGN,Buy,82.12242927446206
163,SPY,EXC,Buy,79.98696088842962
384,SPY,SJM,Buy,74.69653002974577
451,SPY,CPB,Buy,74.57942833631488
452,SPY,TPR,Buy,66.41001314854775
252,SPY,GLW,Buy,66.14986786596454
211,SPY,WEC,Buy,63.99786128865872
20,SPY,KO,Buy,63.15559208771083
66,SPY,LMT,Buy,62.24485366240154
152,SPY,MPC,Buy,58.86435142505317
22,SPY,PEP,Buy,58.48403292879689
301,SPY,CMS,Buy,57.11804924431988
177,SPY,XEL,Buy,55.59799398983692
276,SPY,AEE,Buy,46.727304853583085
73,SPY,MDLZ,Buy,35.79759518537306
100,SPY,CL,Buy,27.624677577070265
297,SPY,CTRA,Buy,25.34165336062361
29,SPY,MCD,Buy,22.57395696812311
377,SPY,HRL,Buy,21.172450026978325
75,SPY,SBUX,Buy,20.57556493035777
44,SPY,QCOM,Buy,15.181947411781199
59,SPY,AMT,Buy,14.46092368669397
350,SPY,DGX,Buy,5.330218552187285
129,SPY,FDX,Buy,5.049384491866068
103,SPY,TJX,Buy,3.2787640312242505
77,SPY,CI,Buy,1.4885693196837355
173,SPY,NXPI,Buy,-1.4695853933373018
214,SPY,YUM,Buy,-3.9404850989236824
443,SPY,BWA,Buy,-6.6965976755374985
305,SPY,LEN,Buy,-7.254267070505097
63,SPY,ORCL,Buy,-10.403304889478143
102,SPY,NOC,Buy,-13.51034025510722
246,SPY,AWK,Buy,-14.526494603860524
235,SPY,HES,Buy,-18.578977027044278
6,SPY,UNH,Buy,-22.882640962336353
410,SPY,CTXS,Buy,-26.74591722430871
61,SPY,ELV,Buy,-35.0328594528912
270,SPY,DHI,Buy,-44.97251811146578
134,SPY,OXY,Buy,-46.12745572946567
271,SPY,LH,Buy,-48.93642833507489
381,SPY,DPZ,Buy,-51.15836955802068
491,SPY,ROL,Buy,-51.18762032340659
116,SPY,DG,Buy,-55.25566683858541
1,SPY,MSFT,Buy,-57.96572826602525
461,SPY,GL,Buy,-58.69182507315751
118,SPY,AON,Buy,-62.34940497370045
117,SPY,EL,Buy,-63.62469974900573
26,SPY,COST,Buy,-64.37623064082453
200,SPY,SBAC,Buy,-65.07863780749845
373,SPY,WAB,Buy,-70.51567898881171
286,SPY,EFX,Buy,-70.94376134652423
13,SPY,V,Buy,-71.02674147180896
203,SPY,RMD,Buy,-74.05155284248933
251,SPY,FRC,Buy,-76.74979730340914
113,SPY,ATVI,Buy,-77.80785146781054
198,SPY,EA,Buy,-78.34265026278864
187,SPY,A,Buy,-79.09236385729098
17,SPY,MA,Buy,-80.2578965006052
101,SPY,PGR,Buy,-80.4127459242835
362,SPY,PWR,Buy,-90.0232215231777
38,SPY,DHR,Buy,-93.15591824634944
25,SPY,TMO,Buy,-94.55891556245945
159,SPY,AZO,Buy,-95.19296349759318
98,SPY,VRTX,Buy,-97.88776781162095
274,SPY,ON,Buy,-101.76307072143709
84,SPY,TMUS,Buy,-111.43039129167744
423,SPY,LVS,Buy,-111.92236665608513
432,SPY,PTC,Buy,-113.72863931011625
307,SPY,CTLT,Buy,-114.26788536927954
290,SPY,CBRE,Buy,-114.67553489602585
225,SPY,BIIB,Buy,-123.32135206699014
501,SPY,EMBC,Buy,-129.89649921757655
