ETF,Ticker,Technical Action,Score
XLB,SHW,Sell,37.728869289087584
XLB,NEM,Buy,25.544973532403187
XLB,ALB,Sell,22.8834390964576
XLB,DD,Sell,22.119556557975965
XLB,BALL,Sell,21.388817069205015
XLB,ECL,Sell,19.316109552573735
XLB,LIN,Sell,18.50929977095637
XLB,SEE,Sell,15.463080914650496
XLB,CE,Sell,13.46678958551728
XLB,MOS,Buy,13.284385672724342
XLB,MLM,Sell,12.658437116262576
XLB,AVY,Sell,12.358442507965764
XLB,AMCR,Sell,11.820388949785308
XLB,NUE,Sell,10.496183359824359
XLB,CF,Sell,9.937886161259348
XLB,IP,Sell,9.840667638203815
XLB,APD,Sell,9.677893873463002
XLB,FCX,Sell,9.662217712698233
XLB,FMC,Sell,9.100646886379081
XLB,DOW,Sell,9.016635833189095
XLB,PKG,Sell,8.803069889583231
XLB,IFF,Sell,8.299497233818705
XLB,CTVA,Buy,7.559675951500431
XLB,EMN,Sell,6.54283763566355
XLB,VMC,Sell,6.00176332633494
XLB,PPG,Sell,5.736039297243939
XLB,LYB,Sell,4.0888994059488155
