,ETF,Ticker,Technical Action,Score
16,XLB,MLM,Buy,26.575906968753678
0,XLB,LIN,Buy,17.041598596309232
3,XLB,NEM,Buy,14.981968504323296
9,XLB,IFF,Buy,12.7261880317296
7,XLB,DOW,Buy,12.523902676510188
20,XLB,IP,Buy,11.810693790632461
2,XLB,APD,Buy,11.363653244613229
17,XLB,AMCR,Buy,10.549984660867459
6,XLB,FCX,Buy,10.284840453853327
10,XLB,DD,Buy,7.795140599117192
26,XLB,WRK,Buy,7.543849359025115
14,XLB,BALL,Buy,6.95874418606172
4,XLB,ECL,Buy,6.651983918095595
21,XLB,AVY,Buy,5.913612483752208
15,XLB,VMC,Buy,5.60613697518076
25,XLB,EMN,Buy,5.178373416869115
22,XLB,PKG,Buy,4.93394051767553
27,XLB,SEE,Buy,-9.719510169263234
