ETF,Ticker,Technical Action,Score
XLB,ALB,Sell,29.216419261597288
XLB,LIN,Buy,26.162215949916888
XLB,CE,Sell,24.21818225232642
XLB,MOS,Buy,20.493454857949455
XLB,NEM,Ignore,20.01101008782959
XLB,IFF,Sell,19.136172824462978
XLB,ECL,Buy,18.988433882451957
XLB,FCX,Buy,18.236998183573007
XLB,IP,Ignore,17.89297473808242
XLB,MLM,Buy,17.01134415604087
XLB,DOW,Ignore,15.987332610915058
XLB,AVY,Sell,15.844429952902187
XLB,AMCR,Ignore,15.637915328260293
XLB,SHW,Buy,14.884981698211355
XLB,CF,Buy,14.847557094489035
XLB,SEE,Buy,14.71497911081248
XLB,CTVA,Buy,14.359791652277078
XLB,PKG,Sell,14.032491967509316
XLB,DD,Sell,13.907062872465547
XLB,FMC,Sell,13.588757397301391
XLB,NUE,Sell,13.416883218828376
XLB,PPG,Sell,13.100825376660357
XLB,APD,Sell,12.383661208946267
XLB,VMC,Ignore,11.963111040052636
XLB,BALL,Buy,10.947797728154484
XLB,EMN,Ignore,10.176434491501736
XLB,LYB,Ignore,3.5004365124211883
