ETF,Ticker,Technical Action,Score
XLB,SHW,Sell,35.26025453298211
XLB,LIN,Sell,26.326638540551595
XLB,MLM,Sell,23.364333670890915
XLB,ALB,Sell,20.386635968172115
XLB,DOW,Sell,17.362148359575098
XLB,SEE,Sell,17.15979221639693
XLB,CE,Sell,16.81663090796427
XLB,BALL,Sell,16.01154943531182
XLB,ECL,Sell,15.251102826408562
XLB,NEM,Buy,14.895032879254885
XLB,CF,Sell,13.924396285460391
XLB,MOS,Buy,13.73899752533968
XLB,AVY,Sell,13.068749260387616
XLB,AMCR,Sell,12.9477824944763
XLB,APD,Sell,12.787842795034733
XLB,IP,Sell,12.05903462687837
XLB,CTVA,Buy,11.281529217011068
XLB,FCX,Sell,11.219507803528362
XLB,NUE,Sell,10.537329457770955
XLB,IFF,Sell,10.418158789754422
XLB,FMC,Sell,10.228616997245524
XLB,PKG,Sell,10.094957033473454
XLB,EMN,Sell,9.47302285428433
XLB,LYB,Sell,8.69254495786202
XLB,DD,Sell,8.427756814512811
XLB,PPG,Sell,3.2574361529748668
