ETF,Ticker,Technical Action,Score
XLB,ALB,Sell,38.34747768110774
XLB,LIN,Buy,24.708617991084427
XLB,ECL,Buy,24.35885925705347
XLB,CE,Sell,23.802078918452764
XLB,DOW,Ignore,22.197218913640015
XLB,IFF,Sell,22.132369089256603
XLB,IP,Ignore,21.202312862973887
XLB,AMCR,Ignore,21.083748688039424
XLB,CTVA,Buy,18.585946143711713
XLB,DD,Sell,18.288577648065754
XLB,CF,Buy,17.73882709124203
XLB,NEM,Ignore,17.441018108532326
XLB,VMC,Ignore,17.062770497895194
XLB,MOS,Buy,16.99800109741543
XLB,SHW,Buy,16.915317600651537
XLB,FCX,Buy,16.65676163493041
XLB,SEE,Buy,16.276298620086628
XLB,AVY,Sell,16.10840362039558
XLB,APD,Sell,15.778252736172025
XLB,MLM,Buy,13.765186298211225
XLB,EMN,Ignore,13.644066657245803
XLB,FMC,Sell,12.819027277196115
XLB,NUE,Sell,11.418261823984153
XLB,PKG,Sell,11.153434581882097
XLB,PPG,Sell,9.134445188251505
XLB,BALL,Buy,7.7370929731984965
XLB,LYB,Ignore,6.365493192095087
