ETF,Ticker,Technical Action,Score
XLC,NFLX,Buy,4.812965572436361
XLC,T,Buy,4.472249260619532
XLC,FOX,Sell,3.9425006390659476
XLC,FOXA,Sell,3.8689770021100793
XLC,TMUS,Buy,3.3724034756337185
XLC,TTWO,Buy,3.3488184416497897
XLC,LYV,Buy,3.0549138116643437
XLC,LUMN,Sell,2.937484408012421
XLC,CHTR,Buy,2.4966113263587046
XLC,NWS,Buy,2.483425675711948
XLC,META,Sell,2.094947839357348
XLC,EA,Buy,1.6314150300175048
XLC,NWSA,Sell,1.5312927515203971
XLC,VZ,Buy,1.1691245176719107
XLC,WBD,Sell,0.9067096684767754
XLC,GOOGL,Sell,0.3445735796676863
XLC,GOOG,Sell,0.3445476724415316
XLC,MTCH,Sell,0.3044776182037269
XLC,PARA,Buy,-0.05825773616910883
XLC,CMCSA,Sell,-0.41879267615476456
XLC,DIS,Sell,-0.8846225655456393
XLC,IPG,Sell,-1.0769436635908818
XLC,OMC,Sell,-1.1152098324074935
