ETF,Ticker,Technical Action,Score
XLC,NFLX,Buy,37.0965902989514
XLC,META,Buy,34.06599235975164
XLC,LUMN,Ignore,32.70264888211918
XLC,TTWO,Buy,27.104199628192074
XLC,LYV,Buy,21.565275991445347
XLC,WBD,Buy,17.838531511264563
XLC,EA,Ignore,17.575152422549117
XLC,GOOG,Sell,15.862645161107103
XLC,GOOGL,Sell,15.859668601489448
XLC,TMUS,Ignore,15.05708766412019
XLC,OMC,Ignore,14.291033561489453
XLC,T,Buy,14.222783937275642
XLC,CHTR,Ignore,14.104889083785135
XLC,PARA,Buy,13.860816036986535
XLC,VZ,Ignore,13.62776406575493
XLC,NWS,Ignore,13.582803582846811
XLC,MTCH,Sell,13.569844630256094
XLC,FOXA,Buy,12.801130076601718
XLC,FOX,Ignore,12.628563078266033
XLC,NWSA,Ignore,12.547157804379621
XLC,IPG,Ignore,11.723971709803987
XLC,CMCSA,Ignore,11.688269538899787
XLC,DIS,Buy,10.494248752666932
