ETF,Ticker,Technical Action,Score
XLC,NFLX,Buy,48.89639798748888
XLC,TTWO,Buy,38.476671544052124
XLC,LUMN,Ignore,32.25455960429717
XLC,WBD,Buy,24.42296584256213
XLC,LYV,Buy,23.35303548938799
XLC,META,Buy,20.92034036380641
XLC,PARA,Buy,20.4256379702427
XLC,EA,Ignore,17.70739054842875
XLC,MTCH,Sell,14.431916581189531
XLC,CHTR,Ignore,14.282582875373986
XLC,VZ,Ignore,14.212632788494917
XLC,TMUS,Ignore,13.579701093574897
XLC,NWS,Ignore,13.24249200190407
XLC,FOXA,Buy,12.578967445611314
XLC,OMC,Ignore,12.457580371237812
XLC,FOX,Ignore,12.406400447275626
XLC,NWSA,Ignore,12.20684622343688
XLC,T,Buy,11.29875815584559
XLC,CMCSA,Ignore,11.276826738154119
XLC,GOOG,Sell,11.117755571885983
XLC,GOOGL,Sell,11.105490619260381
XLC,DIS,Buy,9.261532215467717
XLC,IPG,Ignore,5.8483912091409165
