ETF,Ticker,Technical Action,Score
XLE,WMB,Buy,3.8330050838089105
XLE,KMI,Buy,3.3301542083110784
XLE,BKR,Sell,1.1617186608153631
XLE,OKE,Sell,0.5879760848384169
XLE,CTRA,Sell,-0.10316575571403684
XLE,XOM,Sell,-0.7129573135979896
XLE,MPC,Sell,-0.8747269245554223
XLE,EOG,Sell,-0.9371944429202833
XLE,CVX,Sell,-1.0312621821581223
XLE,VLO,Sell,-1.0386660277277373
XLE,HES,Sell,-1.0389924318532084
XLE,PSX,Sell,-1.2604946035354616
XLE,SLB,Sell,-1.4985677515425107
XLE,FANG,Sell,-1.5919754497318246
XLE,COP,Sell,-1.7981615105335662
XLE,DVN,Sell,-2.0843075050636504
XLE,APA,Sell,-2.1421212360048596
XLE,HAL,Sell,-2.713870574757095
XLE,OXY,Sell,-2.750318511098903
