,ETF,Ticker,Technical Action,Score,Market Cap
11,XLE,KMI,Buy,297.667387805043,40268378112.0
12,XLE,DVN,Buy,162.45070776016541,45606821888.0
5,XLE,PXD,Buy,159.341071451524,56789622784.0
16,XLE,OKE,Buy,87.25560944470665,26653085696.0
8,XLE,VLO,Buy,28.500592648619964,44352942080.0
0,XLE,XOM,Buy,19.295362535231074,405233270784.0
20,XLE,APA,Buy,17.49639702208468,0.0
1,XLE,CVX,Buy,11.4877626823587,307336085504.0
10,XLE,PSX,Buy,5.742481843404223,38154248192.0
7,XLE,MPC,Buy,-8.072442133388424,60549234688.0
3,XLE,COP,Buy,-10.960137766641893,138072834048.0
4,XLE,EOG,Buy,-11.159278242936814,70573555712.0
18,XLE,FANG,Buy,-16.779006628569352,24277450752.0
17,XLE,CTRA,Buy,-23.499272607290663,24008685568.0
13,XLE,HES,Buy,-41.29350801278663,36844187648.0
19,XLE,MRO,Buy,-50.522994606105705,19907190784.0
2,XLE,OXY,Buy,-54.72134983345272,62417952768.0
9,XLE,WMB,Buy,-64.7221831031471,40266092544.0
