ETF,Ticker,Technical Action,Score
XLE,VLO,Buy,31.083203744379784
XLE,WMB,Buy,26.47067884924672
XLE,HES,Sell,24.580494661448608
XLE,OKE,Ignore,21.77825491958072
XLE,APA,Sell,20.853619087699148
XLE,BKR,Sell,20.554513993095505
XLE,MPC,Buy,19.744140854424217
XLE,KMI,Buy,18.52635886103535
XLE,FANG,Sell,17.563619397242
XLE,COP,Ignore,15.258252476473517
XLE,PSX,Ignore,14.327303558264095
XLE,CTRA,Sell,13.486059515657532
XLE,DVN,Sell,12.333580008446006
XLE,SLB,Ignore,11.914533465882835
XLE,EOG,Sell,11.252125713896357
XLE,HAL,Ignore,11.13439182804412
XLE,OXY,Sell,10.934357671606444
XLE,CVX,Sell,7.407480323307477
XLE,XOM,Ignore,6.252934279569388
