ETF,Ticker,Technical Action,Score
XLE,WMB,Buy,34.95135381211686
XLE,VLO,Buy,30.335671693388242
XLE,KMI,Buy,23.398294943049454
XLE,APA,Sell,23.362569187250998
XLE,MPC,Buy,19.102075891425997
XLE,DVN,Sell,18.559165480724342
XLE,OKE,Ignore,18.391733716922857
XLE,COP,Ignore,18.168970399892814
XLE,CTRA,Sell,17.732798469989238
XLE,HES,Sell,17.40676461121572
XLE,EOG,Sell,15.583326010304352
XLE,FANG,Sell,15.240793232922403
XLE,BKR,Sell,14.22811603419986
XLE,PSX,Ignore,13.16786161838036
XLE,HAL,Ignore,13.0449971177358
XLE,OXY,Sell,11.693449953004334
XLE,SLB,Ignore,10.468092035328478
XLE,CVX,Sell,9.74141960739561
XLE,XOM,Ignore,9.614968702553105
