ETF,Ticker,Technical Action,Score
XLF,MSCI,Sell,36.93808476165501
XLF,WTW,Sell,35.05830957427023
XLF,ALL,Buy,29.46162064419284
XLF,GS,Sell,27.85063028084741
XLF,PGR,Buy,23.368307769360705
XLF,AMP,Sell,22.459102558421126
XLF,MMC,Sell,21.997238364225193
XLF,LNC,Sell,21.554215142922697
XLF,DFS,Buy,20.30985720818221
XLF,KEY,Sell,19.791160499337863
XLF,BLK,Sell,19.555640875277128
XLF,MCO,Sell,17.980611622308725
XLF,FITB,Sell,17.55958956491704
XLF,AIG,Buy,17.391865208001434
XLF,ICE,Buy,17.193826221413687
XLF,FDS,Sell,16.946869911773152
XLF,TFC,Sell,16.40574579441568
XLF,JPM,Sell,15.59276038380545
XLF,IVZ,Sell,15.018314948410984
XLF,AON,Sell,14.74050273794207
XLF,AXP,Sell,14.302940096837599
XLF,PRU,Sell,13.692583118256366
XLF,WRB,Buy,13.339476257317756
XLF,MKTX,Sell,12.257863235077698
XLF,SPGI,Sell,11.611107491867354
XLF,BRO,Buy,11.039854315933407
XLF,SCHW,Buy,11.01443476349343
XLF,COF,Sell,10.59767302894712
XLF,NDAQ,Sell,10.267637506961288
XLF,BAC,Sell,10.022021011827505
XLF,C,Sell,9.988222791340052
XLF,L,Buy,9.73699222929065
XLF,CB,Buy,9.716291638300373
XLF,CFG,Sell,9.69036621503497
XLF,GL,Buy,9.46584302913033
XLF,BEN,Sell,9.365688386747278
XLF,CMA,Sell,9.294079539144604
XLF,TRV,Buy,9.201489433741052
XLF,RF,Sell,8.994707025782816
XLF,AJG,Buy,8.787830408891963
XLF,CME,Buy,8.53039941818994
XLF,MS,Sell,8.422332167614039
XLF,AFL,Buy,8.38910164186996
XLF,WFC,Sell,8.332951893814123
XLF,MTB,Sell,8.209587404912421
XLF,BK,Sell,7.992906773472718
XLF,SYF,Sell,7.798346771905997
XLF,HBAN,Sell,7.60475037369817
XLF,CINF,Sell,7.601641584212448
XLF,CBOE,Buy,7.532962525467681
XLF,USB,Sell,6.8542209364284785
XLF,ZION,Sell,6.523538827727618
XLF,STT,Sell,6.39296563039547
XLF,NTRS,Sell,6.378309546545994
XLF,RJF,Sell,6.365658156832135
XLF,AIZ,Sell,6.362434457493813
XLF,HIG,Buy,6.219762496685339
XLF,PFG,Sell,6.169444658195827
XLF,PNC,Sell,6.0203051112605195
XLF,TROW,Sell,5.8499655918596405
XLF,SBNY,Sell,5.36124803005299
XLF,MET,Sell,5.001613120400114
