ETF,Ticker,Technical Action,Score
XLF,CME,Buy,3.673946093690863
XLF,ICE,Buy,3.4556523063665523
XLF,AJG,Buy,3.3342392104186467
XLF,GL,Buy,3.2272740140582212
XLF,WRB,Buy,3.056427176266243
XLF,BRO,Buy,2.9508409445301518
XLF,PGR,Buy,2.5858442886442505
XLF,HIG,Buy,2.4655348522401206
XLF,CBOE,Buy,2.4312959654741757
XLF,DFS,Buy,2.4046964726250306
XLF,AFL,Buy,2.2740863331165158
XLF,TRV,Buy,2.0504403064618555
XLF,CB,Buy,1.571663082434337
XLF,ALL,Buy,1.476555868067104
XLF,L,Buy,1.4636143866250952
XLF,SCHW,Buy,1.0675947626813038
XLF,AIG,Buy,1.0121521975311587
