ETF,Ticker,Technical Action,Score
XLF,MSCI,Sell,37.86048599537081
XLF,ALL,Buy,29.18696167275254
XLF,GS,Buy,28.828380176616232
XLF,AJG,Buy,23.69051789036442
XLF,AMP,Sell,22.032656125829835
XLF,DFS,Buy,21.69270525342457
XLF,MMC,Sell,19.483856162323033
XLF,BLK,Sell,18.44139867259734
XLF,AIG,Buy,17.63713795608984
XLF,MCO,Buy,17.55317879696764
XLF,KEY,Sell,17.403389318238908
XLF,TFC,Sell,17.329869765699115
XLF,FDS,Sell,16.630792609047397
XLF,ZION,Sell,16.21327068544478
XLF,LNC,Sell,16.02782329141615
XLF,JPM,Buy,15.450213309644731
XLF,PGR,Buy,15.072226706326134
XLF,IVZ,Sell,15.045037750169845
XLF,ICE,Buy,14.887398912972918
XLF,FITB,Sell,14.158643996348555
XLF,SCHW,Buy,11.816443772530311
XLF,AXP,Buy,11.785377176701777
XLF,WRB,Buy,11.770761499053325
XLF,BAC,Sell,11.662229689409251
XLF,C,Buy,11.592037915472464
XLF,SPGI,Buy,10.717446787704867
XLF,NDAQ,Buy,10.523365521947085
XLF,COF,Buy,10.060511232158472
XLF,CFG,Sell,9.763346347415865
XLF,CMA,Sell,9.674141347750492
XLF,BEN,Buy,9.668054402026232
XLF,L,Buy,9.518128737767974
XLF,MS,Buy,9.44013905851908
XLF,WFC,Buy,8.888165360512659
XLF,CB,Buy,8.827811441311137
XLF,RF,Sell,8.695933970049076
XLF,BK,Buy,8.408209077181748
XLF,TRV,Buy,8.322769774161767
XLF,HBAN,Sell,8.281190949782529
XLF,USB,Sell,7.798730970483426
XLF,SYF,Sell,7.5944090980968255
XLF,MTB,Sell,7.401026617576116
XLF,STT,Buy,7.1528940540457295
XLF,CINF,Buy,7.065953781559687
XLF,RJF,Sell,7.038299862179105
XLF,AIZ,Sell,6.906075457268662
XLF,NTRS,Buy,6.615199547261967
XLF,PRU,Sell,6.544936774759835
XLF,PNC,Sell,6.4222819941185385
XLF,HIG,Buy,6.284365362204522
XLF,TROW,Sell,5.643097365826064
XLF,PFG,Sell,5.25917974112498
XLF,MET,Sell,5.210116799883632
