ETF,Ticker,Technical Action,Score
XLF,ALL,Buy,29.18696167275254
XLF,GS,Buy,28.828380176616232
XLF,AJG,Buy,23.69051789036442
XLF,DFS,Buy,21.69270525342457
XLF,AIG,Buy,17.63713795608984
XLF,MCO,Buy,17.55317879696764
XLF,JPM,Buy,15.450213309644731
XLF,PGR,Buy,15.072226706326134
XLF,ICE,Buy,14.887398912972918
XLF,SCHW,Buy,11.816443772530311
XLF,AXP,Buy,11.785377176701777
XLF,WRB,Buy,11.770761499053325
XLF,C,Buy,11.592037915472464
XLF,SPGI,Buy,10.717446787704867
XLF,NDAQ,Buy,10.523365521947085
XLF,COF,Buy,10.060511232158472
XLF,BEN,Buy,9.668054402026232
XLF,L,Buy,9.518128737767974
XLF,MS,Buy,9.44013905851908
XLF,WFC,Buy,8.888165360512659
XLF,CB,Buy,8.827811441311137
XLF,BK,Buy,8.408209077181748
XLF,TRV,Buy,8.322769774161767
XLF,STT,Buy,7.1528940540457295
XLF,CINF,Buy,7.065953781559687
XLF,NTRS,Buy,6.615199547261967
XLF,HIG,Buy,6.284365362204522
