ETF,Ticker,Technical Action,Score
XLF,AON,Sell,29.423714795200375
XLF,KEY,Sell,28.609278907489525
XLF,AXP,Buy,26.918279611877114
XLF,CB,Buy,26.8272721910445
XLF,IVZ,Ignore,26.065021703028947
XLF,BEN,Buy,25.700459379112655
XLF,TRV,Buy,25.409867856811523
XLF,SPGI,Buy,24.694287666958033
XLF,PGR,Ignore,24.179171816132097
XLF,COF,Buy,23.810843019919115
XLF,TFC,Sell,22.903228981766222
XLF,JPM,Buy,22.553431693403493
XLF,FDS,Ignore,21.994568086803394
XLF,WTW,Ignore,21.936742253304118
XLF,RF,Sell,21.690743311999217
XLF,ALL,Buy,21.593466450833976
XLF,MCO,Buy,21.520304166061873
XLF,SBNY,Sell,21.39499762436709
XLF,NDAQ,Buy,21.289725776512032
XLF,LNC,Ignore,21.005077565327493
XLF,MSCI,Sell,20.66804572782489
XLF,BRO,Ignore,20.50524049693756
XLF,AJG,Ignore,20.122983637286925
XLF,HBAN,Buy,20.038733102307468
XLF,CFG,Sell,19.683399744838148
XLF,BAC,Buy,19.624813275973196
XLF,AIG,Buy,19.568104857423744
XLF,MTB,Buy,19.45158915440442
XLF,USB,Sell,19.007924763614493
XLF,FITB,Sell,18.690977560703367
XLF,L,Buy,18.66573188738296
XLF,MMC,Ignore,18.63741498107488
XLF,GL,Ignore,18.07171882566641
XLF,CMA,Sell,18.06890222242049
XLF,STT,Buy,17.4658913294089
XLF,AIZ,Sell,17.361190476327266
XLF,WRB,Buy,17.24529124435793
XLF,ICE,Buy,16.995274548981048
XLF,MKTX,Ignore,15.869573306751152
XLF,SCHW,Buy,15.860302225623354
XLF,WFC,Buy,15.501319497642498
XLF,TROW,Ignore,15.353885820097712
XLF,CME,Ignore,15.241438358389562
XLF,PRU,Sell,15.058382274725268
XLF,CBOE,Ignore,14.855013064281511
XLF,PNC,Sell,14.163962752941364
XLF,SYF,Buy,13.869961761255958
XLF,BLK,Buy,13.838631055221331
XLF,ZION,Sell,13.395230515755546
XLF,HIG,Ignore,12.410705035508757
XLF,BK,Buy,12.383197530473312
XLF,PFG,Ignore,12.210322074516835
XLF,RJF,Ignore,11.970265531880912
XLF,C,Buy,11.742269525295841
XLF,NTRS,Buy,11.678199165434165
XLF,MS,Buy,11.232085471249372
XLF,CINF,Buy,10.798664778379047
XLF,AFL,Ignore,10.638705937752043
XLF,MET,Sell,9.763112789917859
XLF,AMP,Buy,9.751600329417991
XLF,GS,Buy,7.596933170562832
