ETF,Ticker,Technical Action,Score
XLF,L,Buy,56.936822727385106
XLF,AJG,Buy,14.771177293376791
XLF,DFS,Buy,12.75142532816416
XLF,SCHW,Buy,11.69330369243228
XLF,ICE,Buy,11.016009888228004
XLF,AIG,Buy,10.91243618823962
XLF,WRB,Buy,10.357215703462911
XLF,BRO,Buy,10.326984790255787
XLF,PGR,Buy,9.443490551312644
XLF,GL,Buy,9.205478699552106
XLF,CB,Buy,8.778550368995555
XLF,TRV,Buy,8.41074969855082
XLF,CBOE,Buy,8.072932206940887
XLF,CME,Buy,8.021803083634051
XLF,ALL,Buy,7.605734061846922
XLF,AFL,Buy,7.585848739125362
XLF,HIG,Buy,6.542775116441469
