ETF,Ticker,Technical Action,Score
XLF,MCO,Buy,33.34774254071323
XLF,AJG,Ignore,31.701199100491674
XLF,SPGI,Buy,31.637808241907475
XLF,TFC,Sell,31.079386816832677
XLF,AON,Sell,30.267820547400483
XLF,MMC,Ignore,28.631133537106578
XLF,AXP,Buy,26.268940784372678
XLF,FDS,Ignore,26.055616676128526
XLF,MKTX,Ignore,25.86731100125546
XLF,MSCI,Sell,24.910644433310672
XLF,LNC,Ignore,24.88657779949804
XLF,SBNY,Sell,24.505011201617958
XLF,PGR,Ignore,24.45193776315674
XLF,NDAQ,Buy,24.44263072171502
XLF,STT,Buy,24.125002488845762
XLF,IVZ,Ignore,23.165700327391708
XLF,ICE,Buy,23.114798042599237
XLF,CBOE,Ignore,22.90365694203672
XLF,CME,Ignore,22.85705689499271
XLF,KEY,Sell,22.425864830442077
XLF,BRO,Ignore,22.39452720681733
XLF,BLK,Buy,21.28013891156489
XLF,NTRS,Buy,20.49102514501218
XLF,WFC,Buy,20.45128092711892
XLF,MTB,Buy,19.70636296116291
XLF,BEN,Buy,19.675979375077677
XLF,COF,Buy,18.745484418542148
XLF,SYF,Buy,18.658206048765347
XLF,CMA,Sell,18.31965656003047
XLF,CFG,Sell,17.91575630485822
XLF,RF,Sell,17.90079199613343
XLF,WRB,Buy,17.53407255768342
XLF,BAC,Buy,17.37365592010269
XLF,C,Buy,17.348845760977653
XLF,WTW,Ignore,17.324208548578326
XLF,TROW,Ignore,17.194338489574136
XLF,TRV,Buy,17.02254653917368
XLF,GL,Ignore,16.793990935115488
XLF,AMP,Buy,16.70488293976103
XLF,ALL,Buy,16.08484189718218
XLF,BK,Buy,15.864503774163845
XLF,USB,Sell,15.664899275271909
XLF,JPM,Buy,15.621121483413738
XLF,CB,Buy,15.519973828948814
XLF,GS,Buy,15.224231058462463
XLF,AIG,Buy,15.092158733565636
XLF,PNC,Sell,14.812996597554312
XLF,RJF,Ignore,14.5884997307423
XLF,FITB,Sell,14.420245470321197
XLF,ZION,Sell,13.862262269372291
XLF,L,Buy,13.669708813630695
XLF,HBAN,Buy,13.656195375697667
XLF,SCHW,Buy,13.651674193052427
XLF,HIG,Ignore,13.64705434298678
XLF,MS,Buy,13.399162023750174
XLF,AIZ,Sell,12.660938053526214
XLF,CINF,Buy,10.99875706393133
XLF,MET,Sell,10.983043637985173
XLF,PRU,Sell,10.918517607269566
XLF,PFG,Ignore,9.157878757816984
XLF,AFL,Ignore,8.74795738917644
