ETF,Ticker,Technical Action,Score
XLF,MCO,Buy,33.34774254071323
XLF,SPGI,Buy,31.637808241907475
XLF,AXP,Buy,26.268940784372678
XLF,NDAQ,Buy,24.44263072171502
XLF,STT,Buy,24.125002488845762
XLF,ICE,Buy,23.114798042599237
XLF,BLK,Buy,21.28013891156489
XLF,NTRS,Buy,20.49102514501218
XLF,WFC,Buy,20.45128092711892
XLF,MTB,Buy,19.70636296116291
XLF,BEN,Buy,19.675979375077677
XLF,COF,Buy,18.745484418542148
XLF,SYF,Buy,18.658206048765347
XLF,WRB,Buy,17.53407255768342
XLF,BAC,Buy,17.37365592010269
XLF,C,Buy,17.348845760977653
XLF,TRV,Buy,17.02254653917368
XLF,AMP,Buy,16.70488293976103
XLF,ALL,Buy,16.08484189718218
XLF,BK,Buy,15.864503774163845
XLF,JPM,Buy,15.621121483413738
XLF,CB,Buy,15.519973828948814
XLF,GS,Buy,15.224231058462463
XLF,AIG,Buy,15.092158733565636
XLF,L,Buy,13.669708813630695
XLF,HBAN,Buy,13.656195375697667
XLF,SCHW,Buy,13.651674193052427
XLF,MS,Buy,13.399162023750174
XLF,CINF,Buy,10.99875706393133
