ETF,Ticker,Technical Action,Score
XLI,VRSK,Buy,39.312644147186944
XLI,MAS,Sell,32.68252856482934
XLI,BA,Buy,31.84309076807026
XLI,TDG,Buy,31.05636037387253
XLI,GWW,Sell,27.026066557281716
XLI,URI,Sell,25.228797765376523
XLI,UNP,Sell,22.639471005038686
XLI,GE,Buy,22.276676885503992
XLI,ROL,Buy,22.133318751493807
XLI,EFX,Sell,18.240570815250287
XLI,MMM,Sell,17.852582038341602
XLI,SPGI,Sell,17.515511306361915
XLI,HWM,Buy,16.9598000456386
XLI,RTX,Buy,16.87557864269786
XLI,PWR,Sell,16.440201886537487
XLI,DE,Buy,16.424657689322117
XLI,CTAS,Buy,15.914902598049407
XLI,LMT,Sell,13.642320374138187
XLI,CPRT,Buy,13.324171559317035
XLI,SNA,Sell,13.2426333576632
XLI,JCI,Buy,13.229856656065994
XLI,TT,Sell,12.896034904622432
XLI,XYL,Sell,12.683425298245846
XLI,RSG,Buy,12.447499830826505
XLI,AAL,Sell,12.41910258687585
XLI,IR,Sell,11.894989268230068
XLI,UAL,Sell,11.68956232647573
XLI,ALK,Sell,11.587923404967755
XLI,HII,Buy,11.57623036499245
XLI,CMI,Sell,11.550806441695798
XLI,WM,Buy,11.37738799441483
XLI,PH,Sell,11.318569155841454
XLI,FAST,Buy,10.959358335952585
XLI,FDX,Sell,10.922393806736286
XLI,CAT,Sell,10.642783134736014
XLI,NOC,Buy,10.359120095131013
XLI,CARR,Sell,10.25828037149231
XLI,LUV,Sell,9.956155341084674
XLI,EXPD,Sell,9.835219045773188
XLI,DAL,Sell,9.72076014542341
XLI,DOV,Sell,9.51655152274693
XLI,JBHT,Sell,9.134373002472437
XLI,ITW,Sell,8.857535357336195
XLI,PCAR,Sell,8.81738558413397
XLI,OTIS,Sell,8.672305116259242
XLI,AOS,Sell,8.427845085948753
XLI,ROK,Sell,8.185869381255866
XLI,LDOS,Sell,8.04990208181495
XLI,GD,Buy,7.881945992557967
XLI,EMR,Sell,7.841994321981435
XLI,RHI,Sell,7.5838518242813535
XLI,CSX,Sell,7.385379212397472
XLI,FTV,Sell,7.200998572665199
XLI,PNR,Sell,7.0872910978075865
XLI,ODFL,Sell,6.998715715981427
XLI,CHRW,Sell,6.991327944321646
XLI,WAB,Sell,6.919421015155235
XLI,ETN,Sell,6.800295016879682
XLI,ALLE,Buy,6.704778238826191
XLI,TXT,Sell,6.672634745781108
XLI,J,Sell,6.2416756084001985
XLI,LHX,Buy,5.94889904796782
XLI,HON,Sell,5.880625340660917
XLI,AME,Sell,5.7249439221768545
XLI,GNRC,Sell,5.679411591781872
XLI,UPS,Sell,5.57018305411628
XLI,NSC,Sell,5.500282121176334
XLI,SWK,Sell,5.022775194601733
XLI,IEX,Sell,4.672873232487804
XLI,NDSN,Sell,3.2254244541701045
