ETF,Ticker,Technical Action,Score
XLI,VRSK,Buy,39.312644147186944
XLI,BA,Buy,31.84309076807026
XLI,TDG,Buy,31.05636037387253
XLI,GE,Buy,22.276676885503992
XLI,ROL,Buy,22.133318751493807
XLI,HWM,Buy,16.9598000456386
XLI,RTX,Buy,16.87557864269786
XLI,DE,Buy,16.424657689322117
XLI,CTAS,Buy,15.914902598049407
XLI,CPRT,Buy,13.324171559317035
XLI,JCI,Buy,13.229856656065994
XLI,RSG,Buy,12.447499830826505
XLI,HII,Buy,11.57623036499245
XLI,WM,Buy,11.37738799441483
XLI,FAST,Buy,10.959358335952585
XLI,NOC,Buy,10.359120095131013
XLI,GD,Buy,7.881945992557967
XLI,ALLE,Buy,6.704778238826191
XLI,LHX,Buy,5.94889904796782
