ETF,Ticker,Technical Action,Score
XLI,TDG,Buy,36.7713514463625
XLI,LMT,Buy,32.404459804403054
XLI,ROL,Buy,31.973154831232907
XLI,CARR,Ignore,29.992793511667294
XLI,DE,Buy,28.845397378008133
XLI,BA,Buy,27.187382923934624
XLI,SPGI,Buy,25.936458849007334
XLI,PWR,Buy,25.31684462430846
XLI,EFX,Ignore,25.261486536033065
XLI,HWM,Buy,24.953788431068325
XLI,ROK,Buy,24.802631887666
XLI,CTAS,Buy,24.60855701807394
XLI,RTX,Buy,23.859508032791894
XLI,CAT,Buy,23.593140141398532
XLI,SNA,Ignore,21.768415853097032
XLI,HII,Ignore,21.706651154703213
XLI,SWK,Ignore,21.521414241839423
XLI,DOV,Ignore,21.434305210955245
XLI,FDX,Ignore,20.67790900659504
XLI,MMM,Ignore,20.434119691885062
XLI,OTIS,Ignore,19.802866118394324
XLI,NOC,Sell,19.763602763817588
XLI,AAL,Sell,19.64896008856308
XLI,IR,Sell,19.585960844766603
XLI,XYL,Buy,19.369348736839882
XLI,ALK,Ignore,19.350789094653788
XLI,VRSK,Buy,19.335634464617183
XLI,JBHT,Sell,18.34785642498625
XLI,RHI,Ignore,18.305156219590003
XLI,TT,Buy,18.07044881699297
XLI,EMR,Buy,17.517512517842032
XLI,WM,Buy,16.934159974987068
XLI,JCI,Buy,16.778092094286425
XLI,UAL,Sell,16.751744484495145
XLI,GE,Buy,16.200376554577424
XLI,RSG,Buy,16.037929063561933
XLI,LUV,Buy,15.198366498814925
XLI,DAL,Sell,15.12713368923042
XLI,CMI,Sell,15.008713333635214
XLI,PH,Buy,14.867605323714837
XLI,UPS,Sell,14.7699481599405
XLI,CPRT,Ignore,14.44673119095075
XLI,FAST,Buy,14.176767287441715
XLI,EXPD,Ignore,14.10473262133463
XLI,AOS,Ignore,13.969200968764234
XLI,UNP,Ignore,13.731283902145279
XLI,MAS,Ignore,13.644148106676175
XLI,FTV,Sell,13.591363228496403
XLI,TXT,Buy,13.190836229131575
XLI,GD,Ignore,12.865027465051979
XLI,ITW,Sell,12.693657924178208
XLI,ODFL,Ignore,12.567197545137232
XLI,CSX,Buy,12.544254161574186
XLI,GWW,Buy,11.823853219747885
XLI,PNR,Buy,11.680510967434865
XLI,PCAR,Ignore,11.49354010940516
XLI,ETN,Buy,11.216015219092913
XLI,LHX,Buy,10.912736261847462
XLI,GNRC,Sell,10.904597319700189
XLI,WAB,Buy,10.835360466721408
XLI,NSC,Buy,10.47204995343753
XLI,J,Buy,10.203605647810658
XLI,ALLE,Ignore,10.150616424918326
XLI,CHRW,Sell,10.100440432789913
XLI,AME,Buy,10.077319395188335
XLI,LDOS,Ignore,9.672367522233376
XLI,IEX,Ignore,9.336768049478591
XLI,URI,Buy,9.050582396193949
XLI,HON,Buy,9.03510814032199
XLI,NDSN,Sell,7.915313768316678
