ETF,Ticker,Technical Action,Score
XLI,VRSK,Buy,42.092406610718974
XLI,BA,Buy,32.31069647382209
XLI,TDG,Buy,30.176029260379867
XLI,GWW,Buy,26.23236331446825
XLI,GE,Buy,23.849697553503752
XLI,ROL,Buy,20.97976429559873
XLI,MMM,Buy,18.047515283316724
XLI,EFX,Buy,17.591308612668424
XLI,SPGI,Buy,17.192910993149404
XLI,HWM,Buy,16.986812355708018
XLI,PWR,Buy,16.938442861049097
XLI,RTX,Buy,16.590601979533396
XLI,DE,Buy,16.56041167439762
XLI,CTAS,Buy,15.873308798900466
XLI,CPRT,Buy,13.54779319631773
XLI,TT,Buy,13.480564074686473
XLI,ROK,Buy,13.00019478935517
XLI,XYL,Buy,11.892356115141665
XLI,PH,Buy,11.791862788825783
XLI,HII,Buy,11.435222366861042
XLI,JCI,Buy,11.198812056231956
XLI,FAST,Buy,10.660099297943573
XLI,CARR,Buy,9.848392713790624
XLI,LDOS,Buy,8.506156818236164
XLI,GD,Buy,8.180271039524207
XLI,ETN,Buy,7.584885249846389
XLI,WAB,Buy,7.436413553652986
XLI,PNR,Buy,7.27319646436866
XLI,ALLE,Buy,6.686875850392929
XLI,LHX,Buy,6.050995090506258
XLI,HON,Buy,5.731479828642741
