ETF,Ticker,Technical Action,Score
XLI,LMT,Buy,43.69036368288218
XLI,TDG,Buy,36.47668434789897
XLI,DE,Buy,33.23571277056372
XLI,CAT,Buy,30.08425764415807
XLI,SNA,Ignore,28.77964955816185
XLI,ROL,Buy,27.85086687860946
XLI,SPGI,Buy,27.194515372953607
XLI,NOC,Sell,25.539987541654813
XLI,FDX,Ignore,24.46625949554315
XLI,HWM,Buy,24.11374528531384
XLI,PH,Buy,23.337967180975284
XLI,UAL,Sell,22.830065466698198
XLI,CMI,Sell,22.24237418269696
XLI,AAL,Sell,21.7934173042276
XLI,CTAS,Buy,21.699513386434813
XLI,RHI,Ignore,20.866714564215883
XLI,PWR,Buy,20.82403444304284
XLI,OTIS,Ignore,20.70061911257672
XLI,ALK,Ignore,20.30635803840957
XLI,IR,Sell,20.18263761682221
XLI,BA,Buy,19.978019181462187
XLI,FAST,Buy,19.63799764538922
XLI,TT,Buy,19.37920461341189
XLI,LUV,Buy,19.299856299745404
XLI,CPRT,Ignore,19.176407415847663
XLI,RTX,Buy,18.664345662959278
XLI,SWK,Ignore,18.49786607436707
XLI,UPS,Sell,18.471427463944337
XLI,HII,Ignore,18.179088766842188
XLI,MMM,Ignore,17.157106217975134
XLI,EFX,Ignore,16.78994264272062
XLI,UNP,Ignore,15.646692821264612
XLI,WM,Buy,15.601441352251037
XLI,FTV,Sell,15.518770396077016
XLI,GD,Ignore,15.375519867645195
XLI,DOV,Ignore,15.15793049949547
XLI,ITW,Sell,15.094437377783567
XLI,XYL,Buy,15.026619614394434
XLI,CARR,Ignore,14.791981702687513
XLI,GE,Buy,14.522197547797543
XLI,CSX,Buy,14.472031767157088
XLI,TXT,Buy,14.210077421104227
XLI,VRSK,Buy,13.58555994850688
XLI,JCI,Buy,13.374938093647597
XLI,RSG,Buy,13.264107711040435
XLI,AOS,Ignore,13.144061047897331
XLI,ROK,Buy,13.13546130172549
XLI,NSC,Buy,12.488154828660242
XLI,PNR,Buy,12.46445003742548
XLI,GNRC,Sell,12.237290281641188
XLI,MAS,Ignore,12.166340979358397
XLI,DAL,Sell,12.075480390329009
XLI,ODFL,Ignore,12.036027446846528
XLI,J,Buy,11.824064894221586
XLI,WAB,Buy,11.501934080394468
XLI,CHRW,Sell,11.43750500257283
XLI,LHX,Buy,11.162724603628847
XLI,EXPD,Ignore,11.160453783582224
XLI,ETN,Buy,10.986746137711872
XLI,JBHT,Sell,10.86983568731242
XLI,LDOS,Ignore,10.434476917327535
XLI,EMR,Buy,10.297581090435099
XLI,GWW,Buy,10.176529745990301
XLI,AME,Buy,10.001918384504762
XLI,HON,Buy,9.111246939773416
XLI,URI,Buy,8.981281743525114
XLI,ALLE,Ignore,8.93184350676863
XLI,PCAR,Ignore,8.802352629619518
XLI,NDSN,Sell,6.336485217501482
XLI,IEX,Ignore,6.078133298284193
