ETF,Ticker,Technical Action,Score
XLI,VRSK,Buy,64.5742796810961
XLI,BA,Buy,57.56389382041424
XLI,ROL,Buy,33.09651066954795
XLI,MAS,Sell,31.68891781647045
XLI,TDG,Buy,30.97641705841855
XLI,HWM,Buy,26.01729199720346
XLI,EFX,Sell,25.355875316705124
XLI,CTAS,Buy,23.448086086924683
XLI,PWR,Buy,21.929763913840315
XLI,SPGI,Sell,20.77963993726017
XLI,UAL,Sell,20.043908441597182
XLI,GWW,Sell,19.065874440046816
XLI,CPRT,Buy,18.781686748686237
XLI,UNP,Sell,18.2155648830308
XLI,RTX,Buy,17.965232872764055
XLI,TT,Buy,17.787525708291
XLI,GE,Buy,17.785134589377623
XLI,AAL,Sell,16.889140190822015
XLI,URI,Sell,16.886213040731043
XLI,FAST,Buy,16.7757475536101
XLI,MMM,Sell,15.819982505173432
XLI,DAL,Sell,15.774172296630285
XLI,SNA,Sell,15.566364070273254
XLI,ALK,Sell,15.39768720323856
XLI,RSG,Buy,15.386975880821169
XLI,LMT,Sell,14.451702310960961
XLI,JCI,Buy,14.439518329519615
XLI,HII,Buy,13.813775215513035
XLI,WM,Buy,12.94961215297881
XLI,FDX,Sell,12.756640284943808
XLI,CARR,Sell,12.741293341099478
XLI,LUV,Sell,12.696460765692608
XLI,IR,Sell,12.433653469844762
XLI,CAT,Sell,12.294385518366314
XLI,DOV,Sell,12.287486217023597
XLI,DE,Buy,12.025300146784142
XLI,CMI,Sell,11.262543097560107
XLI,LDOS,Buy,11.193364255965324
XLI,PCAR,Sell,10.74282508728246
XLI,PH,Sell,10.286067854318116
XLI,ETN,Sell,10.23757686092879
XLI,XYL,Sell,10.044941791755175
XLI,NOC,Buy,9.751378853026045
XLI,TXT,Sell,9.719123851815544
XLI,ROK,Sell,9.498717154673377
XLI,UPS,Sell,9.388262752697392
XLI,OTIS,Sell,9.283658210668571
XLI,GD,Buy,9.209610388729448
XLI,JBHT,Sell,9.18192241015883
XLI,NSC,Sell,8.974962412819494
XLI,CSX,Sell,8.778895703754308
XLI,GNRC,Sell,8.556922187598474
XLI,AOS,Sell,8.292773786147333
XLI,ITW,Sell,8.207411354542105
XLI,EXPD,Sell,7.652445979910232
XLI,WAB,Sell,7.342764892934803
XLI,ALLE,Buy,7.122495197530137
XLI,ODFL,Sell,7.029750048938463
XLI,CHRW,Sell,6.7686564117321
XLI,FTV,Sell,6.1890413463177865
XLI,PNR,Sell,6.124281757561247
XLI,LHX,Buy,5.905572132902368
XLI,HON,Sell,5.651963261919265
XLI,AME,Sell,5.287968295578138
XLI,J,Sell,5.122306407211849
XLI,EMR,Sell,4.611543150529182
XLI,RHI,Sell,4.581199339090793
XLI,IEX,Sell,4.557851543434893
XLI,SWK,Sell,4.005473797725899
XLI,NDSN,Sell,2.690451075455089
