ETF,Ticker,Technical Action,Score
XLK,VRSN,Buy,4.894726089746618
XLK,FFIV,Buy,3.371336260576726
XLK,IBM,Buy,3.3043726659924375
XLK,FTNT,Buy,2.96446278237396
XLK,V,Buy,2.6938301597375056
XLK,MA,Buy,2.538456060671207
XLK,ADP,Buy,2.3803193855202482
XLK,CSCO,Sell,2.318900137548704
XLK,ADSK,Sell,2.283451671000059
XLK,PAYX,Buy,2.2197323401034796
XLK,AVGO,Sell,2.1691998390932623
XLK,GLW,Sell,2.145302348504851
XLK,TDY,Sell,2.1339346225350697
XLK,NOW,Sell,2.0842400120465037
XLK,APH,Buy,1.9858371876290728
XLK,BR,Buy,1.9179997016671049
XLK,MSI,Sell,1.8967024840614704
XLK,ANET,Sell,1.8849639005254075
XLK,ORCL,Sell,1.7009290841498903
XLK,TYL,Sell,1.6769438938266266
XLK,NVDA,Sell,1.6698788724272313
XLK,FIS,Buy,1.4115072614605264
XLK,PAYC,Buy,1.3845107940232269
XLK,AAPL,Sell,1.3518826231780214
XLK,ROP,Buy,1.2448231845936784
XLK,MSFT,Sell,1.0551152298373443
XLK,CDNS,Buy,0.9838072389252804
XLK,TRMB,Sell,0.8870646186503277
XLK,STX,Sell,0.857385106988973
XLK,TEL,Sell,0.8435793773084944
XLK,JKHY,Sell,0.7980465200012107
XLK,JNPR,Sell,0.7877451120482776
XLK,KLAC,Sell,0.6810517242173717
XLK,PYPL,Sell,0.5890501585976998
XLK,MPWR,Sell,0.5769615663701722
XLK,HPE,Sell,0.5603981269303956
XLK,INTU,Buy,0.5466197460276773
XLK,ADI,Sell,0.5342474047787319
XLK,ACN,Sell,0.5177412992755039
XLK,CRM,Sell,0.4987993986177013
XLK,KEYS,Sell,0.47443252815737974
XLK,IT,Sell,0.3443858101380013
XLK,ANSS,Sell,0.320440180292939
XLK,HPQ,Sell,0.07495059715153424
XLK,TXN,Sell,-0.006017651760800331
XLK,SNPS,Sell,-0.007883495438328699
XLK,NTAP,Sell,-0.02388434935502049
XLK,LRCX,Sell,-0.08587469117892772
XLK,WDC,Sell,-0.16796407525357016
XLK,QCOM,Sell,-0.27595327941653397
XLK,PTC,Sell,-0.3089363767080221
XLK,MU,Sell,-0.3351850531645808
XLK,DXC,Sell,-0.3595107585993849
XLK,AMAT,Sell,-0.44206489088662265
XLK,AKAM,Sell,-0.4751137142543944
XLK,INTC,Sell,-0.6490122098397008
XLK,ZBRA,Sell,-0.6800339032408019
XLK,SWKS,Sell,-0.6822975921384997
XLK,ADBE,Sell,-0.7246665856496572
XLK,NXPI,Sell,-0.8001169808216817
XLK,AMD,Sell,-0.8278365223928265
XLK,QRVO,Sell,-0.9277291261193541
XLK,TER,Sell,-0.982934849697547
XLK,EPAM,Sell,-1.0727771736612213
XLK,GPN,Sell,-1.2279409630712912
XLK,CDW,Sell,-1.3297515464975949
XLK,ON,Sell,-1.4851843524390662
XLK,MCHP,Sell,-1.6056903752501357
XLK,SEDG,Sell,-2.0035522352659036
XLK,ENPH,Sell,-2.0342198816649817
