,Ticker,Technical Action,Score
43,ADI,Sell,6.514943350993375
27,AVGO,Sell,6.33797038651282
36,AMD,Sell,5.544892248594987
5,PXD,Buy,5.475223215631464
17,CTRA,Buy,5.432270468724703
45,LRCX,Sell,5.277413934690982
48,KLAC,Sell,4.900432357705657
18,FANG,Buy,4.791535718920533
72,TDY,Sell,4.256070262143391
76,FLT,Sell,4.1966713920887075
33,QCOM,Sell,4.038125865778904
52,NXPI,Sell,3.71133523639541
77,ZBRA,Sell,3.457749450865988
75,MPWR,Sell,3.310260096337312
4,EOG,Buy,3.283407240976269
3,COP,Buy,3.2353691652929957
23,MSFT,Sell,3.051635792465662
10,PSX,Buy,3.033368887690881
67,CDW,Sell,3.012685498972166
0,XOM,Buy,2.961580412183522
79,SEDG,Sell,2.7781538866133744
58,MSI,Sell,2.670212425710478
34,TXN,Sell,2.6473605818961268
62,MCHP,Sell,2.643350717192904
12,DVN,Buy,2.637229852906933
66,ON,Buy,2.611817161400584
63,KEYS,Sell,2.3727524147378523
94,QRVO,Sell,2.3125207643775822
80,SWKS,Sell,2.297715796712068
68,ANET,Sell,2.2443531859036856
24,NVDA,Sell,2.2407372942550987
35,IBM,Sell,2.2075415638313958
95,FFIV,Sell,2.1950324196295212
37,INTU,Sell,2.191114880333496
42,AMAT,Sell,2.1651541539166805
61,GPN,Sell,2.1184532295448593
44,MU,Sell,2.093022708668507
74,EPAM,Sell,2.0046237354707643
47,FISV,Sell,1.999248225187399
64,ENPH,Sell,1.9990112273209362
57,TEL,Sell,1.9631988045862339
41,PYPL,Sell,1.9285658707835993
46,FIS,Sell,1.813560238423792
19,MRO,Buy,1.7366494828087626
92,CTXS,Sell,1.7186054675253055
1,CVX,Buy,1.7185696567392965
83,AKAM,Sell,1.6620789286352338
82,NTAP,Sell,1.6460476719374766
89,WDC,Sell,1.5716722299787267
26,MA,Sell,1.556415386720667
60,CTSH,Sell,1.5339387488742133
38,ORCL,Sell,1.5222468338345472
29,ACN,Sell,1.474109985447693
30,ADBE,Sell,1.4711245952803096
50,ROP,Sell,1.3241277957908457
96,JNPR,Sell,1.3073858806505296
84,TRMB,Sell,1.2341742321024236
90,NLOK,Sell,1.1014111209291977
65,GLW,Sell,1.0832079579934804
8,VLO,Buy,1.0367215172534046
59,HPQ,Sell,1.0337244644197743
25,V,Sell,1.0192258341461333
28,CSCO,Sell,0.9366310870176588
49,SNPS,Sell,0.9297467536574924
53,ADSK,Sell,0.7590437136156942
31,CRM,Sell,0.7568463354588487
16,OKE,Sell,0.595353589582108
70,IT,Sell,0.5896291870472675
86,STX,Sell,0.5705600485205333
13,HES,Buy,0.5359380737663549
71,HPE,Sell,0.527695035837595
40,ADP,Sell,0.4517043426894002
73,BR,Sell,0.34778853593809933
54,APH,Sell,0.3410118996226994
7,MPC,Buy,0.25812499545434175
39,NOW,Sell,0.23237872303388207
97,DXC,Sell,0.2146590413351212
55,FTNT,Sell,0.06488692863673542
81,TER,Sell,0.023670128960000647
78,VRSN,Sell,0.019993020677340878
69,ANSS,Sell,-0.04546448313907914
11,KMI,Buy,-0.054586692012830146
93,PTC,Sell,-0.07266979330008672
2,OXY,Buy,-0.07978886969488719
56,PAYX,Sell,-0.08787207306722128
51,CDNS,Sell,-0.10604819794787579
87,TYL,Sell,-0.18164170558803117
15,HAL,Buy,-0.24972700889790772
22,AAPL,Sell,-0.2574139573950659
88,PAYC,Sell,-0.43289820642512145
91,JKHY,Sell,-0.46069837729032115
32,INTC,Sell,-0.5032501894685022
6,SLB,Buy,-0.8072618877150349
14,BKR,Sell,-1.0970666589770774
9,WMB,Buy,-1.335578693807897
98,CDAY,Sell,-4.694276710245409
20,APA,Buy,
21,SSIXX,Sell,
85,SSIXX,Sell,
