ETF,Ticker,Technical Action,Score
XLP,PM,Buy,5.079356110582051
XLP,WMT,Buy,4.50544206116015
XLP,K,Buy,3.511956422279125
XLP,MO,Buy,3.4951311409209307
XLP,COST,Buy,3.33324499414525
XLP,KR,Buy,2.715131223617585
XLP,KO,Buy,1.9428185927622403
XLP,MNST,Buy,1.3034596778209928
XLP,KDP,Buy,0.5704084014762034
XLP,MKC,Sell,0.34786899363787777
XLP,TAP,Sell,0.3135309906815421
XLP,SJM,Buy,0.287197120960167
XLP,CLX,Sell,0.15245401166823896
XLP,CL,Buy,0.08520070014410816
XLP,SYY,Sell,-0.06581323462852207
XLP,PG,Sell,-0.12320025853563578
XLP,MDLZ,Buy,-0.18015137034532216
XLP,KMB,Sell,-0.26656140698191566
XLP,TSN,Buy,-0.3612375770405597
XLP,WBA,Buy,-0.8388625601162364
XLP,HSY,Sell,-0.9008475063512873
XLP,CHD,Sell,-1.10903616105362
XLP,ADM,Sell,-1.2727242991382328
XLP,LW,Sell,-1.360795464949437
XLP,HRL,Sell,-1.3785777920190108
XLP,CPB,Sell,-1.7721552730132337
XLP,STZ,Sell,-1.779149618325082
XLP,KHC,Sell,-1.953495011107188
XLP,GIS,Sell,-1.969868449528539
XLP,CAG,Sell,-1.9883262062342817
XLP,PEP,Sell,-2.6636579658559896
XLP,EL,Sell,-2.6824715230578913
